UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
미세미세,@_REIN_D,2021-08-05T14:00:32.000Z,"미세미세
@_REIN_D
·
8월 5일","한밤의 낭만

가족 중 누군가 힘든 순간의 한복판에 놓여져 있을 때- 무기력하다.

슬픔이 번질까 털어 놓지도 못하고 오롯이 자신의 슬픔을 삼키는 것을, 모른척 지켜보고 있다.

긴 여름이 지났다고, 모든 것이 자기 자리를 가지게 되었다고, 그렇게 말할 수 있는 순간들이 오길.

2021.08.05 흐림
24",,,,24,['https://pbs.twimg.com/media/E8CEI2RUUAgZY0s?format=jpg&name=small'],https://twitter.com/_REIN_D/status/1423282779609976836
견우,@hjzzanng,2021-08-01T11:23:26.000Z,"견우
@hjzzanng
·
8월 1일",스테이가 듣고 싶은 말 해주고 싶어서 이런저런 고민 하다가 자기 입장에서 생각해보고 자기는 무슨 말이든 다 좋으니까 스테이도 나의 진심을 보여주면 좋아하지 않을까 싶어서 그냥 오롯이 자기 마음을 표현하고자 했다는 게 너무 좋아..,,,,,['https://pbs.twimg.com/media/E7s500pUcActZXx?format=jpg&name=small'],https://twitter.com/hjzzanng/status/1421793690402516994
단,@_94_0121_,2021-08-13T14:37:11.000Z,"단
@_94_0121_
·
8월 13일","천서진의 행복은 그저 사랑하는 이와 오롯이 하루를 보내는 거였다는 게 미칠 것 같다... 자기 와인에 약을 탄 걸 알아도 모르는 척 와인 스윗하다면서 마시고 오늘이 자기 인생에서 가장 행복한 날인 것 같다고 고백하는 이 미련한 고양이야...
25
71",,,25,71,[],https://twitter.com/_94_0121_/status/1426191107050786820
ㅎㅇ,@appetite_,2021-08-08T13:54:01.000Z,"ㅎㅇ
@appetite_
·
8월 8일","어쩔 수 없이 누군가와 함께일 땐 상대방의 의견과 감정, 컨디션에 조금씩 휘둘리게 된다. 아무리 동등하다 생각하는 관계여도 마찬가지다. 상대의 문제가 아니라 나의 문제에 더 가깝다. 그래서 오롯이 혼자 놓였을 때 작은 해방감 같은 게 있어.
6
28",,,6,28,[],https://twitter.com/appetite_/status/1424368302474731522
뜹,@springissweet,2021-08-11T08:19:28.000Z,"뜹
@springissweet
·
8월 11일","지난 주부터 동생 집에 와 있다. 일만 하다가 오롯이 쉬러 ~ 그냥 가족과 함께 있다는 사실만으로도 너무 위로가 되고 행복해 
1
2",🌸 💙,1,,2,['https://pbs.twimg.com/media/E8fvndhUUAQP5fd?format=jpg&name=small'],https://twitter.com/springissweet/status/1425371274981765126
봉고,@bongggo_,2021-08-08T11:42:39.000Z,"봉고
@bongggo_
·
8월 8일","대화를 하다보면 의도가 다르게 전달될 수도 있는데 일기는 오롯이 자신의 감정과 생각을 담을 수 있다며 글을 써왔어 . . 너무 주연이답다 신중하게 여러번 꼭꼭 곱씹어 전하는 진심의 낭만을 아는 주여니
31
23",,,31,23,[],https://twitter.com/bongggo_/status/1424335242798661636
조상구,@82626_48_O,2021-08-10T10:06:59.000Z,"조상구
@82626_48_O
·
8월 10일","좀 더 많이 사랑하고 슬퍼할 수 있는 만큼 슬퍼하고 따뜻하게 품을 수 있는 것들을 살펴 봐야겠다고 생각한다. 나는 아직 완전히 그런 인간은 아니기 때문에 늘 다시 다짐한다. 생 그 자체 찬란하다 오롯이 미화할 수 없으나 매일 아침 해는 공평하게 내리 쬔다.
1",,1,,,[],https://twitter.com/82626_48_O/status/1425035941928792064
잇곳,@The8_got_8,2021-08-10T09:46:15.000Z,"잇곳
@The8_got_8
·
8월 10일","8이 유학 다니던 시절 어학공부하며..친구들과 대화하며 알게된'묘하다'라는 말.
오롯이 이해하게 된건 어쩌면 6이 문득 떠올라서 그럴지도 모르겠다는 망상조각
1
1
1",,1,1,1,[],https://twitter.com/The8_got_8/status/1425030724306960393
슈엘 라프렛,@Syuel_for_SR,2021-08-08T13:57:05.000Z,"슈엘 라프렛
@Syuel_for_SR
·
8월 8일","(당신이 괜찮다고 하면 정말로 괜찮을 거 같았다. 막연하다 할 수도 있을 터지만 당신이 ""우리""라고 말하며 그 단어의 의미를 생각하게 만들어. 오롯하게 당신에게 집중하였다.)",,,,,[],https://twitter.com/Syuel_for_SR/status/1424369074310500355
Fortis Audéntĭa,@Ms3tVs,2021-08-05T18:34:54.000Z,"Fortis Audéntĭa
@Ms3tVs
·
8월 6일","(춥다. 아이들을 속박해둔 것들을 제가 전부 쥐고 있었음에도 저 홀로 오롯하다 보았다. 한참, 한참, 아무런 소리가 없다. 죽음처럼.) 그만하고 싶어. (아주 작은 소리. 그러니 바람처럼 나아갈 당신은 감당하지 않아도 된다고.)",,,,,[],https://twitter.com/Ms3tVs/status/1423351825034481665
