UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
𝒃𝒚단비랑해,@nadanbi34,2021-08-15T15:06:58.000Z,"𝒃𝒚단비랑해
@nadanbi34
·
8월 16일","""애국의 현장에서 나라를 지켜낸 평범하면서 위대한 국민의 어떤 희생도 국가가 반드시 기억하고 책임지겠다.""
그동안 울 문프께서 타국에 계신 애국지사님들 유해를 국내로 모셔오려고 끊임없이 노력하시는 이유라고 생각함.
문재인 대통령님~존경하고 사랑합니다~
2:01
931 조회수
92
112",🌱 🪁,,92,112,[],https://twitter.com/nadanbi34/status/1426923377336279047
아궁이,@agungeee,2021-08-15T15:44:18.000Z,"아궁이
@agungeee
·
8월 16일","모범생 문톄일이랑 체대 준비생 서영오로 쟌탤 보고 싶음 서영오 일단 고등학교 얼굴로 먹어서 개유명할듯 성격 다정하고 키도 크고 친구들이랑도 잘지내 게다가 집안도 잘 살아서 어느하나 모난 게 없음 부러움의 대상일듯 근데 진짜 친한 친구인 톄용이나 윳따는 알아 사실은 서영오 인성 개차반인거
1
13
34",,1,13,34,"['https://pbs.twimg.com/media/E817yNNVUAMvW3w?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E817yNdVcAcegaO?format=jpg&name=360x360']",https://twitter.com/agungeee/status/1426932771344187392
하뱀반동,@HABEAM1012,2021-08-15T16:23:15.000Z,"하뱀반동
@HABEAM1012
·
8월 16일","로오히 라이레이~ 
맨처음에 낙서로 시작했다가 풀채색으로 끝난
4",💙 💙 ❄,,,4,['https://pbs.twimg.com/media/E82EmgnVEAECZZe?format=jpg&name=small'],https://twitter.com/HABEAM1012/status/1426942574934122497
신사(베니베어),@thunseo,2021-08-15T15:15:15.000Z,"신사(베니베어)
@thunseo
·
8월 16일","이거 륜이랑 아스화리탈 오프레로 보고싶어ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㄱㅋㅋ
1
1
7",,1,1,7,['https://pbs.twimg.com/media/E811JOeUUAQRNVE?format=jpg&name=small'],https://twitter.com/thunseo/status/1426925460558999552
거래계,@TyqwTTCAjhrbxrQ,2021-08-15T11:27:59.000Z,"거래계
@TyqwTTCAjhrbxrQ
·
8월 15일","오..20cm토르소 현물로 들어왔던데 해배비포함 1만원으로 공구열면 참여하실분은 손!
1
22
28",,1,22,28,['https://pbs.twimg.com/media/E81BIB_VIAMTY0s?format=jpg&name=small'],https://twitter.com/TyqwTTCAjhrbxrQ/status/1426868265582616577
해갈,@relieve_thirst,2021-08-15T15:28:29.000Z,"해갈
@relieve_thirst
·
8월 16일","황태자를 제외한 황자는 모두 궁 밖에서 기거해야 한다. 그리고 그 규칙에 유일하게 적용되는 한 사람, 그게 서영오였음. 황제의 타고난 골격과 황후의 화통한 성정을 그대로 물려 받은 건 서영오였지만, 서영오는 둘째라는 이유로 궁 밖 사가에서 지내야 했음. 그나마 다행인 건 황후를 대신할
GIF
1
5
43",,1,5,43,['https://pbs.twimg.com/tweet_video_thumb/E814E5_UUAEI3No.jpg'],https://twitter.com/relieve_thirst/status/1426928790333100038
₭C͓̽D͓̽,@KCD_3,2021-08-15T13:59:03.000Z,"₭C͓̽D͓̽
@KCD_3
·
8월 15일","전에 그렸었던 로오히 로드
1
5",🥼,,1,5,['https://pbs.twimg.com/media/E81js5sVkAAB4P-?format=jpg&name=small'],https://twitter.com/KCD_3/status/1426906284813524998
정원,@lilacGarden0816,2021-08-15T15:02:39.000Z,"정원
@lilacGarden0816
·
8월 16일","으악니엘아너무사랑스럽고예쁘다
#니엘아_엔젤에게_와줘서_고마워
해시태그문제때문에바로실트못올려서
#MyShiningStarNielDay
쪼오금속상혀그래도엔젤들화력믿지
⁦
@TEEN_TOP
⁩
올려본다우리가
9
87
101",🐌,9,87,101,['https://pbs.twimg.com/media/E81yQj9VUAU21wI?format=jpg&name=900x900'],https://twitter.com/lilacGarden0816/status/1426922289195454466
김쟈란,@Park_sseaJun12,2021-08-15T14:58:30.000Z,"김쟈란
@Park_sseaJun12
·
8월 15일","전에 리비오 적폐로 색 연습한거 이상한 부분 수정했다
4",🥑,,,4,['https://pbs.twimg.com/media/E81xQ03VUAIZAZA?format=png&name=small'],https://twitter.com/Park_sseaJun12/status/1426921247288356869
븐지 마우스담요카드,@bbbj3150_3030,2021-08-15T11:59:44.000Z,"븐지 마우스담요카드
@bbbj3150_3030
·
8월 15일","흑발 남색 하늘색중에
ㅈㄴ고민중인데

흑발하면자꾸..
로오히갱얼쥐생각나는기분이야
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
5",🍓 🍌,,,5,['https://pbs.twimg.com/media/E81IQOPVEAIZmvd?format=jpg&name=900x900'],https://twitter.com/bbbj3150_3030/status/1426876258881728529
