UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
ㅌㅊㅅ暁慎,@Q_kozme,2021-08-04T07:02:41.000Z,"ㅌㅊㅅ暁慎
@Q_kozme
·
8월 4일",오니쿠-니쿠-니쿠-오니쿠-니쿠,,,,,[],https://twitter.com/Q_kozme/status/1422815236344598529
ㅌㅊㅅ暁慎,@Q_kozme,2021-08-09T12:15:55.000Z,"ㅌㅊㅅ暁慎
@Q_kozme
·
8월 9일",하 오니쿠 땡겨,,,,,[],https://twitter.com/Q_kozme/status/1424706001249263625
,@dfcQsyo,2021-08-03T04:51:57.000Z,"@dfcQsyo
·
8월 3일","사네미는 눈동자 크고 겐야는 작은거 좋아. 사네미는 백발이고 겐야가 흑발인 것도, 사네미의 대표색인 초록색 반대가 완전 겐야 보라색인것도 미쳐ㅠㅠ 사네민 희혈인데 겐야는 오니쿠이인것도 좋아. 사네민 하얀색이 많고 겐얀 검정색이 많은 것도 좋아! 둘이 반대가 많은데 눈색은 같은거 좋아ㅠㅠ
6
24",🔨,,6,24,[],https://twitter.com/dfcQsyo/status/1422419949801201668
김코희,@ranma_ryoga,2021-08-08T12:27:51.000Z,"김코희
@ranma_ryoga
·
8월 8일",오카시 오니쿠 도코도코돈 개귀엽다 ㄹㅇ,,,,,[],https://twitter.com/ranma_ryoga/status/1424346617457508356
요토토로,@Youto_____,2021-08-14T16:31:13.000Z,"요토토로
@Youto_____
·
8월 15일","오니쿠마는 일회용으로 써주세요... 
의자왕 요네자와 마릿카",🌸 🌸,,,,[],https://twitter.com/Youto_____/status/1426582192365268995
Jinn,@dkjwiwildy,2021-08-07T16:53:57.000Z,"Jinn
@dkjwiwildy
·
8월 8일",서드라이브 오니쿠레나이에서 후미 안무 파트 진짜 너무...너무 좋아....,,,,,[],https://twitter.com/dkjwiwildy/status/1424051195648249857
슽,@Gengen49331192,2021-08-03T04:09:20.000Z,"슽
@Gengen49331192
·
8월 3일","형아랑 사이 좋은 귀학 겐야가 멸살시대축 겐야 몸에 빙의해서, 귀학겐야 시선으로 보는 풍주님 이야기가 보고싶다.
오니쿠이 후 빙의해서 이상한 자기 몸과 시체에 놀라 패닉에 빠진 겐야 (in 평범한 16살 소년 겐야)
그러다 풍주님 보고 형아다 싶어, 형아아 살려줘 형아아 하고 다가갔다가
1
28
95",,1,28,95,[],https://twitter.com/Gengen49331192/status/1422409221111382016
서비,@REk5RCVAKht3sjj,2021-08-24T09:35:23.000Z,"서비
@REk5RCVAKht3sjj
·
8월 24일","오니쿠 할렐루야ㅑ~~~!!!
3",,,,3,"['https://pbs.twimg.com/media/E9i9qFyUcAIrjd-?format=jpg&name=small', 'https://pbs.twimg.com/media/E9i9qcfVoAYfAsG?format=jpg&name=small']",https://twitter.com/REk5RCVAKht3sjj/status/1430101421815332874
낸누 ネンヌ ,@JnaenNu,2021-08-26T22:51:07.000Z,"낸누 ネンヌ 
@JnaenNu
·
8월 27일","마히클로 오니쿠레나이듣고 나니까 또 마히클로땡겨요..베앨 그만듣는법? 없음..
2",,,,2,[],https://twitter.com/JnaenNu/status/1431026449352253444
별밤,@byulbarm_,2021-08-20T14:32:51.000Z,"별밤
@byulbarm_
·
8월 20일","오니쿠 만세~
유후 할렐루야할렐루야 오니쿠카미사마!",,,,,[],https://twitter.com/byulbarm_/status/1428726729934180362
이리,@R_ISA98,2021-08-29T14:07:15.000Z,"이리
@R_ISA98
·
8월 29일",오제랑 오니쿠 먹으러 갔었구나ㅋㅋ,,,,,[],https://twitter.com/R_ISA98/status/1431981777690652672
←처○빗○아니메아조시,@6qyVOKEFQHcKP1E,2021-08-25T01:38:25.000Z,"←처○빗○아니메아조시
@6qyVOKEFQHcKP1E
·
8월 25일",사사키오니쿠왜요?!?!?!?그림기엽게잘그리는대,,,,,[],https://twitter.com/6qyVOKEFQHcKP1E/status/1430343777936318472
,@___Too_much_Ryo,2021-08-25T01:43:06.000Z,"@___Too_much_Ryo
·
8월 25일",아 사사키오니쿠 왜 안보이나 싶엇더니 플텍이라,🗡,,,,[],https://twitter.com/___Too_much_Ryo/status/1430344954681823232
임대두,@ushi_x1ma,2021-08-28T16:27:00.000Z,"임대두
@ushi_x1ma
·
8월 29일","아도니스쨩
오탄죠비… 오메데토다능.
오늘 오니쿠 잇파이 먹으라능
1",,,,1,[],https://twitter.com/ushi_x1ma/status/1431654557860253696
