UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
초보티콘,@choboticon,2021-08-25T14:40:42.000Z,"초보티콘
@choboticon
·
Aug 25","#RT #알티 #알티이벤트 
▷ 초보의 푸짐한 일상 ◁
스티커가 업데이트 된 기념으로
알티해 주신 분 중 랜덤 한 분께
스티커를 선물해드립니다~~!! 
네이버 카페, 블로그에서 사용 가능해요!
2
89
38",,2,89,38,['https://pbs.twimg.com/media/E9pMGiEVIAQJSTM?format=png&name=small'],https://twitter.com/choboticon/status/1430540646717149185
바니(구 진피파니),@2JINJINLOVE04,2021-08-21T00:38:41.000Z,"바니(구 진피파니)
@2JINJINLOVE04
·
Aug 20","브평 브랜명 : 방탄소년단 진 #방탄소년단진
참여:네이버/다음/구글(BTS JIN 포함) 1시간 마다 '방탄소년단 진' 직접 입력 검색
미디어:기사 생산량, 좋아요 활동
소통:카페/블로그/지식인 언급량,포스팅/댓글시 '방탄소년단 진' 언급
커뮤:트윗/인스타/페북 SNS 포스팅/댓글시 해시사용
Anne석진
@JIN_0613BTS
 · Aug 20
+
브평 브랜명 : 방탄소년단 진 #방탄소년단진
참여:네이버/다음/구글(BTS JIN 포함) 1시간 마다 '방탄소년단 진' 직접 입력 검색
미디어:기사 생산량, 좋아요 활동
소통:카페/블로그/지식인 언급량,포스팅/댓글시 '방탄소년단 진' 언급
커뮤:트윗/인스타/페북 SNS 포스팅/댓글시 해시사용
Show this thread
12
17",➖ ➖ ➖ ➖ ➖ ➖ ➖ ➖ ➖ ➖,,12,17,['https://pbs.twimg.com/profile_images/992982018676871169/n82bGal1_mini.jpg'],https://twitter.com/2JINJINLOVE04/status/1428879194004496387
스크리나,@screena_party,2021-08-28T11:33:52.000Z,"스크리나
@screena_party
·
Aug 28","옥수수는 귀여워 이모티콘 런칭!! 네이버 OGQ 마켓에서 만나보실 수 있고,
네이버 카페/블로그/포스트에서 사용가능해옥!
#스크리나 #스크리나와치파티 #와치파티 #워치파티 #같이보기 #비대면관람 #줌파티 #텔레파티 #무비나잇 #옥수수 #옥님 #이모티콘 #이모티콘출시 #OGQ이모티콘 #네이버이모티콘",🌽,,,,['https://pbs.twimg.com/media/E93_JHXVIAIWRls?format=jpg&name=small'],https://twitter.com/screena_party/status/1431580790693920770
누✧,@9ununun6,2021-08-28T12:26:52.000Z,"누✧
@9ununun6
·
Aug 28","특정성 성립돼서 고소당할까봐 무서워서 뉴스부분만 다시 올리겠습니당 ^^... 사진 비교는... 해당 애견카페 블로그에서 비교하면 될 거에요...
루카
@Lukas_ACNH
 · Aug 26
[리트윗 정말 정말 감사합니다.]
올릴 곳이 여기밖에 없어서 올립니다.
제 초등, 중학교 학창 생활을 본인의 ""철없음""으로 망친, 그래놓고 지금 울산에서 당당히 애견 카페를 하고 있는 가해자를 알리기 위해 트윗합니다. 울산 반려견주님들 제발 아래 마지막 사진의 장소를 참고하여 주세요.
Show this thread
1",,1,,,"['https://pbs.twimg.com/media/E94LDJNVgAINDsf?format=png&name=small', 'https://pbs.twimg.com/media/E94LGAyVIAUFcp8?format=png&name=small', 'https://pbs.twimg.com/profile_images/1412778520124686336/ors7o8NI_mini.jpg', 'https://pbs.twimg.com/media/E9tGQI5VIAIn-2H?format=jpg&name=120x120', 'https://pbs.twimg.com/media/E9tGQk-UcAkM9vJ?format=jpg&name=120x120', 'https://pbs.twimg.com/media/E9tGQWNVUAAaQFo?format=jpg&name=120x120', 'https://pbs.twimg.com/media/E9tGQyXVEAEZS9s?format=jpg&name=120x120']",https://twitter.com/9ununun6/status/1431594128580612096
혜쵸72,@moon_loverweed,2021-08-24T15:11:28.000Z,"혜쵸72
@moon_loverweed
·
Aug 24","테일즈 시리즈는 게임은 안 해봐도 곡은 들어봤다 이 경우가 많은 게 어린 시절 흥했던 오타쿠 관련 카페, 블로그 노래로 테일즈 시리즈 곡 들어 간 경우가 많아서(...)",,,,,[],https://twitter.com/moon_loverweed/status/1430185999741640708
닥틱,@dantin60142285,2021-08-03T20:54:58.000Z,"닥틱
@dantin60142285
·
Aug 3",유튜브 댓글 기록 생각나서 보고 왔는데 생각보다 이상한 건 없었다 카페-블로그 시절을 이미 거친 덕분이겠지....,,,,,[],https://twitter.com/dantin60142285/status/1422662298158567424
요술손,@dytnfths7044,2021-08-23T12:53:19.000Z,"요술손
@dytnfths7044
·
Aug 23","시화방조제 워킹 해루질... (출처 : 헤어카페 | 블로그)
시화방조제 워킹 해루질...
요술손 오랫만에 야간해루질 다녀 왔습니다 장소는 서울근교 가까운곳 시화 방조제... https://youtu.be/h...
m.blog.naver.com",,,,,['https://pbs.twimg.com/card_img/1443024437993820165/vFAkw6M2?format=jpg&name=240x240'],https://twitter.com/dytnfths7044/status/1429788846250622981
랄프,@Ral_Otaku_World,2021-08-06T15:07:21.000Z,"랄프
@Ral_Otaku_World
·
Aug 6","네이버 블로그 안함.
카페 블로그 이런 활동을 거의 한적이 없고
단한번  가디언테일즈 공식카페에서의 추억이.,
쓰라리다
냐
@nyaanim
 · Aug 6
Replying to @Ral_Otaku_World
네이버 블로그 주소
1",📌,1,,,['https://pbs.twimg.com/profile_images/1441031594500755459/1jHkx9tS_mini.jpg'],https://twitter.com/Ral_Otaku_World/status/1423661979877527559
𝐍𝐈𝐊𝐄,@rita_decoco,2021-08-29T09:53:13.000Z,"𝐍𝐈𝐊𝐄
@rita_decoco
·
Aug 29","오타쿠진화과정:
블로그->카페,블로그->카스->트위터->트위터,픽시브백업,픽시브뒤적임,포스타입",,,,,[],https://twitter.com/rita_decoco/status/1431917850038464514
꼬치,@Kochi_MT,2021-08-11T09:22:34.000Z,"꼬치
@Kochi_MT
·
Aug 11","난 순서가
소닉 - 카페 - 블로그 1초 - 트위터엿던거같음",,,,,[],https://twitter.com/Kochi_MT/status/1425387155585519618
