UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
CO봉봉OL,@MMong430,2021-08-21T14:18:11.000Z,"CO봉봉OL
@MMong430
·
8월 21일","사랑은 마치, 마치
노을 진 하늘처럼
노랗게 물들었다
빨갛게 피어나죠
#레드북
3
509
429",,3,509,429,['https://pbs.twimg.com/media/E9Ug7_bUcAMOZz8?format=png&name=small'],https://twitter.com/MMong430/status/1429085426602577920
썸퍼,@thumpersf9,2021-08-28T06:21:26.000Z,"썸퍼
@thumpersf9
·
8월 28일","사랑은 마치! 마치! 

#재윤
413
362",✌ ❤ ✌,,413,362,['https://pbs.twimg.com/ext_tw_video_thumb/1431502143207272451/pu/img/w_JRrQFDgETaJySo.jpg'],https://twitter.com/thumpersf9/status/1431502165370019848
드클(),@agefd35,2021-08-29T08:16:04.000Z,"드클()
@agefd35
·
8월 29일","사랑은 마치 마치 클린안나
GIF
1
30
77",🐶,1,30,77,['https://pbs.twimg.com/tweet_video_thumb/E98bc39VIAApX78.jpg'],https://twitter.com/agefd35/status/1431893398412091394
별의파편,@dearminenet,2021-08-15T17:22:04.000Z,"별의파편
@dearminenet
·
8월 16일","덕질은 마치마치
오늘의 날씨처럼
예상할 수 없지만
.
.
.
상관없어요
어디로 가든
1
7",🚀 🌹 📕,1,,7,['https://pbs.twimg.com/media/E82SLBvVgAknHYw?format=jpg&name=small'],https://twitter.com/dearminenet/status/1426957376905564166
옥희,@okhee_sf9,2021-08-17T23:10:07.000Z,"옥희
@okhee_sf9
·
8월 18일","레드북 굿즈우산 개시
사랑은 마치 마치 오늘의 날씨처러엄
3",☔,,,3,['https://pbs.twimg.com/media/E9B1ABIVIAIV4L9?format=jpg&name=small'],https://twitter.com/okhee_sf9/status/1427769741326778368
치쟈,@cheeze_jamong,2021-08-18T04:00:25.000Z,"치쟈
@cheeze_jamong
·
8월 18일","이른 아침 온 세상에 안개가 자욱해도
오후에는 어느샌가 햇살이 눈부시죠

하루종일 비가 내려 기분이 울적해도
언젠가는 맑게 개어 무지개를 만나죠

사랑은 마치, 마치 오늘의 날씨처럼
흐렸다 환해지고 추웠다 따뜻해져

사랑은 마치, 우리의 만남처럼
예상할 순 없지만 기대하게 만들죠
1
2",,1,,2,['https://pbs.twimg.com/media/E9C3dU-UcAoIcaw?format=jpg&name=small'],https://twitter.com/cheeze_jamong/status/1427842798259081223
조정룡,@serenity_wjddms,2021-08-22T15:41:40.000Z,"조정룡
@serenity_wjddms
·
8월 23일","셋이서 사랑은
마치 마치 마치~ 하는 것도 웃기고 잼썻는데
1
1",,,1,1,[],https://twitter.com/serenity_wjddms/status/1429468825376890881
세세빛☆,@Sese_aing828,2021-08-27T14:43:05.000Z,"세세빛☆
@Sese_aing828
·
8월 27일","사랑은마치마치하는클린안나또보고싶다
#온세상이_세정이의_생일을_축하해
세한여자박제는어디까지왔나요
#HAPPYSEJEONGDAY 
나나말은요레드북딥디주세요
14
16",,,14,16,[],https://twitter.com/Sese_aing828/status/1431266018068877322
세정거장_김세정,@threestation_,2021-08-13T15:40:15.000Z,"세정거장_김세정
@threestation_
·
8월 14일","사랑은 마치 마치 김세정
0:13
1천 조회수
51
111",💕,,51,111,['https://pbs.twimg.com/ext_tw_video_thumb/1426206299667066884/pu/img/kwcuXTy0z4QsAupW.jpg'],https://twitter.com/threestation_/status/1426206977638637568
또니타임(공주프사),@GaegosuRosie,2021-08-16T14:42:02.000Z,"또니타임(공주프사)
@GaegosuRosie
·
8월 16일","사랑은 마치 마치 오늘의 날씨처럼 흐렸다 환해지고 추웠다 따뜻해져~
사랑은 마치 마치 노을진 하늘처럼 노랗게 물들었다 빨갛게 피어나죠~
GIF
9
13",,,9,13,['https://pbs.twimg.com/tweet_video_thumb/E863GxqVIAM6ru6.jpg'],https://twitter.com/GaegosuRosie/status/1427279487478108160
마티,@oh__MARTY,2021-08-13T13:05:27.000Z,"마티
@oh__MARTY
·
8월 13일","사랑은 마치...마치... 클린 안나처럼... 
1
7",💓,,1,7,['https://pbs.twimg.com/media/E8rEPyJUUAA910h?format=jpg&name=900x900'],https://twitter.com/oh__MARTY/status/1426168017956708353
