UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
아이리시위스키,@AgathaChristhy,2019-02-04T03:39:14.000Z,"아이리시위스키
@AgathaChristhy
·
2019년 2월 4일","명동 스몰하우스 빅도어 호텔은 54년된 물류창고를 디자인 호텔로 개조한 곳인데 인테리어가 미니멀리즘 그 자체고 접이식 가구도 귀엽고 호텔 로비 겸 카페 겸 비스트로 식당 인테리어도 좋다.
1
492
834",,1,492,834,"['https://pbs.twimg.com/media/DyiCYshUwAAA6Kf?format=jpg&name=360x360', 'https://pbs.twimg.com/media/DyiCYscU8AEw2Xw?format=jpg&name=360x360', 'https://pbs.twimg.com/media/DyiCYsbU8AAS_DA?format=jpg&name=360x360', 'https://pbs.twimg.com/media/DyiCYsbUcAE32j4?format=jpg&name=360x360']",https://twitter.com/AgathaChristhy/status/1092266302574551040
박태인(Taein Park),@TellYouMore,2019-10-25T12:50:10.000Z,"박태인(Taein Park)
@TellYouMore
·
2019년 10월 25일","제가 가장 좋아하는 바&비스트로 '파운드 로컬'입니다. 잠원역과 신사역 사이에 있는데, 음식 하나하나 모두 정말 맛있고 가격도 나쁘지 않습니다. 술과 분위기, 디저트도 좋구요. 오전에는 브런치 카페, 저녁 7시부터 비스트로입니다. 꼭 한번 들려보세요. http://naver.me/FIjkElkV
14
53",,,14,53,"['https://pbs.twimg.com/media/EHuaiDCU4AIPTGp?format=jpg&name=360x360', 'https://pbs.twimg.com/media/EHual5vVUAETcGO?format=jpg&name=360x360', 'https://pbs.twimg.com/media/EHuajp-UwAAlssx?format=jpg&name=360x360', 'https://pbs.twimg.com/media/EHuant0VAAUQ3Yq?format=jpg&name=360x360']",https://twitter.com/TellYouMore/status/1187712956546502656
땅별메들리,@ttangbyeol,2018-01-31T15:22:46.000Z,"땅별메들리
@ttangbyeol
·
2018년 2월 1일","방콕의 Featherstone Cafe
비스트로카페&편집샵
멋진 인테리어와 예쁘고 맛난 음료
열일하는 태국피플
106
170",🍹 👍,,106,170,"['https://pbs.twimg.com/media/DU4QxbvVwAA_nHJ?format=jpg&name=small', 'https://pbs.twimg.com/media/DU4QxbxV4AAFiwG?format=jpg&name=360x360', 'https://pbs.twimg.com/media/DU4QxbwUQAEAbb2?format=jpg&name=360x360']",https://twitter.com/ttangbyeol/status/958722229730033664
Eathentic,@toddsample_eats,2017-01-27T08:12:48.000Z,"Eathentic
@toddsample_eats
·
2017년 1월 27일","해방촌 '팻캣' 브런치카페 문 열자마자 서울 아닌 브루클린의 핫한 비스트로에 온 느낌손님들 대부분 외국인이고 메뉴는 주로 샌드위치와 자연을 먹는 듯한 신선한 샐러드하이라이트는 다른 곳에서 찾아 먹기힘든 로스트비프샌드위치 넘 맛있었어요!신흥로28
161
336",😉 😀,,161,336,"['https://pbs.twimg.com/media/C3KbtDxUcAA7_92?format=jpg&name=360x360', 'https://pbs.twimg.com/media/C3KbtD7VcAM2kBr?format=jpg&name=360x360', 'https://pbs.twimg.com/media/C3KbtDxUoAE_rwV?format=jpg&name=360x360', 'https://pbs.twimg.com/media/C3KbtDyUoAAwRD7?format=jpg&name=360x360']",https://twitter.com/toddsample_eats/status/824892902480359425
도사(갱단),@honeyisright,2021-05-29T14:58:35.000Z,"도사(갱단)
@honeyisright
·
5월 29일","[몬베베브이로그] 뭔 하루가 먹다가 끝나는 꿀프의 하루 / 비스트로 비일 /카페 때가 이르매 / 꿀프파티 https://youtu.be/kh5QWVL1bGU - 
@YouTube
4
7",,,4,7,['https://pbs.twimg.com/media/E2kFUMKVkAEC1oZ?format=jpg&name=small'],https://twitter.com/honeyisright/status/1398655011777777667
단짠단짠☆매지컬,@sweetsalt_magic,2018-07-26T02:28:10.000Z,"단짠단짠☆매지컬
@sweetsalt_magic
·
2018년 7월 26일","부산 전포 카페거리
비스트로 파블로

스윗 토마토 함박(10.0)
6
11",,,6,11,"['https://pbs.twimg.com/media/Di_3OJhVAAINJSs?format=jpg&name=360x360', 'https://pbs.twimg.com/media/Di_3Q6FVAAAz67o?format=jpg&name=360x360', 'https://pbs.twimg.com/media/Di_3PqRU8AASU23?format=jpg&name=360x360', 'https://pbs.twimg.com/media/Di_3STdUUAA5HWV?format=jpg&name=360x360']",https://twitter.com/sweetsalt_magic/status/1022307559951089665
Emiliano Gallegos M.,@E_GallegosMejia,2016-05-05T04:20:24.000Z,"Emiliano Gallegos M.
@E_GallegosMejia
·
2016년 5월 5일","-
다이닝퍼핀 2호점으로 새롭게 오픈한
Pub&Bistro Newyork's Kitchen 입니다!
-
#평택#송탄#신장동#힐탑포레스트#펍#비스트로#카페#레스토랑#뉴욕스키친#pub#pub#bistrocafe…",,,,,['https://pbs.twimg.com/media/ChqmCx1VEAIeXIP?format=jpg&name=small'],https://twitter.com/E_GallegosMejia/status/728076856872697857
이원석 Wonseok Lee,@balgoon,2013-10-02T08:59:33.000Z,"이원석 Wonseok Lee
@balgoon
·
2013년 10월 2일","성대축제 가기 전에 북촌한옥마을에 있는 '비스트로 카페 더 하베스트'에 왔아요! 분위기 너무 좋습니다! 참고로 사장님이 장원이 친구에요! 강추합니다!!!
13
9
16",,13,9,16,['https://pbs.twimg.com/media/BVj18ZNCEAAcKMN?format=jpg&name=small'],https://twitter.com/balgoon/status/385328186222837760
ききーふる·す♡,@yoonsunmi74,2014-11-03T06:19:07.000Z,"ききーふる·す♡
@yoonsunmi74
·
2014년 11월 3일","청담동비스트로카페
1",♥,,,1,['https://pbs.twimg.com/media/B1fwYUACAAA6iF8?format=jpg&name=900x900'],https://twitter.com/yoonsunmi74/status/529155796387368960
CoffeeBrüe,@CoffeeBrue,2016-04-07T11:03:57.000Z,"CoffeeBrüe
@CoffeeBrue
·
2016년 4월 7일","New #Coffee Instagram by @leodin_l 보리로만든 커피.이거대박. 3통구매.
진짜신기할따름. 맛보세요. 아이들도 마실수있어요. 비스트로,카페를 운영하며 수없이 마셔본 커피테이스트로는 …",☕ ☕ ☕,,,,['https://pbs.twimg.com/media/Cfb15ITWQAA-BPf?format=jpg&name=small'],https://twitter.com/CoffeeBrue/status/718031552580550657
