UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
céu.,@lustflouie,2021-08-30T23:45:07.000Z,"céu.
@lustflouie
·
8월 31일","mano… louie tá assim hoje
2
18
85",🫀,2,18,85,['https://pbs.twimg.com/media/E-E5r_SWUAQcRoM?format=jpg&name=medium'],https://twitter.com/lustflouie/status/1432489591056093185
Lidya,@lidyarp21,2021-08-30T23:43:56.000Z,"Lidya
@lidyarp21
·
8월 31일","Quem fez isso mano 
1
4
20",🤣 🤣 🤣,1,4,20,['https://pbs.twimg.com/media/E-E5adUWYAMJ7S8?format=jpg&name=small'],https://twitter.com/lidyarp21/status/1432489292849455106
emmy !! ꩜ joui vive,@saturxies,2021-08-30T23:55:20.000Z,"emmy !! ꩜ joui vive
@saturxies
·
8월 31일","mano os status do meu zap só tem o rubens
10
4
72",,10,4,72,['https://pbs.twimg.com/media/E-E8B4OX0AEsNV4?format=jpg&name=medium'],https://twitter.com/saturxies/status/1432492161577127942
luiza • jerry cantrell #1 fan,@cxntrellis,2021-08-30T23:55:32.000Z,"luiza • jerry cantrell #1 fan
@cxntrellis
·
8월 31일","mano o jerry tava muito cheirado nessa entrevista kkkjk
2
2
31",,2,2,31,['https://pbs.twimg.com/media/E-E8EzvXEAMWnpL?format=jpg&name=small'],https://twitter.com/cxntrellis/status/1432492211673915393
el_mamotreto,@el_mamotreto,2021-08-30T23:51:51.000Z,"el_mamotreto
@el_mamotreto
·
8월 31일","my muralist side. I did it in 2019 on canvas, for a kindergarten. For the children and because the teacher was delicious. 

-muralito del 2019, tela de 4 x 2,5m para un jardín de infantes, por les niñes y porque la maestra estaba más buena que comer pollo con la mano.-
1
1
7",🧐,1,1,7,['https://pbs.twimg.com/media/E-E6IM1XoAMUoA4?format=jpg&name=small'],https://twitter.com/el_mamotreto/status/1432491286817349635
calígula,@mattt_ts,2021-08-30T23:42:38.000Z,"calígula
@mattt_ts
·
8월 31일","el sábado estaba en una fiesta con unas amigas y de repente se fueron todas al baño y quedé solo en una esquina con un vaso en la mano ERA EL MEME
7",,,,7,['https://pbs.twimg.com/media/E-E5HzOWQAALdWL?format=jpg&name=small'],https://twitter.com/mattt_ts/status/1432488967996325891
Will_jr,@WiilmarJr,2021-08-30T23:46:01.000Z,"Will_jr
@WiilmarJr
·
8월 31일","SO VEM FEAT COM JOÃO GOMES E VITINHO IMPERADOR, CLK VAO SER TOP MANO DO CEU!

https://m.youtube.com/watch?v=e6SRYT750W8&feature=youtu.be#…

CANAL TAEL CHEGOU
SERÁ UM PISEIRO NOSSO PRÓXIMO HIT??
Sigam a Tays e o Biel no instagram:Tays - https://www.instagram.com/taysreis/?hl=enBiel - https://www.instagram.com/biel/?hl=en
youtube.com
1
10
17",🍡 ☀ 🦅 🎓 🎮,1,10,17,['https://pbs.twimg.com/card_img/1440094344648675329/_L2jGOTO?format=jpg&name=240x240'],https://twitter.com/WiilmarJr/status/1432489818085265414
Mauro Palacios,@palacios_mauro,2021-08-30T23:59:47.000Z,"Mauro Palacios
@palacios_mauro
·
8월 31일","Lo fue #Ponzio #Maidana y #Pinola El #River 2021/22 tiene a Enzo Pérez como líder absoluto de lo que viene de la mano de #Gallardo
5
14
321",,5,14,321,[],https://twitter.com/palacios_mauro/status/1432493281556979713
Luciano ilieff,@LucianoilieffOK,2021-08-30T23:54:54.000Z,"Luciano ilieff
@LucianoilieffOK
·
8월 31일","Hace rato que River no ganaba un partido sobre la hora, al fin el barba nos dio una mano.
7
88
1천",,7,88,1천,[],https://twitter.com/LucianoilieffOK/status/1432492052592435201
NEIDECOMENTA||,@Neidecomenta,2021-08-30T23:59:24.000Z,"NEIDECOMENTA||
@Neidecomenta
·
8월 31일","Mano o carelle não tem limite  olha a chamda da #AFazenda13
Ⳏortal Tudo em Foco
@tudo_emfoco
 · 8월 31일
GENTE! A chamada de #AFazenda5 em que a Record botou um bonequinho do #BBB sendo perseguido pela policia e no final escreveu ""A Fazenda: Um reality acima de qualquer suspeita"". Alusão ao BBB12 que teve o caso do suposto estupro e a polícia foi bater na porta do PROJAC #AFazenda13
0:29
1.1만 조회수
2
8",🐝 🏚 🍭 🍪 🤣 🤣,,2,8,['https://pbs.twimg.com/profile_images/1435856766160494594/lbOgPdUe_mini.jpg'],https://twitter.com/Neidecomenta/status/1432493187080364034
mª,@Abichtt,2021-08-30T23:52:51.000Z,"mª
@Abichtt
·
8월 31일","mano JURO que quem faz uma CRUELDADE dessas deveria ser no mínimo preso(a)
thecrowner
@brbslsn
 · 8월 30일
o café q minha prima faz aqui em casa 

Q ÓDIO 
2
9",🐆 😩 😩 😩 😩 😖 😖 😖 😖 😖,,2,9,"['https://pbs.twimg.com/profile_images/1407190174170292225/mA6aWpKK_mini.jpg', 'https://pbs.twimg.com/media/E9_57z0X0AAmrCZ?format=jpg&name=small']",https://twitter.com/Abichtt/status/1432491538152570881
Luca Bonfante,@LucaBonfante98,2021-08-30T23:49:21.000Z,"Luca Bonfante
@LucaBonfante98
·
8월 31일","#Garchar

La falta de propuestas concretas del gobierno va de la mano de frases que buscan impactar y que están totalmente alejadas de la realidad.

¿Sabían que el Presupuesto estatal asigna solo $10 por estudiante para ESI al año? 
1
6
10",⛪,1,6,10,[],https://twitter.com/LucaBonfante98/status/1432490656686084101
Clara,@aclaralb,2021-08-30T23:55:33.000Z,"Clara
@aclaralb
·
8월 31일","que sacanagem a netflix tirar greys, mano n to nem acreditando q ódio
1
6
16",,1,6,16,[],https://twitter.com/aclaralb/status/1432492216161873924
