UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
And He’s Had Enuff,@andy4democracy,2021-08-09T13:28:12.000Z,"And He’s Had Enuff
@andy4democracy
·
8월 9일","If you missed it the 1st time around, this Freedom Cafe message is worth a read, a laugh, and a refresh with “get vaccinated” in place of the phrase “wear a mask” in the 1st sentence

Give me Liberty, Lunch at the Freedom Cafe, and a Hospital Bed

#DemVoice1 #wtpBLUE #wtpEARTH
10
146
185",🌊 🌊,10,146,185,['https://pbs.twimg.com/media/E8WjGkeXIAETon_?format=jpg&name=900x900'],https://twitter.com/andy4democracy/status/1424724194118541320
Salute Her,@SaluteHerUK,2021-08-20T07:24:45.000Z,"Salute Her
@SaluteHerUK
·
8월 20일","Welcome to the home of Salute Cafe – where there is always time to refresh!

We are a cafe for the community, serving excellent coffee & cakes alongside light meals.

We are pleased to open again on 23rd of August at 10am,  pop down and try our new menu.
2
4
12",,2,4,12,"['https://pbs.twimg.com/media/E9N5ZjUWYAEeVXo?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9N5ZvBWUAY-zki?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9N5Z7LXEAQ-Yge?format=jpg&name=360x360']",https://twitter.com/SaluteHerUK/status/1428618995083759617
Severn Hospice,@severnhospice,2021-08-25T15:35:05.000Z,"Severn Hospice
@severnhospice
·
8월 26일","We are on the lookout for permanent cafe assistants and baristas for Café Refresh at our hospice in Bicton, Shrewsbury. If this is just what you are after, visit our website for more details. http://bit.ly/SHworkforus
GIF
7
3",,,7,3,['https://pbs.twimg.com/tweet_video_thumb/E9pZlIlWEAIvFBB.jpg'],https://twitter.com/severnhospice/status/1430554329128259584
julia roberts •,@juhrobertss,2021-08-19T19:24:59.000Z,"julia roberts •
@juhrobertss
·
8월 20일","gato e café gelado

refresh your pinterest four times and every first picture after a refresh is your aesthetic
flobs
@fravineas
 · 8월 19일
quem amou?

refresh your pinterest four times and every first picture after a refresh is your aesthetic  twitter.com/sofiacrvo/stat…
1",,,,1,"['https://pbs.twimg.com/media/E9LUpoHX0AIE31B?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9LUqLgWEAsott2?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9LUp4aXsAIbN3i?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9LUqhNWQAs8BNR?format=jpg&name=360x360', 'https://pbs.twimg.com/profile_images/1441096774328877070/19Lz8SOb_mini.jpg', 'https://pbs.twimg.com/media/E9H0FiDXMAME_dj?format=jpg&name=120x120', 'https://pbs.twimg.com/media/E9H0FiDWQAAPQJ1?format=jpg&name=120x120', 'https://pbs.twimg.com/media/E9H0Fh7XsAQO8fk?format=jpg&name=120x120', 'https://pbs.twimg.com/media/E9H0Fh5WEAUmtD2?format=jpg&name=120x120']",https://twitter.com/juhrobertss/status/1428437861716615170
JW,@Jeongwor,2021-08-01T09:03:10.000Z,"JW
@Jeongwor
·
8월 1일","Playing role as the cafe prince on this new episode of Treasure Map, served their coffee within their best looks. Fact stated that beneath the sunny day, a cup of hot coffee will helps you to refresh the day. Would you like to sip on this coffee? | https://youtu.be/WvqTxtohpJs.",,,,,['https://pbs.twimg.com/media/E7sZuVPVEAggqBl?format=jpg&name=small'],https://twitter.com/Jeongwor/status/1421758394197692419
Maria ᗢ,@ahloveyujin,2021-08-07T09:49:53.000Z,"Maria ᗢ
@ahloveyujin
·
8월 7일","it’s so hard to choose but some of my favorites are mistake, refresh, cafe mocha please, i like it, what planet are you from?
ana
@seungclear
 · 8월 7일
3. Favorite bside
이 스레드 보기",,,,,['https://pbs.twimg.com/profile_images/1436593084607852550/JSbCSw1R_mini.png'],https://twitter.com/ahloveyujin/status/1423944477786390529
Reality Changers,@RealityChangers,2021-08-02T14:47:02.000Z,"Reality Changers
@RealityChangers
·
8월 2일","This is the last week to get a Dias de Verano drink at 
@CafeinaCafeSD
. Give back to Reality Changers and get entered into a raffle to win Cafeina Cafe swag! Refresh with the Lavender Earl Grey Horchata, Vanilla Cola Cold Brew Float, or a Jamaica Lemon Lime before Friday.",,,,,['https://pbs.twimg.com/media/E7yyBF4WUAooc2g?format=jpg&name=small'],https://twitter.com/RealityChangers/status/1422207319014793221
Park-Ri Kells,@ParkRiKells,2021-08-11T09:52:25.000Z,"Park-Ri Kells
@ParkRiKells
·
8월 11일","Experience the difference in Park Rí, Destination Stop & Food Court, Kells. A place to Refuel, Relax & Refresh and enjoy freshly prepared good food in a relaxed family atmosphere; from day-time to evening dining.  Choose from any of our five food outlets and our Barista Café. w
1
1",,,1,1,['https://pbs.twimg.com/media/E8gE3GhWUAUjLTN?format=jpg&name=small'],https://twitter.com/ParkRiKells/status/1425394664362872835
Workfrom,@workfrom,2021-08-11T19:49:38.000Z,"Workfrom
@workfrom
·
8월 12일","Café got a refresh! Join us at 4pm EST for Wednesday live coworking. 

Bring your tasks and pull up a chair. We'll bring the vibes and focus music  https://bit.ly/anywhere-cafe

#remotework #live #coworking
2",🙌,,,2,['https://pbs.twimg.com/media/E8iNKqtXMAkU8E6?format=jpg&name=small'],https://twitter.com/workfrom/status/1425544959747313667
Riyadh Marriott,@RiyadhMarriott,2021-08-11T12:09:30.000Z,"Riyadh Marriott
@RiyadhMarriott
·
8월 11일","بعد يوم عمل شاق،  انعش نفسك بعصائر طازجة ولذيذة بكافية اتريوم!

After a hard day work, Beat The Heat and refresh yourself with our fresh and delicious juices at Atrium Café! 

#Atrium #Riyadh_Marriott #Marriott #Riyadh #KSA 

#ماريوت_الرياض #الماريوت #الرياض #السعودية",,,,,['https://pbs.twimg.com/media/E8gkQnbWUAEIWIo?format=jpg&name=small'],https://twitter.com/RiyadhMarriott/status/1425429163838746652
