UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
거래,@A5M67HhZ4bwLRUr,2021-08-05T13:23:58.000Z,"거래
@A5M67HhZ4bwLRUr
·
Aug 5","안녕하세요. 해당 의상은 일본 내 아이스 쇼에서 입은거라고 합니다.
물론 저 옷을 입고 우익장르를 선보이는게 공식 대회 갈라쇼였든, 자국내 아이스쇼였든 옳지는 않다고 생각합니다.
하지만 우리의 애국이 잘못된 정보가 포함되어서 표출되면 또 꼬투리가 잡힐까 두려워.. 인알을 합니다.
난심장도영혼도없다.
@Sika__01
 · Aug 5
합성 아니고 진심임?? 본인들이 전범가해자로서 피해국들이 참전하는 앞에서 전범미화 우익여혐애니코스프레를 한다고??? 이건 선 넘었지;;; 우리나라에서 양지로 슬금슬금기어나온다고해도 니네가 이러면 안되는 거 아니냐 미치겠네 twitter.com/koekoeko15/sta…
Show this thread
1
1K
190",,1,1K,190,"['https://pbs.twimg.com/media/E8B7xrZVoAwIstI?format=jpg&name=small', 'https://pbs.twimg.com/profile_images/1357144122289582080/ytzoOBoE_mini.jpg']",https://twitter.com/A5M67HhZ4bwLRUr/status/1423273577973882880
ＲａｏｎＮｕｒｉ,@moolpang,2021-08-20T13:34:33.000Z,"ＲａｏｎＮｕｒｉ
@moolpang
·
Aug 20","김요한 목사

나는 김건희 씨가 한림대든 한림성심대든, 어디를 출강했느냐보다도(물론 이 건도 상당히 중요한 문제지만) ""아바타를 이용한 운세 콘텐츠 개발 연구""로 학위를 받은 사람에게 학생들의 수업 받을 권리를 넘긴 학교 측의 행태가 참  괘씸하다.
17
28",,,17,28,['https://pbs.twimg.com/media/E9POCoBVUAECLno?format=jpg&name=900x900'],https://twitter.com/moolpang/status/1428712059873554434
다이무스홀든,@deimus_0112,2021-08-01T12:56:30.000Z,"다이무스홀든
@deimus_0112
·
Aug 1","재영... 너무 가고싶은 나머지 만들어버렷습니다.
상자는 전부 모이면 조율해서 배분 할 예정이에요! 출발 날짜 정하진 않았는데 16~21일 사이에 하루 정해서 출할 예정이니 참고해주세용
투명싹은 뇌에 든게 많이 없어 뭐가 빠졌는지도 잘 모르겠으니 궁금하신 사항이 있으시다면 옾챗으로 와주세용,,
1
11
2",,1,11,2,"['https://pbs.twimg.com/media/E7tPHfRUUAQVhik?format=jpg&name=small', 'https://pbs.twimg.com/media/E7tPIADUYAEGmKW?format=jpg&name=360x360']",https://twitter.com/deimus_0112/status/1421817114889916417
卽生 꽃무늬양말,@striped_socks19,2021-08-23T16:41:51.000Z,"卽生 꽃무늬양말
@striped_socks19
·
Aug 23","‘명단’ 받아든 이준석, 공언대로 출당·제명 초강수 둘까
-
6월초 이준석 당대표 선출된 후 ""부동산 투기자는 민주당보다 더 강한 처벌""을 약속해 놓고 12명의 투기 의혹 국회의원 명단이 넘어오자 ""지금은 명단을 공개할 수 없다""고 꼬리를 내린다. 니가 한물 간 70대 국회의원과 뭐가 달라?
3
158
172",🎯,3,158,172,[],https://twitter.com/striped_socks19/status/1429846357846552576
늘,@KJH_48,2021-08-11T01:45:32.000Z,"늘
@KJH_48
·
Aug 10","오늘 자 꿈에서 종현이 스릴러 책이 출간된다는
소식을 접했다.

불가능했던 일이 가능해지자, 팬들이 행복의 눈물을 흘렸고, 나역시 눈물을 훔치며 예약구매 주문을 넣었다. 

제발 이것이 예지몽이길..

종현의 관한 뭐가 되었든 좋은 소식이 들려왔으면 좋겠다.
2",🙏,,,2,['https://pbs.twimg.com/media/E8eVdJZVUAY2I78?format=jpg&name=small'],https://twitter.com/KJH_48/status/1425272137812561924
파팡,@MaybePangIn,2021-08-24T11:57:56.000Z,"파팡
@MaybePangIn
·
Aug 24","택시 콜 안하고 길가는거 잡으면 은은하게든 강렬하게든 기분나뿐 일이 생기는 것 같음.. 오늘도 마포구청역 n출 가주세요 했더니 n출이 어느쪽이냐길래 남쪽이요 이랬는데 그렇게 말하면 모른다고 함. 모르면 네비를 찍어 시발놈아 라고 속으로 욕했지만 심호흡으로 화를 가라앉혔다.
1
13",🌊 ⚔ ⚔ 🌹 ☂,1,,13,[],https://twitter.com/MaybePangIn/status/1430137295630262279
흉부미식가,@HshXuk,2021-08-28T14:07:40.000Z,"흉부미식가
@HshXuk
·
Aug 28","야화첩 그냥 봐도 찌통일 때 많은데 ost 야화 들으면서 뮤비 보니까 대서사시임ㅜㅜ미쳣음...친구랑 야화 뮤비보며 궁예하다가 문득 든 생각인데 나겸이 숙청당한 양반집 자제였는데 애라도 살리려고 기생집에 버려졌거나 어머니는 천출이어도 아버지가 양반이었거나 그런 출생의 비밀 있는 거 아님?ㅠ
1
1
6",,1,1,6,[],https://twitter.com/HshXuk/status/1431619494015746052
RESIST,@R3S1ST______,2021-08-30T10:59:40.000Z,"RESIST
@R3S1ST______
·
Aug 30","지구 끝의 온실이 하반기가 되자마자 출간됐는데 므레모사도 겨울에 출간된다고 했고 마음산책에서도 신간이 나온다고 했고... 마음산책에서 출간되는 게 인스타에서 말씀하시는 단편집인지 아닌지 모르겠는데 뭐가 됐든 망부석처럼 기다리고 있어야지
1
5",👀 📚 🤍,1,,5,[],https://twitter.com/R3S1ST______/status/1432296958727626758
다시다,@haotsu_2,2021-08-27T02:29:20.000Z,"다시다
@haotsu_2
·
Aug 26","솔직히 장철한 퇴출 난 너무 과했디고 생각하고 당에서 본보기로 퇴출시킨거 아닌가 싶음. 장철한이 일본 제국주의 옹호해서 그런 사진 찍은게 아니라고 생각하거든...거기 위치가 정말 아무런 생각 없이 평범한 신사라고 생각해서 사진 찍기 쉬운곳이잖어.
1
22
34",,1,22,34,[],https://twitter.com/haotsu_2/status/1431081364778983425
검지호,@basejih0ball,2021-08-09T12:00:53.000Z,"검지호
@basejih0ball
·
Aug 9","구단에 따르면 브룩스가 인터넷으로 주문한 전자담배에서 세관 검사 과정 중 대마초 성분이 검출됐다는 내용을 지난 8일 오후 관계당국으로부터 통보를 받았다.

""누구든 예외없다"" KIA, '초대형 악재' 브룩스 전격 퇴출 과정 [오!쎈 광주] | 다음 스포츠
""누구든 예외없다"" KIA, '초대형 악재' 브룩스 전격 퇴출 과정 [오!쎈 광주]
[OSEN=광주, 이선호 기자] ""누구든 예외 없다"". KIA 타이거즈에 초대형 악재가 터졌다. 에이스 애런 브룩스(31)를 전격 퇴출했다.  KIA는 9일 보도자료를 통해 브룩스가 미국에서 해외 직구로 주문한 전자담배에서 대마 성분이 검출되어 KBO에 임의탈퇴 공시를 요청하겠다고 발표했다.  브룩스는 구단을 통해 “한국에서는 대마초가 불법이라는 사실을 알
sports.v.daum.net
1
6
2",,1,6,2,['https://pbs.twimg.com/card_img/1440711858122485771/E6xzZBwp?format=jpg&name=small'],https://twitter.com/basejih0ball/status/1424702219081830401
Montana_SF,@overthe40ss,2021-08-19T21:25:58.000Z,"Montana_SF
@overthe40ss
·
Aug 19","인프라는 까는 순간부터 깔고 난 후에도 계속 돈이 들어감. 고로 경제적 부가가치가 창출되어야만 인프라 유지가 가능. 산업기반이 뒤따라가든 농산물 재배나 물류가 원활해지든 어쨌든 뭐가 따라와야 함.
3
4",,,3,4,[],https://twitter.com/overthe40ss/status/1428468305669492742
chocojun,@chocojun,2021-08-06T08:00:04.000Z,"chocojun
@chocojun
·
Aug 6","합리적인 의심이 든다. 대체 어떤 비서가 상사 몰래 당원들 당비까지 대신 내며 범죄를 저지를까? 시켜서라면 일면 수긍이 가지만 모르게 했다니? 그리고 출소 후 다시 중용됐다라… 이건 조폭 영화에서 흔히 보던 스토리.
存在&時間 Being and Time
@Beingandtime27
 · Aug 6
이낙연의 비서로서 활동하다, 이낙연 모르게, 도지사 선거에서 사비털어 당원들의 당비를 대납하다가 징역을 살고, 간암 및 자살로 생을 마친 2명의 이름은 

노종석(1959-1996), 이경호(1996-2020)
Show this thread
4
4",,,4,4,"['https://pbs.twimg.com/profile_images/1249199877252210688/3E8ulGrZ_mini.jpg', 'https://pbs.twimg.com/media/E8FyOQMVoAY3nQn?format=png&name=240x240', 'https://pbs.twimg.com/media/E8FyUBuVIAI3o5s?format=png&name=240x240']",https://twitter.com/chocojun/status/1423554452389199876
descending,@RunnerRscher,2021-08-18T05:16:34.000Z,"descending
@RunnerRscher
·
Aug 17","이 상태로는 이 논문이 출간되도 부끄러울 것 같다..라는 공동저자 이야기를 듣고 심란했다. 나는 어찌되었든 출판물이 필요한 상황이어서 어쨌든 이 걸 버릴 수 없지만, 논문 자체가 많이 부족하다는 것을 알기 때문이다. 다른 연구자 친구와 이야기 나눈 결과 1) 결과를 정리하고 페이퍼를 쓰다보면
1
1",,1,,1,[],https://twitter.com/RunnerRscher/status/1427861961153257473
면도,@myeondopyeong,2021-08-19T12:28:47.000Z,"면도
@myeondopyeong
·
Aug 19","아악 젊어서는 살인욕구가 더 강했는데 나이 들어서는 살인욕구가 한지 탐하는 욕구와 어느정도 합의를 봐서 가학욕구로 표출된거 대박대박
살인이든 가학행위든 이러나 저러나 한지 가지려는 행위같아서 쟉한 커플링은 온전히 성립되는 안정감이 너무 감동적이에요…
3
5",,,3,5,[],https://twitter.com/myeondopyeong/status/1428333118105161733
메론먹는 어른양J,@melonnoniyoi,2021-08-27T06:50:10.000Z,"메론먹는 어른양J
@melonnoniyoi
·
Aug 26","이게 아무래도 니게하지 sp부터 코우노돌까지 보면서 든 생각이... 드라마가 저렇게 남성도 임출육을 단순히 도와준다,가 아니라 함께하는 거다,라고 얘기하는 걸 보면 실제로는 전혀 그렇지 않고 있단 얘기고(이마짚
1
2
7",,1,2,7,[],https://twitter.com/melonnoniyoi/status/1431147007448551424
pas,@not_a_pasta,2021-08-27T08:16:19.000Z,"pas
@not_a_pasta
·
Aug 27","희망을 믿는 사람 안좋아하는 법 모르지... 그게 그냥 쫓아가는 거든지 내면에 우직하게있든지 뭐가됏든 하여튼 촌스러운 거라고 생각안하는 사람.... 그리고 그걸 믿는 두사람이 사랑을 한다? 너무 좋음(갑자기표출되는알페서자아)
5
7",,,5,7,[],https://twitter.com/not_a_pasta/status/1431168687294218242
묻지마_Fantastic,@JayAssYun,2021-08-20T14:24:48.000Z,"묻지마_Fantastic
@JayAssYun
·
Aug 20","이런 성폭행범은 교화될 여지가 없다. 의지로 되는 일이 아니라면, 저 범죄자놈을 위해서든 다른 사람들을 위해서라도 
화학적/물리적 거세가 답이지 않을까?

[단독] 출소 석 달 만에 전자발찌 차고 대낮 성폭행..40대 남성 구속 | 다음 뉴스
[단독] 출소 석 달 만에 전자발찌 차고 대낮 성폭행..40대 남성 구속
[뉴스데스크]  앵커  한 농촌 마을 길가에서 환한 대낮에, 한 남성이 여성을 덮쳐서 성폭행을 했는데, 알고 보니까, 성범죄로 실형을 살고 막 출소한 상태였습니다. 심지어 전자 발찌까지 차고 있었지만, 재범을 막지 못했습니다. 정혜인 기자가 단독 취재했습니다. 
news.v.daum.net",◀ ▶ ◀ ▶,,,,['https://pbs.twimg.com/card_img/1441376988527087618/6fXEf5Bl?format=jpg&name=small'],https://twitter.com/JayAssYun/status/1428724703804280838
소 - 렐,@Elfingrot_,2021-08-19T12:52:10.000Z,"소 - 렐
@Elfingrot_
·
Aug 19","@ 근데 제가 아직 금매솔을 다 못읽었거든요 왜냐면..씬이 너무 꼴려서 진도가 안나감(ㅈㄴ 

크렇다고 합니다!!!(죄송해요 언팔하지 말아주세요 제가 어떻게든 글을 팔고 싶어서 그 돈으로 세라이야기 출간 나오면 사야
1
12
14",✨ ✨,1,12,14,[],https://twitter.com/Elfingrot_/status/1428339003946799105
팬을 추격하는 작가/ 인연대로 순리대로,@joyble2,2021-08-27T17:43:37.000Z,"팬을 추격하는 작가/ 인연대로 순리대로
@joyble2
·
Aug 27","드씨든 출간이든 저는 늦게 파악해서 여러 가지 아쉬운 점들 많으셨을 것 같은데요 ^^ 거의 전부 제가 허술해서 아쉬운 부분들이 생기신 거니까 그래도 예쁘게 봐주셨으면 합니다앙. 방송할 때마다 제가 다른 연결된 분들께 폐를 끼치는 게 아닌가하는 생각이 들곤 해요.
1
2
43",,1,2,43,[],https://twitter.com/joyble2/status/1431311450836910080
아몬드,@soph_omo_re,2021-08-24T02:26:38.000Z,"아몬드
@soph_omo_re
·
Aug 23","누구나 서로에게 혐오라는 감정을 지닐 수 있다. 그게 사소한 문제로부터든, 아주 큰 문제로부터든. 그러나 그 혐오를 표현하는 과정에서 자기 자신이 어느 정도 절제할 필요가 있다고 말하고 싶다. 감정을 표출하는건 인간이라면 당연한 일이지만 인간이기에 혐오 대상에 대한 피해의 책임을
1
1",,1,,1,[],https://twitter.com/soph_omo_re/status/1429993521268756490
더미,@dRwsQjHle90VdIN,2021-08-15T14:44:41.000Z,"더미
@dRwsQjHle90VdIN
·
Aug 15","어떤 사람이 어떤 컨텐츠에 대해서 생리적인 혐오감(역겨움)이 든다고 공개적으로 자신의 의견을 표출했을 때 그것을 좋아하는 사람들이 어떤 감정이 드는지를 제가 증명을 여기서 할 필요는 없습니다. 수많은 사람들이 그에 따른 반발의 의견들을 내놓았기 때문이죠. 보면 알지 않습니까?
𝑪𝒉𝒍𝒐𝒆
@umbrella_Ieaf
 · Aug 15
개인이 컨텐츠에 느끼는 생리적인 거부감과 불편감 자체만으로 (그것이 어떤 불편감인지 내용은 배제한채) 타인에게 모욕이 된다는 것을 좀전에 기생충의 예시로 증명하지 못하셨잖아요..? twitter.com/dRwsQjHle90VdI…
Show this thread
1",,,1,,['https://pbs.twimg.com/profile_images/1441641323719643139/LnntYS84_mini.jpg'],https://twitter.com/dRwsQjHle90VdIN/status/1426917767207264261
다비,@ilikedrjjjc,2021-08-11T16:31:55.000Z,"다비
@ilikedrjjjc
·
Aug 11","제가 젤 아끼는 썰이 깨붙썰, 임출육썰, 지금 잇고 있는 후회공혼란수썰인데 이 세 개 썰 만은 어떻게든 제가 꼭 완결 낼게요!! 익깅을 포함한 다른 분들도 많이 좋아해 주시는 것 …

다음은 질문 상자에
다비의 질문함입니다
질문/답변은 여기
peing.net
1",,,,1,['https://pbs.twimg.com/card_img/1439624519589658624/kbOpjxEI?format=jpg&name=small'],https://twitter.com/ilikedrjjjc/status/1425495201825447939
열음,@CAUSEIL1KEYOU,2021-08-26T22:33:13.000Z,"열음
@CAUSEIL1KEYOU
·
Aug 26","임출육은 하고 싶은 사람이 하는거지.... 하기 싫은 사람한테 강요하는 건 절대 아니라 생각함 ㅠㅠㅋ 막말로 그 긴 기간동안 드는 돈 모두 지들이 책임질 거 아니잖아용ㅋ 몸 갈아넣어가면서 임출육 다 해내가면서 돈도 벌어야하고... 근데 사실 어떤 이유가 됐든 싫다는 걸 강요하는 건 아니라고 봄
2",,,,2,[],https://twitter.com/CAUSEIL1KEYOU/status/1431021943726112768
