UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
한지아,@BFPWlhGjjb46Xvd,2021-08-17T15:48:05.000Z,"한지아
@BFPWlhGjjb46Xvd
·
Aug 17","채연아 프리뷰 보고왔오 ㅎㅎ 춤추는 모습 조금밖에 안 나오긴 했지만 너무 멋있더라 ㅠㅠ 원트 화이팅

오늘 속초에 잇힝트립 투어 다녀왔어 ㅎㅎ
라또래요, 바다정원 카페 등등~~ 행복했당

낙산사 가서 소원종이에 채연이 행복도 빌고 왔어 바다에 적었듯이 언제나 사랑해

 #Dear_이채연
6",🦋 🦋 💙 🥰 🙏 ❤ ❤,,,6,"['https://pbs.twimg.com/media/E9AP1QHUUAA6GQP?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9AP1QKVkAwa9s4?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9AP1QLVkAEn6Ti?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9AP1VkVUAQckxw?format=jpg&name=360x360']",https://twitter.com/BFPWlhGjjb46Xvd/status/1427658500721713156
체리,@blossom__10,2021-08-01T08:57:30.000Z,"체리
@blossom__10
·
Aug 1","210801 무인도탈출기 총막

순수한 영혼이 춤추는 바다 
안녕 동현아 봉수야 수아야 ( ᵕ̩̩ㅅᵕ̩̩ )
1
1
27",🍒 🐰 🏝 🌊 💟,1,1,27,"['https://pbs.twimg.com/media/E7sYXx3VIAEQI9w?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E7sYYu-VEAIv6HK?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E7sYaK1VkAYQCOc?format=jpg&name=360x360']",https://twitter.com/blossom__10/status/1421756966183923714
기타등등,@guitarddjjal,2021-08-01T06:04:42.000Z,"기타등등
@guitarddjjal
·
Jul 31","순수한 영혼이~ 춤추는 바다~ 빛을 잃은 별들이 새로이 빛을 내~
1",,,,1,[],https://twitter.com/guitarddjjal/status/1421713478193012738
White House Photos,@photowhitehouse,2021-08-04T05:58:34.000Z,"White House Photos
@photowhitehouse
·
Aug 3","보이지 않은 
인생길 
마라도 가는 길 
폭풍우 몰아치는 
바다를 건너서
꿈들이 춤추는 그곳
젖먹은 힘 다하여
노를 젓는다
생사의 고비마다 
한라산이
삼신할망이
행운의 사랑을 싣고 
현신한다
어머니
아버지
감사합니다! 
#마라도 #가파도
1
12",,1,,12,['https://pbs.twimg.com/media/E77MPHuUUAcLBdb?format=jpg&name=small'],https://twitter.com/photowhitehouse/status/1422799100982951936
떡밥,@ulyseq,2021-08-19T15:39:03.000Z,"떡밥
@ulyseq
·
Aug 19",지나랑 춤추는 시모네 밤바다가 배경이면 더 좋겠지 정원을 등잔으로 밝히고 호텔 밖으로 잔잔하게 흘러나오는 바이올린 소리에 맞춰 춤을 출거야,,,,,[],https://twitter.com/ulyseq/status/1428381002624213000
𝔏𝔬𝔲𝔦𝔰,@LOUIS__PIRATE,2021-08-04T16:25:15.000Z,"𝔏𝔬𝔲𝔦𝔰
@LOUIS__PIRATE
·
Aug 4","잭이 그랬어. 가끔 밤바다를 보면 커어다란 고래나 귀여운 돌고래, 춤추는 해파리를 볼 수 있대. 오늘은 잠이 안 오니까... 갑판에서 하루종일 바다만 들여다 보고 있을래!
2
9",,,2,9,[],https://twitter.com/LOUIS__PIRATE/status/1422956811431288837
은명일반인여자친구정설,@Bunbal___,2021-08-22T03:46:50.000Z,"은명일반인여자친구정설
@Bunbal___
·
Aug 21","엥...
이게뭔꿈임...?
꿈에서수몰버스갓음... 누...누구로갓는지모름
미친바보방애들이 관짝춤추는거봣음 졸라웃김
바보방애들다같이 바다놀러갓음...
2
3",,,2,3,[],https://twitter.com/Bunbal___/status/1429288929094627330
엔,@ENEKJK_2,2021-08-18T06:35:01.000Z,"엔
@ENEKJK_2
·
Aug 17","가슴+하체운동하고 유산소하면서 바다보러갈래 듣는중
약간 좀 죽을거같은데,,, 귀염뽀짝 춤추는 김꾹 생각하면서 달림
GIF
4",💚,,,4,['https://pbs.twimg.com/tweet_video_thumb/E9DazQZVoAIcpU5.jpg'],https://twitter.com/ENEKJK_2/status/1427881705143037956
시인 범천 송윤진 811 번 (정치 얘기사절),@1979sjk0284800,2021-08-30T05:33:42.000Z,"시인 범천 송윤진 811 번 (정치 얘기사절)
@1979sjk0284800
·
Aug 29","제목: 내 누이

시인 범천 송윤진

내누이 같이 생긴 꽃이여 그대는 가사가 많은 
여우같은 장미구나
저 돌담길 돌담벽앞에
햇빛같이 내마음을 
속삭이는 그대는 장미구나
저 장미는 언제나 춤추는
밤 물결같이 바다에 속삭이는
방파제 같이 전설속 미녀 인어공주처럼 나를 반기는 구나.
1",,,,1,[],https://twitter.com/1979sjk0284800/status/1432214927696031748
뮤지컬 무인도 탈출기 대사 / 가사봇,@Mooindo_Lyrics,2021-08-17T07:07:33.000Z,"뮤지컬 무인도 탈출기 대사 / 가사봇
@Mooindo_Lyrics
·
Aug 17","순수한 영혼이 춤추는 바다
빛을 잃은 별들이 새로이 빛을 내

하지만 환상은 찰나의 촛불
다시 해가 뜨면 그 빛도 사라질 거야
1",,,,1,[],https://twitter.com/Mooindo_Lyrics/status/1427527503363526659
