UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Noxx,@noxx_nox,2021-08-20T15:15:38.000Z,"Noxx
@noxx_nox
·
Aug 20","아니 전선 줄에 칭칭 감겨서 사탕 물고 있는게 이해찬 맞냐고
분명 묶여있는데 꼭 자기가 감아놓은것처럼 눈에 힘풀고 나른한거봐
1
423
736",,1,423,736,"['https://pbs.twimg.com/media/E9PlLZVVIAgHYwB?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9PlLfiVgAYHIP9?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9PlLagUcAQgdGV?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9PlLhGVUAAE5Bk?format=jpg&name=360x360']",https://twitter.com/noxx_nox/status/1428737498423861249
매화,@99__blossom,2021-08-09T16:32:09.000Z,"매화
@99__blossom
·
Aug 9","바쿠고.. 상처입어서 붕대 칭칭 감았는데도 미도리야때문에 바로 날아온거임 누가봐도 중상인데 미도리야 한 명 끌고 오기 위해서 몸 불살라서 ... 사과하려고 왔다는게 진짜.. 미안하다는 그 한마디 하기 위해서... 이즈쿠라는 한 마디를 뱉기 위해서.. 얼마나 많이 고민하고 깊이 생각했을지..
1
170
334",🐣,1,170,334,['https://pbs.twimg.com/media/E8XNNPHUUAE_mLU?format=jpg&name=small'],https://twitter.com/99__blossom/status/1424770486379040772
바다,@captain971003,2021-08-20T15:20:05.000Z,"바다
@captain971003
·
Aug 20","근데 붕대 너무 칭칭 감은거 아니에여?
배부분은 좀 덜 감아도 될 것 같은데
배를 다 가려놨네
85
179",,,85,179,['https://pbs.twimg.com/media/E9PmM19VcA4gXd8?format=jpg&name=small'],https://twitter.com/captain971003/status/1428738616805625860
22,@__Notriangle,2021-08-20T15:22:19.000Z,"22
@__Notriangle
·
Aug 20","칭칭감겨서그런눈으로쳐다보면은 구해줄수없는데
254
393",,,254,393,"['https://pbs.twimg.com/media/E9PmtaUVUA4dinU?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9PmtbqVkAQA9qe?format=jpg&name=360x360']",https://twitter.com/__Notriangle/status/1428739178271940608
우주,@jjuuniverse,2021-08-26T09:51:47.000Z,"우주
@jjuuniverse
·
Aug 26","ㅅㅂ 퐁실퐁실 덮머
민소매 크롭 허리끈 칭칭
217
260",,,217,260,['https://pbs.twimg.com/ext_tw_video_thumb/1430830200024014848/pu/img/w5Y0PY0RXXTOHKAM.jpg'],https://twitter.com/jjuuniverse/status/1430830325106495489
플라워아트돌,@2BREt8vbrkJV3iI,2021-08-16T02:14:34.000Z,"플라워아트돌
@2BREt8vbrkJV3iI
·
Aug 15","#플라워아트돌
이번에 올라오는 신상들 구매시 매듭끈을 드려볼까해요.
칭칭감아서 팔찌 목걸이로 활용할수있도록 하고 끝부분 장식도 해드릴거구요.
5
22",,,5,22,"['https://pbs.twimg.com/media/E84LoEdVcAAZzpe?format=jpg&name=small', 'https://pbs.twimg.com/media/E84LoEfVcAAr5W4?format=jpg&name=small', 'https://pbs.twimg.com/media/E84LoIFUcAYWROV?format=jpg&name=360x360']",https://twitter.com/2BREt8vbrkJV3iI/status/1427091381189677056
신도,@GODbeliever_JDS,2021-08-29T03:33:30.000Z,"신도
@GODbeliever_JDS
·
Aug 28","#그분독자 
넥타이

그분한테 넥타이와 넥타이핀 세트를 선물 받은 독자 
처음엔 별 생각 없이 잘 매고 다녔는데 
우연히 선물의 속뜻을 알게 된 뒤로부터
자꾸만 숨통이 턱턱 막혀오는 독자 보고 싶다
뱀이 사냥감을 칭칭 감듯이, 넥타이가 목을 옥죄이는 상상...

나중에는 그 넥타이로
눈 가리고
1
65
341",,1,65,341,['https://pbs.twimg.com/media/E97ayThUYAAo5wh?format=jpg&name=small'],https://twitter.com/GODbeliever_JDS/status/1431822291587895296
대령님,@Magamsiballoma,2021-08-20T12:59:13.000Z,"대령님
@Magamsiballoma
·
Aug 20","나...사실...고백할게잇서요....
나....체칼리가 가죽 끈에 칭칭 감긴게 보고십어..
3
20",🐇,,3,20,['https://pbs.twimg.com/media/E9PF9SbVUAYx0M3?format=jpg&name=small'],https://twitter.com/Magamsiballoma/status/1428703166330146821
노련한옥수수,@destiny_030_,2021-08-14T15:38:37.000Z,"노련한옥수수
@destiny_030_
·
Aug 14","갑자기 보고싶어진 카무카구
카구라가 카무이 우산 몰래 가지고 나갔다가 고장냈는데 테이프로 칭칭 감아두고 뚫린부분은 천으로 이어붙여서 원상복구해논척하기.. 그거 보고 카구라 이게 뭐야?^^ 하는데 카구라 개뻔뻔하게 아ㅋㅋ 우산이 좀 밋밋해보이길래 내가 꾸며봤다해ㅋ 함
29
60",,,29,60,"['https://pbs.twimg.com/media/E8ww5rwVgAUG8PP?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8ww521VIAMjSGX?format=jpg&name=360x360']",https://twitter.com/destiny_030_/status/1426568954328223748
삐약ピヨ,@PIYO_4_U,2021-08-06T15:36:09.000Z,"삐약ピヨ
@PIYO_4_U
·
Aug 6","진짜 손가락까지 에바라 파스 칭칭., ,손목보호대 나중에 사야겠다...왼쪽손도 이러는중...어차피 잘거니까~0~ 요즘 계속 허리랑 손목 자체가 이래서 롤도 그렇고 컴퓨터로 하는 게임은 아예 불가능..ㅇ)-(  근데 파스가 시원하긴 하다..쏴아아
6
18",🐥 🐥,6,,18,['https://pbs.twimg.com/media/E8HjnXZVgAIoQPb?format=jpg&name=small'],https://twitter.com/PIYO_4_U/status/1423669231262961672
