UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
나랑 피날레 놀이 하자,@Dew_Heir,2021-08-29T14:11:58.000Z,"나랑 피날레 놀이 하자
@Dew_Heir
·
8월 29일","사르멘티... 붕괴 대사 중에 뭐더라 이기적이었나?
너네 살쪘다고 자기한테 밥 더달라고 하는 게 왜 이렇게 여우같은 건지 모르겠음... 특히 타디프한테 딴지 존나 걸어서 빡치게 할 것 같고
아 내 거라고~~~~~~~~~~~~~~~ 너네 다 저리가라고~~~~
1
6
14",,1,6,14,['https://pbs.twimg.com/media/E99s4C9VIAIB6Xb?format=jpg&name=small'],https://twitter.com/Dew_Heir/status/1431982964515041280
찬우물 번 이낙연 랑해요,@pmgag,2021-08-29T13:17:22.000Z,"찬우물 번 이낙연 랑해요
@pmgag
·
8월 29일","난 무료변론 뜨자 마자..쥐새끼 생각 나더라고..아 이제 다왔구나.그래 생각 들더라고.우리가 이명박근혜 를 안격었으면 또 경기지사 때 처럼 속고 자빠질 지도 모르지..그러나 시간이 많이 흘렀고 그런 고생 다시 할 사람 없음.가만히 주위를 돌아 보라고..저거 힘들겠네.감방 가겠네.소리가 들림.
2
267
355",,2,267,355,[],https://twitter.com/pmgag/status/1431969223119540235
양도구해요,@P9fVDIC0Dh84rog,2021-08-30T07:37:44.000Z,"양도구해요
@P9fVDIC0Dh84rog
·
8월 30일","나우 오디오쇼는 초기부터 라디오가 아니라 호스트를 내걸고 하는 그 호스트 고유의 ""오디오쇼""라고 강조하면서 출범했음. 특히 심야아이돌은 첫 오디오쇼라 더 라디오 아니고 그 호스트의 쇼라고 선을 그음. 그래서 나우 쇼들 보면 폐지되면 폐지됐지 엠씨를 바꾸어 시즌을 이어가는 경우가 없엇음
8
528
471",,8,528,471,[],https://twitter.com/P9fVDIC0Dh84rog/status/1432246141362393093
Gajamiii,@1023Aiiii,2021-08-29T16:46:27.000Z,"Gajamiii
@1023Aiiii
·
8월 30일","속세의 모든 걸 가진 포드가 오땅 못 가져서 안절부절하는거 보고싶네...^^ 

5성급 호텔에 데려가 주겠대도 여기가 조은데요? 하는 오땅에 1차 충격. 미슐랭 음식점에 가자고 해도 미슐랭이 모예요 ? 시전하는 오땅에 포드 조금 머리 지끈했음 좋겠다. 그럼에도 자꾸 눈이 가니까 더 심란하겠지
1
5
31",😊 😶,1,5,31,"['https://pbs.twimg.com/media/E9-QRmqVEAQCfnW?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9-QRx_VEAALwqe?format=jpg&name=small']",https://twitter.com/1023Aiiii/status/1432021843536322565
OM™NY,@only_the_moon_,2021-08-30T13:53:47.000Z,"OM™NY
@only_the_moon_
·
8월 30일","혼돈의 시대..

세상이 진흙탕 이지만 그속에서핀 연꽃이더 고귀한거 아니겠음??
울 문프처럼..

벽에다 라도 욕하라 했으니...
ㅅㅂ...열라게 까면서 스트레스 풀자구요!!
말리지마아~~~~ㅋㅋㅋㅋㅋㅋㅋㅋ 
4
8",💎 💎 😏,,4,8,['https://pbs.twimg.com/media/E-CyV_eUUAkam1G?format=jpg&name=small'],https://twitter.com/only_the_moon_/status/1432340775333859329
말랑쪼푸⁸⁴,@ljhluv0313,2021-08-29T10:43:00.000Z,"말랑쪼푸⁸⁴
@ljhluv0313
·
8월 29일","#탐라에_주녁을_채우겠다는_열정

이 날의 주녁은 술이 살짝 들어간 상태라는데 사람이 어쩜 이렇게 맑고 순하고 여리여리할 수 있는지 모르겠다. 그래서 더 좋음. 
GIF
1
31",🍕 🥦 🍿 😍,,1,31,['https://pbs.twimg.com/tweet_video_thumb/E989DL4VEAUtoEn.jpg'],https://twitter.com/ljhluv0313/status/1431930376721559555
얼렁뚱땅,@ulttung,2021-08-30T04:57:38.000Z,"얼렁뚱땅
@ulttung
·
8월 30일","송영길이 언론중재법 상정 연기할 수도 있다 뭐 이런 개소리를 하며 민주당 측에서도 더 논의해봐 야한다는 분위기로 변화하고 있다던데 이 미친놈들이 진짜 아주 안돼 돌아가 내일 국회본회의에서 처리해 
근데 사실 지금 언론이 다같이 언론중재법결사반대라서 지들끼리 분위기 만드는걸수도있음
48
34",,,48,34,[],https://twitter.com/ulttung/status/1432205850345492483
SEOBANG,@made_in_seobang,2021-08-29T13:25:28.000Z,"SEOBANG
@made_in_seobang
·
8월 29일","슬슬 외전 3도 끝이 다가오네요:D 읽어주시는 분들, 감사드립니다.

-걍 원작자 필터링 빼고 얘기하면 아주 그냥  한다 즌쯔...
-썼다지울수밖에없을만큼솔직했음
-사랑해
-둘이 많이 사랑하길...^^
-제가 더 이상 이 둘에 대해 할 말이 없네요. 
-좋은 밤 되세요
봄툰
순정, 로맨스, BL 장르가 가득한 여성 독자를 위한 프리미엄 웹툰
bomtoon.com
11
36",📣 ❌ ❌ 😊 💕,,11,36,['https://pbs.twimg.com/card_img/1439207530308243462/UM5eJn6M?format=jpg&name=240x240'],https://twitter.com/made_in_seobang/status/1431971264722128908
Mr.문도,@Mr07446657,2021-08-30T10:33:37.000Z,"Mr.문도
@Mr07446657
·
8월 30일","메로나의 이슬 궁금해서 먹어봄
민초소주같았으면 욕할려 했는데
자몽에이슬?처럼 잘만들은듯 과일소주처럼 맛있음 알콜맛 하나도
안나고 메로나향? 맛 잘남

자몽에이슬 같은 술 좋아하면 잘먹을듯
그렇지만 그냥 사발에  소주붓고 메로나 넣어서 녹여먹는게 더 맛있겠는데 나쁘지않음
다음 미디어는 민감한 콘텐츠를 포함할 수 있습니다. 설정 변경
보기
1
12",,1,,12,[],https://twitter.com/Mr07446657/status/1432290402153861120
식곰돌ʕ·ᴥ· ʔ,@_IMHARIBO,2021-08-30T15:14:29.000Z,"식곰돌ʕ·ᴥ· ʔ
@_IMHARIBO
·
8월 31일","근데 난 사실 스밍이 왜 하기 싫은지 모르겠음 우리 애들 목소리 듣는건데 반복해서 들으면 더 좋잖아 가사도 외워지고 노래도 좋아서 안질리고 안그러냐? 뭐 현생 살아야되면 걍 잠깐 소리 줄이고
3
41
105",,3,41,105,[],https://twitter.com/_IMHARIBO/status/1432361087047909379
돈부리(どんぶり),@donb00ty,2021-08-29T13:14:10.000Z,"돈부리(どんぶり)
@donb00ty
·
8월 29일","얘들아 누누히말하는데  시마 9화이후 에토리잇던 차 폭발하고 팔 다쳣잖아 (폭발하는 차에 너무 가까이 달려들음) 그 붕대 이부키가 감아줫겟지? 응? 약도 발라줫겟지?

시마쨩 호오༄
뭐하는거야 바보같아
이러면 더 빨리 낫는다고! 나보다 바보야
7
25",,,7,25,[],https://twitter.com/donb00ty/status/1431968419516010506
구사,@guusa94,2021-08-29T10:40:27.000Z,"구사
@guusa94
·
8월 29일","난 설날보다 추석이 좋음
이유는 없는데 그냥 추석이 더 좋지않냐?
17",,,,17,[],https://twitter.com/guusa94/status/1431929733441150977
꽁,@Cha__ggong,2021-08-30T13:45:04.000Z,"꽁
@Cha__ggong
·
8월 30일","아니 개빻은 남성보다 
나같은 젊고 … 어? 하여튼 ! … 젊은 .. 사람이 더 낫지 않겠음?
1
7",,1,,7,[],https://twitter.com/Cha__ggong/status/1432338581897375746
p,@north_p_,2021-08-28T14:08:42.000Z,"p
@north_p_
·
8월 28일","이게 얼마나 대단한 건지 다들 좀 더 알아주었음 좋겠다
Peter Leung
@BaronVonClutch
 · 8월 28일
Sebastian Vettel was following @LandoNorris and made sure to stop to make sure that Norris was OK.

#F1 #BelgianGP
이 스레드 보기
1
2
14",,1,2,14,"['https://pbs.twimg.com/profile_images/462222437447254016/85XC1hwH_mini.png', 'https://pbs.twimg.com/media/E94iZYqUUAMKrgF?format=jpg&name=small']",https://twitter.com/north_p_/status/1431619757053132804
허제,@heoxxma,2021-08-29T12:50:26.000Z,"허제
@heoxxma
·
8월 29일","더 좋아하는 쪽이 손해라는 말이 만연해있는 요즘 같은 때
자기가 받은 또 주고싶은 사랑을 가감 없이 있는 그대로 전달하는 것에 부끄러워하지 않고 더 크게 표현해 주는 영재의 따뜻함은 영재의 장점이고 강점이자 절대 지지 않을 영재의 강력한 무기라고 생각함!!!!
그래서 난 영재한테 확신이 있음
42
60",,,42,60,[],https://twitter.com/heoxxma/status/1431962444688023558
범수,@bummsu,2021-08-29T21:48:37.000Z,"범수
@bummsu
·
8월 30일","솔직히 자캎에 공수 포지션 나는 중요하다고 생각함 그 캐릭터가 좋으면서도 관계성도 중요하다고본데 처음에 정한대로 흘러가지않으면 나는..더 좋아하기 힘들어지더라..관계성도 그 캐릭터를 좋아하는데 큰 부분이 차지하는데..예전에 리버스당할뻔하고 받아들일수없던 무언가를 느끼고 깨진적잇음
1
2
21",,1,2,21,[],https://twitter.com/bummsu/status/1432097885173080068
,@yangmal_ssul,2021-08-30T13:44:46.000Z,"@yangmal_ssul
·
8월 30일","긴히지 언제까지 덕질할까..? 종종 생각하는데 일하면서 더 낡고 지쳐졌지만 꺼지지 않는 촛불처럼 은은하게 계속 좋아하고 있음 여러분만.. 가지 않으면 돼
5
33",🧦,,5,33,[],https://twitter.com/yangmal_ssul/status/1432338508958470145
YERIEL,@03yeriel,2021-08-29T13:45:11.000Z,"YERIEL
@03yeriel
·
8월 29일","지들이 비만 혐오 더 쩔면서 세상 정의로운 척 ㅈㄴ 같잖음ㅋㅋ
17",,,,17,[],https://twitter.com/03yeriel/status/1431976223253549068
깡이,@LGNG_,2021-08-29T15:28:45.000Z,"깡이
@LGNG_
·
8월 30일","가스패닉은 그걸 쓴 노엘도 그렇지만 부른 리암도 너무... 미쳤음 곡을 다 쓴 다음에야 스튜디오에 가져온다 했는데 가스패닉도 그랬을 거 아냐 가족은 더 이상 친밀하게 느껴지지않고 적들은 모두 내 이름을 알고 있다는 얘기를 스튜디오에서 처음 들었을 리암에게 이걸 부르라고 던져주는 건 씨발ㅠ
1
12
23",,1,12,23,[],https://twitter.com/LGNG_/status/1432002286532792320
