UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
알피,@alpaca_paca77,2021-08-08T12:31:53.000Z,"알피
@alpaca_paca77
·
8월 8일","다른계정에서 구억가(@ CMS_QUOKKA ) 님께 넣었던 야오초이 귀미션,,,, 가화만사성 ver 인데 넘 귀엽쪼
2
9
15",,2,9,15,['https://pbs.twimg.com/media/E8RMn-yUcAEKlI3?format=jpg&name=small'],https://twitter.com/alpaca_paca77/status/1424347633674375171
알피,@alpaca_paca77,2021-08-18T15:46:09.000Z,"알피
@alpaca_paca77
·
8월 19일","동숲 괴력난신 초이로 커스텀 해서 오랜만에 접속하깈ㅋㅋㅋㅋㅋㅋ 가화만사성 유니폼 느낌을 내고싶었는데.. 가슴팍에 꽃을 못달아서 머리에 달아줬어요,, 야오는 어울리는 머리가..업서,,
2
4
9",,2,4,9,['https://pbs.twimg.com/media/E9FY_IeVcAIdSq3?format=jpg&name=small'],https://twitter.com/alpaca_paca77/status/1428020400282210316
노시,@KU_CU_QU,2021-08-03T11:58:06.000Z,"노시
@KU_CU_QU
·
8월 3일",가화만사성콘 머리아파,,,,,['https://pbs.twimg.com/media/E73U7IBVIAMnFYR?format=png&name=120x120'],https://twitter.com/KU_CU_QU/status/1422527193847009283
MINAKO,@M2nako_Wildcats,2021-08-17T07:10:57.000Z,"MINAKO
@M2nako_Wildcats
·
8월 17일","되게 익숙하다 했더니..
가화만사성에서 김소연 친정집이었네
2",,,,2,['https://pbs.twimg.com/media/E8-Zdr_UUAYMAyZ?format=jpg&name=900x900'],https://twitter.com/M2nako_Wildcats/status/1427528357109923846
돌베개,@oriorigood,2021-08-25T23:16:42.000Z,"돌베개
@oriorigood
·
8월 26일","조카 둘은 살인자로서 복역 중이고 , 어떤 조카와는 
웬수처럼 의절하고 살아가는구나.
집안마다 문제거리 없을 수 없지만, 가화만사성이라 했거늘
그 다음이 치국평천하...
가화도 못이루며 치국한다고 ?
3
101
109",,3,101,109,[],https://twitter.com/oriorigood/status/1430670502016684034
낄3,@ggilggilggil_35,2021-08-28T15:37:41.000Z,"낄3
@ggilggilggil_35
·
8월 29일","저게 그 가화만사성인가 뭔가하는 그거냐????????
1",,,1,,[],https://twitter.com/ggilggilggil_35/status/1431642147241877511
최석태,@choisttt,2021-08-07T04:49:59.000Z,"최석태
@choisttt
·
8월 7일","멋진 집안, 똘똘 뭉친 최재형 애국가 가족. 가화만사성형 모범가족/최석태/ (출처 : 달리는 사.. | 블로그)
멋진 집안, 똘똘 뭉친 최재형 애국가 가족. 가화만사성형 모범가족/최석태/
정말 품격과 사랑이 넘치는 집안입니다. 이런 집안 지금 한국에서 찾기 어려울 것 같습니다. 가족 구성원 ...
m.blog.naver.com
1
1",,,1,1,['https://pbs.twimg.com/card_img/1442091488880447499/Js1vA43W?format=jpg&name=360x360'],https://twitter.com/choisttt/status/1423869006285479940
라미,@circleooo_,2021-08-19T19:05:08.000Z,"라미
@circleooo_
·
8월 20일","차이나타운 그 가화만사성 촬영지 가서 먹엇는데 존니 맛잇엇오….
1",🐹,,,1,[],https://twitter.com/circleooo_/status/1428432862534008833
호세,@jose_darkblue,2021-08-24T07:47:51.000Z,"호세
@jose_darkblue
·
8월 24일","어머니 가화만사성이 어떤 의미인지 보여드리갯습니다
2",,,,2,[],https://twitter.com/jose_darkblue/status/1430074360027488261
rima,@682rim,2021-08-06T16:47:28.000Z,"rima
@682rim
·
8월 7일","해피동맠 하니까 떠오른 멀않곳... 정석적인 따뜻한 내용은 아니지만 외전 가화만사성까지 읽으면 행복 풀충되는.. 이 갓작을 아직 안읽은 동맠러가 있다면.. 고소하겠습니다..
멀지 않은 곳 1
괜찮다고 말할 때면 정말 괜찮은 세상에서 살고 싶었어 누구의 발목도 잡지 않는 천국 같은 곳에서 *** 이번엔 좀 빠르다? 이틀 만의 등교였다. 느긋하게 택시를 불렀는데 택시 기사가 얼굴과 명찰에 박힌 이름을 알아봐서 오는 내내 귀가 따가웠다. 주원을 향해 손을 흔든 동혁이 지갑을 뒷주머니에 밀어 넣었다. 단 이틀이었으니 정말 이번엔 조금 빠른 편이었다....
521847.postype.com
12
24",,,12,24,['https://pbs.twimg.com/card_img/1439977994852864006/elY0zJXS?format=jpg&name=small'],https://twitter.com/682rim/status/1423687177158873093
야채크래커,@pek33036,2021-08-21T11:02:54.000Z,"야채크래커
@pek33036
·
8월 21일","가화만사성 봐도 보그맘 봐도 댓글이 천서진 애기가 가득해...
1",🎗,,,1,[],https://twitter.com/pek33036/status/1429036280944369668
신동수,@dongsoo48,2021-08-30T09:21:03.000Z,"신동수
@dongsoo48
·
8월 30일","도덕과 법이 땅에 떨어진것같네 형을 강제 입원시키고 형수에게 쌍욕 보확찢소리한 전과4-5범인 놈 지지체돈 자기돈처럼 생각하는 놈이 여당후보중 여론조사1위인 놈 가화만사성시국평천하인데 자라나는 애들이 뭘보고 배울까 암울한 한국 국민들각성하지않으면 나라가어찌될가
38
42",,,38,42,[],https://twitter.com/dongsoo48/status/1432272140854693892
