UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
하당,@UYHA_Dang,2021-08-04T09:28:23.000Z,"하당
@UYHA_Dang
·
8월 4일","킹콩부대찌개에 대현오빠랑 용하 싸인
#위아이 #장대현 #유용하 #대현 #용하
33
84",❤ 💙,,33,84,"['https://pbs.twimg.com/media/E778QY5UUAAjmSI?format=jpg&name=small', 'https://pbs.twimg.com/media/E778QY7VUAYXHEu?format=jpg&name=small']",https://twitter.com/UYHA_Dang/status/1422851900521676806
빠다...,@lovemejangjun,2021-08-05T14:22:21.000Z,"빠다...
@lovemejangjun
·
8월 5일","나 인프제인데
인프제 특징이 호감 있는 사람한테 자꾸 뭐 챙겨주는거래
근데 진짜 맞음
나 지금 장준 ""오빠"" 한테 양념게장 간장게장 낙지젓갈 명란젓 소라젓 텐돈 초밥 김치찌개 된장찌개 돼지찌개 고추장찌개 소고기국밥 순대국밥 돼지국밥 부대찌개 낙지김치죽 전복죽 김밥 우동 양념 오뎅탕
1
4",,1,,4,"['https://pbs.twimg.com/media/E8CJIoxVcA4iPYU?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8CJIowUYBQu8_t?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8CJIoyUYAENXom?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8CJIoyVUAM7k_e?format=jpg&name=360x360']",https://twitter.com/lovemejangjun/status/1423288270893371399
미터⁰²,@meterishere,2021-08-12T10:00:17.000Z,"미터⁰²
@meterishere
·
8월 12일","앞으로 이 계정에서
"" 짧은 순간 넌 내 시가 되고 나를 눈물짓게 ""
하는 모든 언니오빠들 이야기와 각종 먹방과 어쩌다보니 굴러가는 일상 얘기를 하겟습니다 ◠‿◠ 계정 여러개 못굴리겟어요ㅜ 그냥 부대찌개 열심히 끓일게요 맛보고가세요
1
16",,,1,16,['https://pbs.twimg.com/media/E8lQSLxUcAMb2zN?format=jpg&name=small'],https://twitter.com/meterishere/status/1425759034368401412
최끵•_•♡,@kikijjangjjang,2021-08-09T15:24:49.000Z,"최끵•_•♡
@kikijjangjjang
·
8월 10일","근데 저 달 거꾸로 헤어밴드 누가 썼었는데.... 우리그룹인지.... 다른 오빠인지 남의 집 부대찌개 재료 중 1나인지 기억이 안나
1",,1,,,[],https://twitter.com/kikijjangjjang/status/1424753539780255746
if,@yidfw,2021-08-04T11:50:58.000Z,"if
@yidfw
·
8월 4일",울오빠햄조아하는구나.. 그래서 부대찌개... 초딩도욵,🍉 ☁ 🔅,,,,[],https://twitter.com/yidfw/status/1422887784931479552
꼬질,@ggojil2_mandu,2021-08-03T10:31:59.000Z,"꼬질
@ggojil2_mandu
·
8월 3일","오빠 우리 집 오면 내㉮ 부찌헤줄개 이용복당장 우리집 와라 내㉮ 부대찌개에 필드촙트햄 잔뜩 넣어줄개
1",,,,1,[],https://twitter.com/ggojil2_mandu/status/1422505520888389640
짝살,@harpoon_943,2021-08-14T08:30:37.000Z,"짝살
@harpoon_943
·
8월 14일","오빠랑 저녁에 마라탕 먹기로 했는데
벌써 개싸움
난 목이버섯 싫다고 왜 맘대로 예의없이 3단계를 먹으려 하냐고 하고
오빠는 너 넣는 재료 딱 보니까 부대찌개다
닌 지금까지 마라탕이 아니라 부대찌개를 먹은거라 뭐라하고",,,,,[],https://twitter.com/harpoon_943/status/1426461245155135489
몽,@comeon_yyy,2021-08-14T11:16:02.000Z,"몽
@comeon_yyy
·
8월 14일","아직 저녁 못 먹음... 부대~찌개를 먹기로 했어요
우리오빠를 부대에 보내놓은 빠수니로서..(아님.. 그냥 부대찌개 밀키트 유통기한 다돼서 먹는거임)
3",,,,3,[],https://twitter.com/comeon_yyy/status/1426502871646826498
LUA,@LUA080525,2021-08-06T01:09:35.000Z,"LUA
@LUA080525
·
8월 6일","꿈에 김기범 나왔어..ㅜㅜ 일어나 보니까 말이 좀 안 되긴 하지만 그래도..갑자기 당일에 팬미팅(?) 시간 되시는 분들 와달라고 해서 급하게 지하철 타고 갔는데 내가 일등으로 감ㅋㅋㅋ그래서 내가 사진 찍어 달라고 해서 오빠랑 사진을 찍음ㅋㅋㅋ그리고 팬분들 막 더 오셔서 같이 부대찌개 먹었어요
1",,1,,,[],https://twitter.com/LUA080525/status/1423451150565576706
핱택,@hearttack0301,2021-08-24T08:38:14.000Z,"핱택
@hearttack0301
·
8월 24일",원호 오빠 사진만 봐도 배부르지 부대찌개 먹을거야,,,,,['https://pbs.twimg.com/media/E9iwlBwVgAQVeq_?format=jpg&name=small'],https://twitter.com/hearttack0301/status/1430087037839761409
콘에내자린있겠지,@shcj_feel1127,2021-08-19T14:46:20.000Z,"콘에내자린있겠지
@shcj_feel1127
·
8월 19일","아깝게 6위 못 만들었넹..아깝다 아까워..ㅜㅜ 근데 난 오빠의 부대찌개에 예상치 못한 지출이 발생해버렸다구. 그대신 방치된 블로그에 해시태그 빠방하게 박아서 리뷰 쓸게. 리뷰라고는 심즈 모드 리뷰 외엔 안 해봤는데...
2",,,,2,[],https://twitter.com/shcj_feel1127/status/1428367734102904844
정메링,@J_mering,2021-08-20T04:53:33.000Z,"정메링
@J_mering
·
8월 20일","찐이다! 햄마니 부대찌개 배송 온 기념으로
오늘 점심은 이것이다
포장지 상단에 깨알같은 오빠 싸인
1",✨ 🥰 🧡,1,,,"['https://pbs.twimg.com/media/E9NWy1RUYAEROYK?format=jpg&name=small', 'https://pbs.twimg.com/media/E9NWy1RVIAY3WRR?format=jpg&name=small']",https://twitter.com/J_mering/status/1428580945620135939
콘에내자린있겠지,@shcj_feel1127,2021-08-18T15:38:57.000Z,"콘에내자린있겠지
@shcj_feel1127
·
8월 19일",충재오빠 부대찌개를 생일 지나고 팔았어야지..ㅜㅜ 부대찌개 질러서 쵱돌 또 지르기 부담스럽다구..ㅜㅜㅜㅜ,,,,,[],https://twitter.com/shcj_feel1127/status/1428018589550800901
땅콩,@peanut6324,2021-08-17T02:16:16.000Z,"땅콩
@peanut6324
·
8월 17일",엄마가 안그래도 니네 오빠 하는 부대찌개 사달랬는데,,,,,[],https://twitter.com/peanut6324/status/1427454197180473346
싢세계,@SSG_SHINHWA_OK,2021-08-17T10:27:24.000Z,"싢세계
@SSG_SHINHWA_OK
·
8월 17일","오빠 얼굴도 보고
싢 노래도 듣고
부대찌개도 사고
1석3조?!!!
1",,1,,,[],https://twitter.com/SSG_SHINHWA_OK/status/1427577797682208775
볼트,@redboltnut,2021-08-17T06:39:51.000Z,"볼트
@redboltnut
·
8월 17일","구오빠새끼가 홈쇼핑에서 부대찌개 판다는 소식을 알게 된 화요일 오후 3시 40분...
1",,,,1,[],https://twitter.com/redboltnut/status/1427520532065308673
Biklonz 대사봇,@Biklonz_quotes,2021-08-27T12:30:11.000Z,"Biklonz 대사봇
@Biklonz_quotes
·
8월 27일","오빠도 은근 사차원이다. 어떻게 그 상황에서 부대찌개가 생각이 나?
/ 마지막이라고 생각하니까 그런 것밖에 안 떠오르더라고.",,,,,[],https://twitter.com/Biklonz_quotes/status/1431232576715255810
이새,@naaaaaaaaaong,2021-08-29T18:07:32.000Z,"이새
@naaaaaaaaaong
·
8월 30일","집에 부대찌개도 있고 감자전도 있고 햄전도 있다
내일 무조건 아침먹고 출근할 것.
지금 바로 잠들면 5시간 잘텐데 쌩쌩하네
오빠랑 있을때는 피곤해서 오빠가슴 배고 엄청 잘잤는데 떨어지니까 잠깻서...애인님 내놔.
6",🎗 🥺,,,6,[],https://twitter.com/naaaaaaaaaong/status/1432042248040955905
프리네-당분간드덕-,@prene0226,2021-08-18T04:51:26.000Z,"프리네-당분간드덕-
@prene0226
·
8월 18일","오빠얌들 별걸다하네
뎅빠는 육포만들고 튱은 홈쇼핑서 부대찌개팔고 에리꾸는 인슷하좀 적당히흐르그...뮤본인줄알고 신나게보면 리다문....숑숑은 뭐하나...
막냉이도 보고싶다. 이xx는 제낌
넌나에게 똥을줬어.
그나저나 부대찌개 별로안좋아하는데...
시켜봐야겠네",,,,,[],https://twitter.com/prene0226/status/1427855637229105162
무나,@kkuhjeo,2021-08-24T04:31:59.000Z,"무나
@kkuhjeo
·
8월 24일","거실공개 해놓고 안하고 싶었다니 ㅋㅋㅋ 좀 더 확대해야해요 그럼. 우린 오빠 얼굴 더 크게 봐도 좋은뎅근데 누나 진짜 자야함 온몸힘들어 ㅠㅠ 카레나 김치찌개나 부대찌개? 맛있게먹어요♥︎
1
2",😆 😆,1,,2,[],https://twitter.com/kkuhjeo/status/1430025066322878467
