UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
체리,@cherrymasakii,2021-08-10T09:38:02.000Z,"체리
@cherrymasakii
·
8월 10일","유행 지낫지만 심심해서 그려봣습니다
스다 마사키를 작풍으로 그려보앗다~
11
158
179",,11,158,179,['https://pbs.twimg.com/media/E8a4APKVkAIhQ9_?format=jpg&name=small'],https://twitter.com/cherrymasakii/status/1425028657886547973
여물,@yeomul_k06,2021-08-29T13:31:12.000Z,"여물
@yeomul_k06
·
8월 29일","#ツルネ #츠루네
페잉리퀘)) 타키가와 마사키
52
90",,,52,90,['https://pbs.twimg.com/media/E99jlenVkAgFyuF?format=jpg&name=small'],https://twitter.com/yeomul_k06/status/1431972705352372238
아이스다,@A2SUDA,2021-08-20T01:53:07.000Z,"아이스다
@A2SUDA
·
8월 20일","스다 마사키와 고마츠 나나가 주연을 맡은 영화 '실: 인연의 시작'이 10월 개봉을 확정했다
…
202
112",,,202,112,"['https://pbs.twimg.com/media/E9Mtf5AVoAUeWac?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9Mtf5AUYAM6JPC?format=jpg&name=360x360']",https://twitter.com/A2SUDA/status/1428535537145499655
ボン,@Wayama18,2021-08-16T13:58:59.000Z,"ボン
@Wayama18
·
8월 16일","무대위에 사토 마사키 너무좋다 진짜좋다 내새끼야 ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ나한테 너가 1등이야 ㅠㅠㅠ
ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ
14
62",▪ ▪,,14,62,"['https://pbs.twimg.com/media/E86tKThUUAg1iZJ?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E86tLTBVUAUdJtG?format=jpg&name=360x360']",https://twitter.com/Wayama18/status/1427268653746069506
みゆ,@miyuzzang,2021-08-22T10:31:21.000Z,"みゆ
@miyuzzang
·
8월 22일","오구리 슌 텐션 감당 못 하는 스다 마사키 아 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1
171
154",,1,171,154,['https://pbs.twimg.com/ext_tw_video_thumb/1429390700622188545/pu/img/03t8oawEShs9OwKu.jpg'],https://twitter.com/miyuzzang/status/1429390729613172739
규뉴,@sudayaemida,2021-08-28T10:03:20.000Z,"규뉴
@sudayaemida
·
8월 28일","신주쿠신지                         오사카마사키
1
9
48",,1,9,48,"['https://pbs.twimg.com/media/E93qauSUUAM5quT?format=jpg&name=small', 'https://pbs.twimg.com/media/E93qa3fVUAkaXXB?format=jpg&name=360x360']",https://twitter.com/sudayaemida/status/1431558006324412421
jaduya,@umipurpp,2021-08-28T05:04:55.000Z,"jaduya
@umipurpp
·
8월 28일","요즘 원피스 입으면 걍 이거 되
오늘은 ‘스다 마사키’ 정도
1
14
22",,1,14,22,['https://pbs.twimg.com/media/E92mHK5UUAA0Shh?format=jpg&name=small'],https://twitter.com/umipurpp/status/1431482907265155073
𝘼𝘽𝙖,@aibaba_luv,2021-08-19T17:02:42.000Z,"𝘼𝘽𝙖
@aibaba_luv
·
8월 20일","이런 얘기를 하는게,, 아이바가 메인인 방송들은 대체로 뭘 소개하거나 게스트 위주거나 암튼 홍보하거나 그런거라,, 작물 소개 동물 소개 게스트 소개 지금 다 하구 읶쥬? 근데 난 아이바 마사키가 온전히 메인인 그런 방송이 만들어졌음 좋겠어 흑흑 그냥 옵바를 사랑한다는 거야 그런 거야
GIF
2
16",,,2,16,[],https://twitter.com/aibaba_luv/status/1428402053722767362
나켠,@nana_kmsd,2021-08-20T02:03:38.000Z,"나켠
@nana_kmsd
·
8월 20일","10월까지 살아야할 삶의 이유 +1
스다 마사키 고마츠 나나 실 많관부 ~!♡
1
3
42",,1,3,42,['https://pbs.twimg.com/media/E9Mv5-1VcAw8jCF?format=jpg&name=900x900'],https://twitter.com/nana_kmsd/status/1428538182509883400
익스트림무비,@extmcommunity,2021-08-30T07:57:28.000Z,"익스트림무비
@extmcommunity
·
8월 30일","한국 올 로케이션으로 찍은 일본 공포영화. 오카다 마사키, 카와구치 하루나 출연 https://extmovie.com/movietalk/67977664…
25
20",,,25,20,['https://pbs.twimg.com/media/E-BguWmUYAMWhBQ?format=jpg&name=small'],https://twitter.com/extmcommunity/status/1432251105958772739
