UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
karuhaku,@karuhaku,2021-08-13T11:31:10.000Z,"karuhaku
@karuhaku
·
8월 13일","오바리형님의 드라고나 트윗에 ↑←↑가 있길래 뭔가 했더니 ㅋㅋ
夢色チェイサー　全部『↑←↑』
ニコニコ動画より転載sm17524468
youtube.com",,,,,['https://pbs.twimg.com/card_img/1441733787801423874/yvGh1Opw?format=jpg&name=240x240'],https://twitter.com/karuhaku/status/1426144293228474368
ㅆㄷ,@MooOBBbbBbbbb,2021-08-04T22:24:42.000Z,"ㅆㄷ
@MooOBBbbBbbbb
·
8월 5일","스포당한거땜에눈물나옴..
오바리액션이아님
스포에극극극극극극극극극예민충이라어쩔수없음
하……이씨발
누가 전독시 3줄요약해주실분",,,,,[],https://twitter.com/MooOBBbbBbbbb/status/1423047267645157376
인성,@fuckyou_inseong,2021-08-09T08:03:44.000Z,"인성
@fuckyou_inseong
·
8월 9일",시발.. 나도 오바리 쪽 문제 있는거 같은데 왠지 병원가면 현실 직시할까봐 지금 무서워서 병원 못가는중.. 간호사 맞는데요.. 일단 시간이 없고요.... 무서워요...,,,,,[],https://twitter.com/fuckyou_inseong/status/1424642539773042688
묭,@Myung_Q_,2021-08-05T06:09:54.000Z,"묭
@Myung_Q_
·
8월 5일",걸플 배쌤같은 캐릭터가 없네.. 왜케 마스터들 오바리액션들이 많아 ㅋㅋ,,,,,[],https://twitter.com/Myung_Q_/status/1423164339901534210
째히,@jjaehee21,2021-08-29T17:48:18.000Z,"째히
@jjaehee21
·
8월 30일","오바리액션 사랑함
GIF",,,,,[],https://twitter.com/jjaehee21/status/1432037407621193728
Hi(본계)-,@hi_everyone_why,2021-08-30T12:52:13.000Z,"Hi(본계)-
@hi_everyone_why
·
8월 30일","오....바리강림..... (미안 강림아)
1",,,,1,['https://pbs.twimg.com/media/E-CkQBRVEAAi84O?format=jpg&name=small'],https://twitter.com/hi_everyone_why/status/1432325282187210758
地球光 『The 千年개복치』,@geolight,2021-08-20T02:44:51.000Z,"地球光 『The 千年개복치』
@geolight
·
8월 20일","어릴 적에는 일러스트레이터마다 자기 스타일로 로봇을 그린다는 것을 이해하지 못해서 같은 계열의 신형 로봇인가 생각했었다.
결론: 오바리 이 사기꾼!
2
4
1",,2,4,1,[],https://twitter.com/geolight/status/1428548553945714691
월루,@BgU2uZP5ntWqSxN,2021-08-26T04:53:24.000Z,"월루
@BgU2uZP5ntWqSxN
·
8월 26일","아 오바리마사미 테리 2n년전이랑 똑같은거
ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1",,,,1,[],https://twitter.com/BgU2uZP5ntWqSxN/status/1430755231885762561
crackER,@axelsaga1092,2021-08-26T00:11:49.000Z,"crackER
@axelsaga1092
·
8월 26일",아앗...중딩 때 이후로 간만에 보니 너무나 반가운 오바리 테리.....마이는 왜 바뀌었지 흑흑,,,,,"['https://pbs.twimg.com/media/E9rPrgnVkAAxrpw?format=jpg&name=small', 'https://pbs.twimg.com/media/E9rPrgkVcAElKwY?format=jpg&name=small']",https://twitter.com/axelsaga1092/status/1430684369870458884
seobyX=,@0325x1212,2021-08-27T03:42:19.000Z,"seobyX=
@0325x1212
·
8월 27일",인간적으로 오바리 작화로 킹오파 tva 만들자.,🌜 🌞 🔥,,,,[],https://twitter.com/0325x1212/status/1431099731854311429
seobyX=,@0325x1212,2021-08-27T08:50:07.000Z,"seobyX=
@0325x1212
·
8월 27일",오바리마사미 감독에게 킹오파15 스페셜무비 만들자고 기획한 사람 진심으로 상 줘야됨,🌜 🌞 🔥,,,,[],https://twitter.com/0325x1212/status/1431177193938296845
超鐵,@ubereisen,2021-08-19T08:16:03.000Z,"超鐵
@ubereisen
·
8월 19일","아니 진짜 오바리 본인??
大張正己 Masami Obari
@G1_BARI
 · 2015년 2월 24일
これ初めて見ました！僕がデザインしたゼイファー＆せんとう機(笑)が！RT
@sousai_h: そーいえばダンクーガが合体していなかった１クール以上の間、児童誌ではどうしてたかというと……右下のちちくらべ凄いな！（ちちくらべ云うな
2",,,,2,"['https://pbs.twimg.com/profile_images/1378332548896415748/0SS8Kkkb_mini.jpg', 'https://pbs.twimg.com/media/B-ngi6wUMAAalIL?format=jpg&name=small']",https://twitter.com/ubereisen/status/1428269518644645891
사라,@Give_M0,2021-08-23T08:19:18.000Z,"사라
@Give_M0
·
8월 23일","진심 삼장은 머리털이 업어야해,, 맨들맨들 얼마나 귀여워..... 이 귀여움을 모르는 사람들이 넘 많다.... 괜찮아요 머리털 그리세오 바리깡으로 확 다 조사놔야지
2",,,,2,[],https://twitter.com/Give_M0/status/1429719884787683334
