UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
심심한손기자,@sbblogco,2021-08-29T03:00:08.000Z,"심심한손기자
@sbblogco
·
8월 29일"," SBM&E 공식 유튜브 채널
SBM&E Official
함께하는 문화, 함께하는 마음 에스비엠엔이 공식 유튜브 채널입니다. Copyright SBMNE Co.,Ltd. All Right Reserved
youtube.com",✔,,,,['https://pbs.twimg.com/card_img/1441725795018452992/a27ftb-X?format=jpg&name=240x240'],https://twitter.com/sbblogco/status/1431813894750695425
담영,@DY_SBM,2021-08-29T11:19:06.000Z,"담영
@DY_SBM
·
8월 29일",... (묵묵히 환자들의 상태를 보곤 이마를 짚는다),,,,,[],https://twitter.com/DY_SBM/status/1431939462825594884
담영,@DY_SBM,2021-08-29T06:52:08.000Z,"담영
@DY_SBM
·
8월 29일",(간만에 서늘해진 날씨가 마음에 드는지 덩그러니 놓인 바위에 앉아 다리를 흔들흔들),,,,,[],https://twitter.com/DY_SBM/status/1431872278124396551
담영,@DY_SBM,2021-08-30T11:11:35.000Z,"담영
@DY_SBM
·
8월 30일",그래도 무사히 돌아가서 다행인지..~(그들이 떠나간 방향을 봤다가 목뒤를 주무른다),,,,,[],https://twitter.com/DY_SBM/status/1432299956354699264
DirectorDRDAKachchh (Kutch),@DrdaKachchh,2021-08-27T15:08:44.000Z,"DirectorDRDAKachchh (Kutch)
@DrdaKachchh
·
8월 28일","Visited  the best practices of #SBM -G of Bharasar Village, #MGNAREGA check dam and segregation shed of Bharasar village. ⁦
@CrdGujarat
⁩, ⁦⁦
@KutchDdo
⁩
4
8
57",,4,8,57,"['https://pbs.twimg.com/media/E9zmrvGVQAM4yW-?format=jpg&name=small', 'https://pbs.twimg.com/media/E9zmtANVgAQnxa8?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9zmuPKUcAAQPnK?format=jpg&name=360x360']",https://twitter.com/DrdaKachchh/status/1431272475925561350
Bradley Smith,@bradleyjake1997,2021-08-30T15:42:47.000Z,"Bradley Smith
@bradleyjake1997
·
8월 31일","Work cloths all ready for starting back at work again  

#SBLConnect #SBL #SBM #Edutwitter #Education #SBLTwitter 
#BackToSchool2021
2
1
11",😃,2,1,11,['https://pbs.twimg.com/media/E-DLSuaWYAIamIS?format=jpg&name=small'],https://twitter.com/bradleyjake1997/status/1432368208212860933
XU - SBMSC,@XUSBMSC,2021-08-28T04:15:30.000Z,"XU - SBMSC
@XUSBMSC
·
8월 28일","Despite the hardships in the new normal and setup, all of us were able to embrace it and flew beyond borders. Let us take this learning experience as an opportunity for nourishment that will lead us to a stronger present and break throughs as one SBM Community.
1
15
22",🦅,1,15,22,['https://pbs.twimg.com/media/E92as3aVEAk0bMR?format=jpg&name=small'],https://twitter.com/XUSBMSC/status/1431470470235234310
JalJeevanMission-UNOPS,@HarGharJal,2021-08-28T13:16:24.000Z,"JalJeevanMission-UNOPS
@HarGharJal
·
8월 28일","A two-day divisional workshop for Learning, Sharing & Planning on JJM & SBM(G) was conducted at Chitrakoot by 
@UNOPS
 & 
@SanLearningHub
 
@DenmarkinIndia
 @jaljeevan_
 @PIBWater
 @gssjodhpur
 @upswsm
 @pspoffice
 @JalShaktiAbhyan
8
14",,,8,14,"['https://pbs.twimg.com/media/E94WMkFVIAAx1VW?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E94WMkEVgAgWtsy?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E94WMkDVQAYeAkM?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E94WMknVcAMXH4u?format=jpg&name=360x360']",https://twitter.com/HarGharJal/status/1431606591522947080
herma,@ariaherma,2021-08-26T06:00:15.000Z,"herma
@ariaherma
·
8월 26일","its fun to watch my tpbesties ranting about college meanwhile anak anak sbm sedang menikmati hidup
3
10",,3,,10,[],https://twitter.com/ariaherma/status/1430772055033532417
Primary Head,@MissAHead1,2021-08-30T06:08:46.000Z,"Primary Head
@MissAHead1
·
8월 30일","The back to school dreams have started. 
Dreamed my old SBM who's just retired changed the login and passwords to everything in the office and the first day back ends up in complete chaos 
1
4",😱,1,,4,[],https://twitter.com/MissAHead1/status/1432223751664508930
