UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
VANNER 배너,@VannerOfficial,2021-08-29T14:58:56.000Z,"VANNER 배너
@VannerOfficial
·
8월 29일","[#VANNER] 오늘 K-Stage Thank you for coming 특집에 참여할 수 있어서 굉장히 영광이었습니다! 가까이서 즐겨주시고 또 멀리서 즐겨주신 우리 VVS 오늘도 너무 고마워요 잘자요
34
133
545",🌙 ✨,34,133,545,"['https://pbs.twimg.com/media/E993qN0VEA07FV4?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E993qN1UUAI48ho?format=jpg&name=360x360']",https://twitter.com/VannerOfficial/status/1431994783342358534
VANNER 배너,@VannerOfficial,2021-08-30T08:34:01.000Z,"VANNER 배너
@VannerOfficial
·
8월 30일","[#태환] 첫 K-Stage MC 도전은 정말 설레고 흥미진진했습니다 두 가지 일을 한꺼번에 하는 건 쉬운 일이 아니더라고요 앞으로 더 완벽하게 해내볼게요! 어제 응원해 주셔서 감사했어요 VVS 9월 12일에 또 만나요 
@K_Stage_Untact
31
101
413",😖 🤨 🥰 💌,31,101,413,"['https://pbs.twimg.com/media/E-BpJVYUcAM5eIZ?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E-BpJW7UUAMAj7Q?format=jpg&name=360x360']",https://twitter.com/VannerOfficial/status/1432260303765471232
사이렌,@VVS_TY_ROSE,2021-08-29T15:52:05.000Z,"사이렌
@VVS_TY_ROSE
·
8월 30일",너무 신비로운 사진이야 별에서 온 태용이 같아,⭐ ⭐,,,,['https://pbs.twimg.com/media/E9-D0zcVQAEyY9J?format=jpg&name=900x900'],https://twitter.com/VVS_TY_ROSE/status/1432008159950897155
헤요,@heyo_nct,2021-08-25T12:10:33.000Z,"헤요
@heyo_nct
·
8월 25일","진짜 미친 댕웃겨 레귤러요 bbs아니고 vvs 맥도날드 아니고 my diamonds요
2
1",,2,,1,['https://pbs.twimg.com/media/E9oqxIrUUAUkQRw?format=jpg&name=small'],https://twitter.com/heyo_nct/status/1430502858760212489
빈칸,@vivitiranno,2021-08-25T10:33:06.000Z,"빈칸
@vivitiranno
·
8월 25일","YO VVS(feat. 대럼지 뒷통수)
GIF
11",🎧,,,11,['https://pbs.twimg.com/tweet_video_thumb/E9oUTBDVEAQyQNs.jpg'],https://twitter.com/vivitiranno/status/1430478333448392712
형식,@hyungsik_swan,2021-08-28T05:49:13.000Z,"형식
@hyungsik_swan
·
8월 28일","vvs나온다 쿤디파트듣고잇음
1",,,,1,[],https://twitter.com/hyungsik_swan/status/1431494057662898177
토리몽,@torrymong,2021-08-27T00:22:50.000Z,"토리몽
@torrymong
·
8월 27일","기후니 음색은 노래할때는 말할 필요도 없지만 텐션 끌어올릴때 더없이 멋진 소리다 웃음소리도 커서 소리따라 텐션이 바이러스처럼 퍼지네
(럽포엠 여운으로 힘들어하는 덴호이 분위기 반전시키는 점택 기후니 vvs보고 있는 중
13",🏝 🐩 🏝,,,13,[],https://twitter.com/torrymong/status/1431049529399267332
Amel⁷₇,@woniealg7,2021-08-30T18:01:56.000Z,"Amel⁷₇
@woniealg7
·
8월 31일",Vvs 처럼 빚나,🎨,,,,[],https://twitter.com/woniealg7/status/1432403226763038724
군인의 정석 / 서빈,@while_waiting_,2021-08-29T10:35:48.000Z,"군인의 정석 / 서빈
@while_waiting_
·
8월 29일","모두의 익명 질문을 모집 중!

삐까뻔쩍 vvs보다 더 상급인 하늘에서 내려온 천사 씨는 아직 대답 질문이 없습니다!
삐까뻔쩍 vvs보다 더 상급인 하늘에서 내려온 천사 씨의 기념해야 할 첫 번째 대답은 질문도! ?
#질문상자 #익명질문모집중
익명들을 버려!삐까뻔쩍 vvs보다 더 상급인 하늘에서 내려온 천사 질문 상자입니다
미자 여성 | 게임& 일상계 | APEX R6S VLRT | 멘션 스루 고의X
peing.net",,,,,['https://pbs.twimg.com/card_img/1438596806875942912/EnHmO3Br?format=jpg&name=small'],https://twitter.com/while_waiting_/status/1431928563503026182
뮤뮤,@Myu_Myu_JT03,2021-08-28T22:26:22.000Z,"뮤뮤
@Myu_Myu_JT03
·
8월 29일","으악 맥날 왓는데 vvs틀어줘요
1",😭 😭 😭 😭,,,1,[],https://twitter.com/Myu_Myu_JT03/status/1431744998588837892
