UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
낙화 ฅ^❛ﻌ❛^ฅฅ^•.ﻌ•^ฅ,@petals_fall,2021-08-10T03:58:01.000Z,"낙화 ฅ^❛ﻌ❛^ฅฅ^•.ﻌ•^ฅ
@petals_fall
·
8월 10일","ㅋㅋㅋ부나비와 룡백이들ㅋㅋㅋ
2
12
39",♥,2,12,39,['https://pbs.twimg.com/media/E8ZqLEOVIAYXkx0?format=jpg&name=small'],https://twitter.com/petals_fall/status/1424943091757191176
제이,@J_be_1030,2021-08-10T13:00:36.000Z,"제이
@J_be_1030
·
8월 10일","멸망 3화엔딩 악개라면 루이는 4화엔딩임;;; 
부나비깔리면서 얼굴자랑 하면서 다가오는 왕루이 가슴 웅장해짐
9
59",🦊,,9,59,['https://pbs.twimg.com/ext_tw_video_thumb/1425079537184894985/pu/img/tUMLLF2k_rDs_wFB.jpg'],https://twitter.com/J_be_1030/status/1425079633670590472
힘개,@jeokpehaochi,2021-08-17T02:27:46.000Z,"힘개
@jeokpehaochi
·
8월 17일","부나비 과연.. 불나방같은 사랑을 하는 개와 고양이..
2
11",,,2,11,[],https://twitter.com/jeokpehaochi/status/1427457094546989073
핑핑(몬베베),@schw1818,2021-08-10T15:59:25.000Z,"핑핑(몬베베)
@schw1818
·
8월 11일","기현이 락생각하다가 부나비 듣는중
1",💜,,,1,['https://pbs.twimg.com/media/E8cPTZqUYAQqn6a?format=jpg&name=medium'],https://twitter.com/schw1818/status/1425124636203782151
낙화 ฅ^❛ﻌ❛^ฅฅ^•.ﻌ•^ฅ,@petals_fall,2021-08-17T02:15:16.000Z,"낙화 ฅ^❛ﻌ❛^ฅฅ^•.ﻌ•^ฅ
@petals_fall
·
8월 17일","엘리베이터 안에서 키스하는 부나비 주세요....
낙화 ฅ^❛ﻌ❛^ฅฅ^•.ﻌ•^ฅ
@petals_fall
 · 8월 17일
잉잉 이거 나비 같애ㅠㅠ
2
5
21",♥ ♥,2,5,21,"['https://pbs.twimg.com/profile_images/1438330442201980934/BbFRBJ_P_mini.jpg', 'https://pbs.twimg.com/media/E89VfU2VoAMmeyW?format=jpg&name=small']",https://twitter.com/petals_fall/status/1427453947661361183
소나무,@koreanation615,2021-08-25T04:10:49.000Z,"소나무
@koreanation615
·
8월 25일","부나비

불이라면 오금을 못쓰는것은 부나비의 생리.
북침전쟁연습에 환장이 된 남조선군부호전광들은 신통히도 제 죽을줄 모르고 불에 뛰여들었다가 그대로 타버리고마는 부나비와 같다.
#부나비의생리,#북침전쟁연습에환장이된,#남조선군부호전광들규탄",,,,,['https://pbs.twimg.com/media/E9m7uOmUYAIEolp?format=jpg&name=small'],https://twitter.com/koreanation615/status/1430382131163762696
놕,@mx_goddamm_mx,2021-08-19T08:52:11.000Z,"놕
@mx_goddamm_mx
·
8월 19일","덥다 더워 부나비 (The Tiger Moth) - 몬스타엑스 - 들어보세요.

http://kko.to/akVk22ffp

by Melon",🍅,,,,['https://pbs.twimg.com/media/E9JD0uxVcAEOtA3?format=jpg&name=small'],https://twitter.com/mx_goddamm_mx/status/1428278611291766785
녹용,@KimAntlerCh,2021-08-02T22:39:54.000Z,"녹용
@KimAntlerCh
·
8월 3일","부나비 곱씹을수록 맛있는
9",,,,9,[],https://twitter.com/KimAntlerCh/status/1422326318893461527
,@xoreez,2021-08-10T14:38:20.000Z,"@xoreez
·
8월 10일",부...부나비?,💨,,,,[],https://twitter.com/xoreez/status/1425104229736275974
삼구,@mhfirm,2021-08-10T14:39:09.000Z,"삼구
@mhfirm
·
8월 10일",부나비.............,,,,,[],https://twitter.com/mhfirm/status/1425104436867837953
,@xoreez,2021-08-10T14:38:23.000Z,"@xoreez
·
8월 10일",부나비?,💨,,,,[],https://twitter.com/xoreez/status/1425104245251088389
힘개,@jeokpehaochi,2021-08-17T02:33:10.000Z,"힘개
@jeokpehaochi
·
8월 17일","부나비는 약간.. 서로 아 저인간 나보다 한수 아래지 하고 얕잡아보다 한번씩 상대방에게 놀라고 상대방을 놀래키면서 스며들어서 어느순간 보면 붙어먹고 있을 것 같은..
1
5
16",,1,5,16,[],https://twitter.com/jeokpehaochi/status/1427458451031007234
버림,@maybthrowaway,2021-08-10T14:38:43.000Z,"버림
@maybthrowaway
·
8월 10일","부나비불러주세
2",,,,2,[],https://twitter.com/maybthrowaway/status/1425104325739794436
심장이터진다,@shakingbird,2021-08-26T23:51:58.000Z,"심장이터진다
@shakingbird
·
8월 27일","연회장에서 춤추는 부나비이
1
5",,1,,5,[],https://twitter.com/shakingbird/status/1431041763158933505
임까꿍,@alone_bebe,2021-08-10T14:38:24.000Z,"임까꿍
@alone_bebe
·
8월 10일","와 부나비
1",🍓,,,1,[],https://twitter.com/alone_bebe/status/1425104248526843905
심장이터진다,@shakingbird,2021-08-24T04:41:11.000Z,"심장이터진다
@shakingbird
·
8월 24일","아니 왜 이걸 부나비로 쓰고있지
1
4",,1,,4,[],https://twitter.com/shakingbird/status/1430027383470391296
몬레,@1lemonle1,2021-08-10T14:38:20.000Z,"몬레
@1lemonle1
·
8월 10일",부나비!!!!!!!!!!!!!!!!,,,,,[],https://twitter.com/1lemonle1/status/1425104230281531392
시카,@afterglow_kh,2021-08-10T14:38:30.000Z,"시카
@afterglow_kh
·
8월 10일",핡  미친 부나비,,,,,[],https://twitter.com/afterglow_kh/status/1425104274149810186
이불,@2bull2bull,2021-08-28T14:47:59.000Z,"이불
@2bull2bull
·
8월 28일","부나비님 썰 귀엽구 힐링돼
1",🔥 🥺,,,1,[],https://twitter.com/2bull2bull/status/1431629643136733186
.바숲:.,@forestrainstick,2021-08-25T11:13:49.000Z,".바숲:.
@forestrainstick
·
8월 25일",부나비 . 조낸 절절,,,,,[],https://twitter.com/forestrainstick/status/1430488579847835649
먼뱁,@menbaeb,2021-08-30T08:23:38.000Z,"먼뱁
@menbaeb
·
8월 30일","근데 쇼핑왕 루이 포스터 같기도 하지 않어 .. ? 
부나비 부른 ㅋㅋㅋ
1",,,,1,['https://pbs.twimg.com/media/E-BmvL1VcAETWMO?format=jpg&name=900x900'],https://twitter.com/menbaeb/status/1432257692937048070
독노,@1059ii,2021-08-03T01:51:40.000Z,"독노
@1059ii
·
8월 3일","맞아 나 오늘 녹용님이랑 봉골레파스타 먹는 꿈 꿨는데… 이제 녹용님 얼굴 몰라서…
녹용님.. 피카츄셨음.. 
피카츄가 식전 빵을 소스에 찍어먹고.. 봉골레파스타를 먹고.. 부나비 드셔보세요 하며 권유를 했음…
2
2
15",,2,2,15,[],https://twitter.com/1059ii/status/1422374577900978180
도토리,@dotorixxx_qr,2021-08-17T05:19:04.000Z,"도토리
@dotorixxx_qr
·
8월 17일","버석하게 말라버린 마음에 단비처럼 내리는 부나비님과 이온님의 농촌 밀큐 
1",🌧 🌈 💜,,,1,[],https://twitter.com/dotorixxx_qr/status/1427500203456663552
"No 조작검찰 NO 찢재명, Lazarus",@lazarusjyoung,2021-08-13T01:17:38.000Z,"No 조작검찰 NO 찢재명, Lazarus
@lazarusjyoung
·
8월 13일","황교익이 경기관광공사 사장~ 
여윽시 성공한 찢바 인생 
부나비들에게 불빛을 보고 오라고
유혹하는구나 ㅋㅋㅋ 
명계남 속 쫌 쓰리겠네. 쪽만 빨리 지지 선언 만들었음 내 자린 데 하며.
아니, 문체부 징관 자리 탐내고 있겠구나 ~ 이게 매관매직이지.
3
4",,,3,4,[],https://twitter.com/lazarusjyoung/status/1425989890836099073
김여화,@f10w908,2021-08-20T12:15:46.000Z,"김여화
@f10w908
·
8월 20일",부나비가 사람을 구웠다고?,,,,,[],https://twitter.com/f10w908/status/1428692233042026513
필의백,@_purelight,2021-08-23T16:13:05.000Z,"필의백
@_purelight
·
8월 24일",(부나비 해적왕의 꿈을 이뤘구나.),,,,,[],https://twitter.com/_purelight/status/1429839118024863744
먼트,@MONment_kh,2021-08-07T08:08:50.000Z,"먼트
@MONment_kh
·
8월 7일","부나비 (The Tiger Moth) (Acoustic Ver.) - 몬스타엑스 http://naver.me/5B1KTNRG #NAVERVIBE
부나비 (The Tiger Moth) (Acoustic Ver.) - 몬스타엑스
[VIBE] 좋아하는 음악, 좋아할 음악이 모두 여기에
vibe.naver.com",,,,,[],https://twitter.com/MONment_kh/status/1423919044604829698
허숙희,@gamsungbl,2021-08-29T03:57:09.000Z,"허숙희
@gamsungbl
·
8월 29일",누가 나 부나비 보는 거 안말렸냐,,,,,[],https://twitter.com/gamsungbl/status/1431828239555588096
화란,@HWARAN_KR,2021-08-30T18:13:37.000Z,"화란
@HWARAN_KR
·
8월 31일",(부나비가 날아올라 허공에 퍼진다) 나비야~랄라라,♥,,,,[],https://twitter.com/HWARAN_KR/status/1432406168219967490
화란,@HWARAN_KR,2021-08-30T21:45:07.000Z,"화란
@HWARAN_KR
·
8월 31일","인생은 일장춘몽, 불길에 뛰어드는 부나비와 같으이~",♥,,,,[],https://twitter.com/HWARAN_KR/status/1432459393241473026
