UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
맠마월,@Mmw990802,2021-08-01T10:20:47.000Z,"맠마월
@Mmw990802
·
8월 1일","카페 쿠키드 마크 생일 카페

고라니님 그림에 압도 당하고 감동 먹고 갑니다.. 카페는 물론 예상대로 너무 예쁘게 꾸며져 있었고, 실물로 봤을 때 정말 훨씬 대박 더 좋았습니다.. 이런 의미있는 생일 카페 열어주셔서 감사합니다 :)

#82페이지에_새겨진_북마크
1
6",,,1,6,"['https://pbs.twimg.com/media/E7srabXUUAAVQ6b?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E7src4uVgAEC4rm?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E7srb70UYAYIKNX?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E7srd3rVIAU4mQX?format=jpg&name=360x360']",https://twitter.com/Mmw990802/status/1421777923938295808
모로,@LoveystillB,2021-08-06T12:47:41.000Z,"모로
@LoveystillB
·
8월 6일","포토마카롱도 귀엽구 쿠키도 귀여운데 카페는 더 귀엽고... 곳곳이 다 포토존인거 있죠 마카롱과 쿠키 선택가능! 사진엔 없지만 직캠도 틀어주시니 꼭 보시기
한 여름밤의 꿈 같은 영훈이 생일 넘넘 축하하고, 예쁜 생일카페 준비해주셔서 감사합니다
 
#영훈아_생일_베일제스트로_축하해
3
5",🥺 💛 😌 💗 💗,,3,5,"['https://pbs.twimg.com/media/E8G8_dOUUAgKEr8?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8G9CE-UYAQKXP3?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8G9AZaVcAQ6Xk1?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8G9DJsVIAQv3mt?format=jpg&name=360x360']",https://twitter.com/LoveystillB/status/1423626834474770439
난 행복해용복,@SKZ_Sun_Shine,2021-08-08T04:00:51.000Z,"난 행복해용복
@SKZ_Sun_Shine
·
8월 8일","#skz8EVstay

SKZ와 빈이로 가득 채워진 공간이라 
더 설레고 좋았던 곰작카페!! 
벽면에 슼즈 사진들로 가득해서 더 좋았던..

자리가 없어서 테이크아웃 하느라 사진은
많이 못찍었지만 청량한 블루 레몬에이드랑
SKZ 쿠키도 맛있게 먹었습니다!! 
예쁜 카페 열어주셔서 감사합니다~ 
1
1
12",🐣 🧸 💙 🥰 🤤 💝,1,1,12,"['https://pbs.twimg.com/media/E8PXpPSVcAY4IF1?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8PXpReUUAIH4lN?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8PXpPUVcAcyqz8?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8PXpRcUUAcbJi3?format=jpg&name=360x360']",https://twitter.com/SKZ_Sun_Shine/status/1424219029330227200
예사,@0116_BB,2021-08-06T05:09:17.000Z,"예사
@0116_BB
·
8월 6일","#한여름밤의_달콤한_체리야_생일축하해
내부가 무척 깨끗하고 깔끔하게 꾸며져서 더 좋았어요 되게 제 취향ㅠㅠ 특전 물품들 너무 귀엽고 쿠키 짱이에요ㅠㅠ 거기다 재밌고 알찬 이벤트까지.. 너무 감사합니다 복권 더 많이 살 걸.. 하고 후회중이에요ㅠㅠ 생일 카페 열어주신 분들 정말 감사해요
2
6",💙 💙 🥰,,2,6,"['https://pbs.twimg.com/media/E8FUGwFVcAUZghs?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8FUIU8VkAczn3q?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8FUHlsVEAIuaUT?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8FUJAIVoAIT9bc?format=jpg&name=360x360']",https://twitter.com/0116_BB/status/1423511473926541316
히든박스,@Hidden_box_Ely,2021-08-27T14:47:00.000Z,"히든박스
@Hidden_box_Ely
·
8월 27일","미도리 생일 컵홀더 이벤트 다녀왔습니다!  카페 내부가 너무 예쁘게 미도리로 가득 차있어서 링어벨 느낌두 나고 행복했어요ㅠㅠ 미도리 세트 쿠키 왕크왕귀니까 꼭 사시기... 유메노사키 얼굴천재 도리 등신대 진짜 최고

#열심히_하는_그린에게_고마워
#스스로를_좀_더_좋아하게_될_너에게
1
1
4",💚 💒 😭 💕,1,1,4,"['https://pbs.twimg.com/media/E9zhv2oUcAE_q15?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9zhwPsUcAAqHOr?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9zhwEnVIAMTwGe?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9zhwbFVgAUNQ43?format=jpg&name=360x360']",https://twitter.com/Hidden_box_Ely/status/1431267006875979791
팝퍼블(popable),@popable_01,2021-08-01T01:28:03.000Z,"팝퍼블(popable)
@popable_01
·
8월 1일","[ #팝퍼블 x #센과치히로 ]

센과치히로의 행방불명 20주년 콜라보카페

  머랭쿠키 전량 재고 소진  

입고시 한번 더 안내해 드리겠습니다. 

머랭쿠키 외 전 품목 판매 가능
한정판 품목은 수량 한정으로 조기 품절 될 수 있음을 안내 드립니다. 

#콜라보카페 #센과치히로 #도토리숲
61
37",❗ ❗ 🔸 🔸,,61,37,"['https://pbs.twimg.com/media/E7qwAIyUYAUguj-?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E7qwAIxVoAk8AXo?format=jpg&name=360x360']",https://twitter.com/popable_01/status/1421643857335230467
냥샤,@gRHobeBtUBDpcfB,2021-08-28T09:50:44.000Z,"냥샤
@gRHobeBtUBDpcfB
·
8월 28일","주술회전 팝버블 애니메이트 카페 굿즈 쿠기사키 노바라 아크릴 플레이트 키홀더 양도합니다! 미개봉입니다 원가 1.15 그대로 양도해요 편하게 디엠 주세요          

주술회전 주술빙빙 쿠키사키 노바라 아크릴 양도 플레이트 키홀더 애니메이트 미개봉",😙,,,,['https://pbs.twimg.com/media/E93nh4mVcAM3rpv?format=jpg&name=small'],https://twitter.com/gRHobeBtUBDpcfB/status/1431554834080022530
,@Djrgb15,2021-08-28T07:32:19.000Z,"@Djrgb15
·
8월 28일","채하널이 영문 모를 택배 보내준 게 어제 와서 뜯었더니... 생일 선물이라고 직접 카페 가서 이거 다 받아왔더라고... 진짜 감동이었어 고마우이 쿠키 지금 먹어야지...
1
2",🍅 😂 😭,,1,2,['https://pbs.twimg.com/media/E93H2JJVkAAO-ck?format=jpg&name=small'],https://twitter.com/Djrgb15/status/1431520001073115139
휴트함요 퍼땡,@iiiiiiiilo325,2021-08-25T11:39:46.000Z,"휴트함요 퍼땡
@iiiiiiiilo325
·
8월 25일","포항 허니케이크 다녀왔는데 카페를 드림으로 엄청 아기자기하고 귀엽게 꾸며놓으셔서 카페 구경하는 재미가 있었어요 그리고 스노우맨초콜릿칩쿠키 진짜 너무 맛있어요 인생 쿠키...
#cafe_is_my_dream
#너희를_만나_같이_더_빛난_5년
#아름다운_시간만_쌓자
@Cafeismy_dream
1
1",💚,,1,1,"['https://pbs.twimg.com/media/E9ojtvwVcAAkYy3?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9ojtvvUYAYpp54?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9ojtvwVIAQ389p?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9ojtvxVEAIa-Lv?format=jpg&name=360x360']",https://twitter.com/iiiiiiiilo325/status/1430495109393440772
제갈,@ae_jegal,2021-08-18T17:36:22.000Z,"제갈
@ae_jegal
·
8월 19일","냐한남자 콜라보카페
여태 갔던 콜라보카페 (그래봐야 몇개 없지만) 그 중에서 가장 만족스러웠음. 예약하면 주는 굿즈들도 넘 귀엽구 음료도 생각보다 더 퀄리티 좋았어서 잘 즐기다 왔어요!!
냥패쿠키, 쏘러블리 쿠키 맛은 딱 생각하는 기본 초코,버터쿠키 맛! 맛있다는 뜻
제갈
@ae_jegal
 · 8월 18일
냐남카페~",😻 🧡 💜 🐾 💖 👍 😻 🤎 💖,,,,"['https://pbs.twimg.com/media/E9FyNInVIAg3QaZ?format=jpg&name=small', 'https://pbs.twimg.com/media/E9FyNImVEAQ6ZyK?format=jpg&name=360x360', 'https://pbs.twimg.com/profile_images/1430886768472039429/cv7nAVDm_mini.png', 'https://pbs.twimg.com/media/E9Dx6eVVkAITR16?format=jpg&name=120x120', 'https://pbs.twimg.com/media/E9Dx6fJVUAE4GQM?format=jpg&name=120x120']",https://twitter.com/ae_jegal/status/1428048139143979009
