UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
romi,@romiya3,2021-08-09T07:04:49.000Z,"romi
@romiya3
·
8월 9일","하늘이, 바람이 좋아서 문 밖에. 우체국 갔다가 스벅 들러서 쿠폰 몰아쓰기. 개인적으론 햄&루꼴라 샌드위치 보단 밤콩달콩 두유 브레드가 더 맛있다.(둘 다 plant based food임) 그리고 반가운 도착
1
2",🍃 🌺 🎗 📚,1,,2,"['https://pbs.twimg.com/media/E8VLWGfVgAEFaAf?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8VLWGeUYAAq_8-?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8VLWGrVoAAkt6O?format=jpg&name=360x360']",https://twitter.com/romiya3/status/1424627711289434120
엠레🆅,@imveganlemon,2021-08-23T15:09:40.000Z,"엠레🆅
@imveganlemon
·
8월 24일","#나의비거니즘일기
써니브레드가 코엑스 입점했군요!!!
1
15",🌹 ☂,1,,15,['https://pbs.twimg.com/media/E9fAlhrVgAcPYyS?format=jpg&name=small'],https://twitter.com/imveganlemon/status/1429823159834845187
기면콩,@kim_ykong,2021-08-13T07:49:55.000Z,"기면콩
@kim_ykong
·
8월 13일","아니.. 브레드가 그브레드가 아니였어..? 칭구랑 
빵먹으러 거기까지 가다니 찐 맛집잉가봐 했는데,,
미쉐린 가이드,, 고기 마니먹어요 언니,,
3
7",💗,,3,7,['https://pbs.twimg.com/media/E8p8CM8VkAAWrDg?format=jpg&name=900x900'],https://twitter.com/kim_ykong/status/1426088614824271872
제물은 백수(찐),@jemul_2cha,2021-08-29T07:21:15.000Z,"제물은 백수(찐)
@jemul_2cha
·
8월 29일",헐 세레모니 브레드 헐 나 세레모니 브레드가 헉,,,,,['https://pbs.twimg.com/media/E98O6PPUYAE4XVb?format=jpg&name=small'],https://twitter.com/jemul_2cha/status/1431879603186925569
강,@ionefeel,2021-08-30T10:24:15.000Z,"강
@ionefeel
·
8월 30일","어라..
나의 리틀피치베이비브레드가..
어라,
3
1",,,3,1,['https://pbs.twimg.com/media/E-CCY0BVgAMZBUe?format=jpg&name=small'],https://twitter.com/ionefeel/status/1432288046666240003
프ㄹr우 오타쿠,@FRAU_OTAKU,2021-08-21T03:57:55.000Z,"프ㄹr우 오타쿠
@FRAU_OTAKU
·
8월 21일","브랜든 카스라서
빵 맥주라고 부른다며요...
귀엽다 브랜든이라서 브레드가 됐나
2
2",,,2,2,"['https://pbs.twimg.com/media/E9STpD6VUAMLg9s?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9STpoJVIAQANi1?format=jpg&name=360x360']",https://twitter.com/FRAU_OTAKU/status/1428929333393969156
아흰,@luneha_,2021-08-19T07:22:46.000Z,"아흰
@luneha_
·
8월 19일","연유브레드가 먹구 싶다
1",,,,1,[],https://twitter.com/luneha_/status/1428256109291212801
이수난이끝날때까지숨참음빕요,@bibyo_,2021-08-18T13:32:43.000Z,"이수난이끝날때까지숨참음빕요
@bibyo_
·
8월 18일","연유브레드가..
글케 달아요,,?",📢 📎 ☺,,,,[],https://twitter.com/bibyo_/status/1427986819849744384
한울,@spreadby67,2021-08-05T03:44:20.000Z,"한울
@spreadby67
·
8월 5일",왜 우리 집에 부시맨 브레드가 있지,,,,,[],https://twitter.com/spreadby67/status/1423127709127827460
초일,@cho1_OC,2021-08-12T08:04:38.000Z,"초일
@cho1_OC
·
8월 12일",뭐지 방금 탐라에 사라진 허니브레드가,,,,,[],https://twitter.com/cho1_OC/status/1425729929929388033
