UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
비타씌 공부하러가서 1월에 옴 살아있기는 함,@LAVITA_BL,2021-08-11T08:11:02.000Z,"비타씌 공부하러가서 1월에 옴 살아있기는 함
@LAVITA_BL
·
8월 11일","뭐야 저거 
디게 궁금하다. .
1",❄,1,,,[],https://twitter.com/LAVITA_BL/status/1425369151539879936
비타씌 공부하러가서 1월에 옴 살아있기는 함,@LAVITA_BL,2021-08-30T01:32:44.000Z,"비타씌 공부하러가서 1월에 옴 살아있기는 함
@LAVITA_BL
·
8월 30일","벨계가 잇는데 뒷계에서 벨소 읽음ㅎ
뭔가 벨계는 단행본만 봐야할거같은 그런 느낌이야......
1",❄,,,1,[],https://twitter.com/LAVITA_BL/status/1432154286641717254
Atuhaire Carol,@Atuhairecarol10,2021-08-24T09:40:30.000Z,"Atuhaire Carol
@Atuhairecarol10
·
8월 24일","Check out this week's #TastyTuesday feature.

#Lavita | #EnjoyTheDifference
3
27
93",,3,27,93,['https://pbs.twimg.com/media/E9i-04iXMBA-gre?format=jpg&name=small'],https://twitter.com/Atuhairecarol10/status/1430102708925706244
Yessi,@lavita_yesyjon,2021-08-14T17:24:33.000Z,"Yessi
@lavita_yesyjon
·
8월 15일","So much love 
1
2",🥰,,1,2,"['https://pbs.twimg.com/media/E8xJJTdXsAQlZp3?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8xJJTiWUAIiBU0?format=jpg&name=small', 'https://pbs.twimg.com/media/E8xJJTgWUAU5IkJ?format=jpg&name=360x360']",https://twitter.com/lavita_yesyjon/status/1426595611160334341
La Vita,@LAVITA_FOR,2021-08-18T22:21:01.000Z,"La Vita
@LAVITA_FOR
·
8월 19일","수요조사¹

Beyond the barricade
Is there a world you long to see?

/Les Misérables, Do you hear the people sing?
1
193
26",,1,193,26,['https://pbs.twimg.com/media/E9FmqNmUYAAxXqL?format=jpg&name=small'],https://twitter.com/LAVITA_FOR/status/1428119771493580800
Yessi,@lavita_yesyjon,2021-08-14T17:25:59.000Z,"Yessi
@lavita_yesyjon
·
8월 15일","Oh, I also did that. #hotterbytwodegrees
1",,,,1,['https://pbs.twimg.com/media/E8xJebEWUAEcvhd?format=jpg&name=small'],https://twitter.com/lavita_yesyjon/status/1426595973170671616
Chesterfield Schools,@ccpsinfo,2021-08-12T18:01:33.000Z,"Chesterfield Schools
@ccpsinfo
·
8월 13일","Congrats to LaVita! This 2021 graduate attended Crenshaw Elementary, Bailey Bridge Middle and 
@GoTDKnights
. She is going to study psychology at 
@virginia_tech
. #oneCCPS is #onthego!
1
10",,,1,10,['https://pbs.twimg.com/media/E8m-b10WQAYRIMj?format=jpg&name=small'],https://twitter.com/ccpsinfo/status/1425880147274649600
French Fry Maniac,@vivere_lavita,2021-08-18T02:29:16.000Z,"French Fry Maniac
@vivere_lavita
·
8월 18일","I’m crying at this spelling 
miss bob ross 2.0 (new page)
@beautybytamibb
 · 8월 18일
@nellythamenace 님에게 보내는 답글
I’m a beebeedoubleyew, I’ll fall over on the 3rd crate 
1
1
5",😭 😭 😭 🎨 ❤,1,1,5,['https://pbs.twimg.com/profile_images/1442358722181828610/VgOsAZsZ_mini.jpg'],https://twitter.com/vivere_lavita/status/1427819859572936707
♛𝓜𝓸𝓶𝓶𝓪 𝓡𝓸𝔂𝓪𝓵𝓽𝔂♛,@CLOWNISHKITTY,2021-08-12T13:14:20.000Z,"♛𝓜𝓸𝓶𝓶𝓪 𝓡𝓸𝔂𝓪𝓵𝓽𝔂♛
@CLOWNISHKITTY
·
8월 12일","(✎) Muse heights! 

Jazz: 10’12
Bayou: 9’6
Lavita: 7’5
Honessa: 5’11
Lucietta: 15’0
♬ 𝖈𝖍𝖆𝖗𝖑𝖔𝖙𝖙𝖊 ♕
@belle_of_hazbin
 · 8월 12일
)) Muse heights:

Charlie: 179cm
Vaggie: 165cm
Razzle&Dazzle: 70cm
Octavia: 173cm twitter.com/RoyalSuccubism…
이 스레드 보기
1
1
1",🎵,1,1,1,['https://pbs.twimg.com/profile_images/1439569000174735371/5nin8fwJ_mini.png'],https://twitter.com/CLOWNISHKITTY/status/1425807868683563009
Freezer Flash,@FlashMarino_,2021-08-25T17:51:28.000Z,"Freezer Flash
@FlashMarino_
·
8월 26일","Ced and Lavita was a different type of energy even back then 
Chavíto
@1DOPEKEV
 · 8월 26일
If we can’t pull up like this u ain’t the 1  twitter.com/AuxGod_/status…
1
1
4",😂 😂 🕊,1,1,4,"['https://pbs.twimg.com/profile_images/1424864658347880452/UtmrXWAw_mini.jpg', 'https://pbs.twimg.com/media/E9pwhZcUYAQs1f1?format=jpg&name=small']",https://twitter.com/FlashMarino_/status/1430588653886050305
