UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
롸이히얼(카멜롯 주민),@right17here,2021-08-20T07:06:06.000Z,"롸이히얼(카멜롯 주민)
@right17here
·
8월 20일","멤쉽, 브이플러스 유출하는 계정인거같네요
하루빨리 언괄하세요 내일 다시 확인하고 정리할게요
5",,,,5,['https://pbs.twimg.com/media/E9N1IwcUUAQxNgD?format=jpg&name=small'],https://twitter.com/right17here/status/1428614302701744134
흥자,@Heung___R,2021-08-01T14:16:01.000Z,"흥자
@Heung___R
·
8월 1일","당장 브이플러스인가 결제할래
1",,,,1,[],https://twitter.com/Heung___R/status/1421837122437222405
정,@mY0z_sw,2021-08-11T01:57:36.000Z,"정
@mY0z_sw
·
8월 11일",브이플러스 자컨도 안올리는 주제에 ㅉ,,,,,[],https://twitter.com/mY0z_sw/status/1425275175256281091
흥자,@Heung___R,2021-08-01T14:28:00.000Z,"흥자
@Heung___R
·
8월 1일","그럼 저 비욘드는 브이플러스 그런거 따로 구매없이 코드같은걸로 연결 되는건가요..?
2",,,,2,[],https://twitter.com/Heung___R/status/1421840140838735876
버림,@maybthrowaway,2021-08-12T13:01:16.000Z,"버림
@maybthrowaway
·
8월 12일",브이플러스 결제할게요,,,,,[],https://twitter.com/maybthrowaway/status/1425804580806221827
열매뚁땅,@xiaopeach1213,2021-08-26T11:07:36.000Z,"열매뚁땅
@xiaopeach1213
·
8월 26일",헐 저런게 잇억어? 브이플러스에??? 미친,🍑,,,,[],https://twitter.com/xiaopeach1213/status/1430849403644825600
깡깡티비,@imnameggung,2021-08-12T14:55:50.000Z,"깡깡티비
@imnameggung
·
8월 12일",헐 미친 … 브이플러스 떴어???????,,,,,[],https://twitter.com/imnameggung/status/1425833412640743435
깡깡티비,@imnameggung,2021-08-25T04:16:31.000Z,"깡깡티비
@imnameggung
·
8월 25일","균이 데이즈드 브이플러스 볼려면 … 정말 까마득하지만 암튼 난 기다릴 수 잇음 당연함
1
5",,,1,5,[],https://twitter.com/imnameggung/status/1430383565540270084
버림,@maybthrowaway,2021-08-12T16:27:37.000Z,"버림
@maybthrowaway
·
8월 13일","브이플러스 진짜 넘넘 귀여워서 또보고와야겟음
1",,,,1,[],https://twitter.com/maybthrowaway/status/1425856508290473989
엥 ¿,@foreverNOV__,2021-08-20T14:39:43.000Z,"엥 ¿
@foreverNOV__
·
8월 20일","아 브이플러스? 그거도 결제해야겠네,,",,,,,[],https://twitter.com/foreverNOV__/status/1428728459346399243
엔시EI매LI아,@imrealnctzen_,2021-08-26T02:39:18.000Z,"엔시EI매LI아
@imrealnctzen_
·
8월 26일",장난치나 싮9ㄲ기들이....브이플러스애 쏟은돈이얼만데,,,,,[],https://twitter.com/imrealnctzen_/status/1430721484289241088
앵두,@honeyischerry,2021-08-13T12:22:07.000Z,"앵두
@honeyischerry
·
8월 13일",와 브이플러스 이제 녹화 안돼? 야박한 놈들…,,,,,[],https://twitter.com/honeyischerry/status/1426157114850873355
빈빔,@binbimee,2021-08-16T10:40:49.000Z,"빈빔
@binbimee
·
8월 16일",아 브이플러스 녹화 안되는줄도모르거 캡쳐열라하고있어ㅛ어,,,,,[],https://twitter.com/binbimee/status/1427218784360669186
일루,@oneplone,2021-08-22T15:58:04.000Z,"일루
@oneplone
·
8월 23일",진짜 삶이 팍팍해지면 그 때 브이플러스 결제해서 봐야지... 9월이먄 되겠지? 응응,,,,,[],https://twitter.com/oneplone/status/1429472952223887360
체리,@mjj_46,2021-08-08T16:39:34.000Z,"체리
@mjj_46
·
8월 9일","그거 편집된게 아니라 아예 다른 브이플러스채널에 있는 영상이래요!! 유료채널..로 알고있어용
체리의 질문함입니다
질문/답변은 여기
peing.net",🥺 🥺,,,,['https://pbs.twimg.com/card_img/1439957127385264129/PZbFalFo?format=jpg&name=small'],https://twitter.com/mjj_46/status/1424409965578493952
잊누너움짤,@JUNHO___gif,2021-08-05T02:45:32.000Z,"잊누너움짤
@JUNHO___gif
·
8월 5일",브이플러스로 짤찌고싶은데 신고당할까봐 못하는중 ㅎㅎ,🍑,,,,[],https://twitter.com/JUNHO___gif/status/1423112908305694731
지키 ஐﻬ,@ferrethwanged,2021-08-16T05:05:39.000Z,"지키 ஐﻬ
@ferrethwanged
·
8월 16일","그니까요 진짜 언제 할건데에 광고 봐야되고 브이플러스 못보는 소속 잃은 삶 너무 고통스러워요.. 8말9초 예상합니다 왜냐면 내가 그때 하고싶으니깐
지키의 질문함입니다
질문/답변은 여기
peing.net
1",,,1,,['https://pbs.twimg.com/card_img/1439979793420750848/Zz2Ay_7P?format=jpg&name=small'],https://twitter.com/ferrethwanged/status/1427134435741208576
