UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
리코,@rarhico,2021-08-18T15:57:27.000Z,"리코
@rarhico
·
8월 19일","벗위햅투고투에어포트
GIF
1
20",,,1,20,[],https://twitter.com/rarhico/status/1428023243902910468
도련,@DR__Pnnsl,2021-08-15T08:59:10.000Z,"도련
@DR__Pnnsl
·
8월 15일","에어포트-!
GIF
12",,,,12,['https://pbs.twimg.com/tweet_video_thumb/E80e_9FVcAEePw3.jpg'],https://twitter.com/DR__Pnnsl/status/1426830816441552897
하다 찔러보기,@Hada_o_o,2021-08-19T03:23:20.000Z,"하다 찔러보기
@Hada_o_o
·
8월 19일","츄야 에어포트 넨도 구합니다!! 최대한 미개봉이였으면 좋겠습니다!
1
2
1",⭐ ❌,1,2,1,['https://pbs.twimg.com/media/E9H4j1aVIAAAk5T?format=jpg&name=small'],https://twitter.com/Hada_o_o/status/1428195853680857093
페자사리,@juyouso_more,2021-08-16T16:28:11.000Z,"페자사리
@juyouso_more
·
8월 17일","태권도맨 키먼 로
점프맨 아오이
스키맨 강현상
창문맨 필립 
콜라맨 루크
아쿠아맨 야곱
아이언맨 쇼지
피쉬맨 다니엘
에어포트맨 제라드
윈드밀맨 피터 콴
1
4
2",,1,4,2,['https://pbs.twimg.com/ext_tw_video_thumb/1427304950204297217/pu/img/-lItebVV69Egw1Gk.jpg'],https://twitter.com/juyouso_more/status/1427306201247715328
바고,@molllpin,2021-08-02T23:30:47.000Z,"바고
@molllpin
·
8월 3일",이 차는 처음본다.출처(아샤나에어포트),,,,,['https://pbs.twimg.com/media/E70pzLHVoAIPOLn?format=jpg&name=small'],https://twitter.com/molllpin/status/1422339123096948736
planix,@gamemusicislife,2021-08-02T12:40:48.000Z,"planix
@gamemusicislife
·
8월 2일","나는 항공관제관 시리즈 관련 음반 4종…공항물 음악 다운 상쾌한 분위기의 곡들도 많은데 은근히 장르와 동떨어진 듯한 곡도 많다. 4편하고 에어포트히어로 음반이 나름 괜찮은 느낌.
2",,,,2,['https://pbs.twimg.com/media/E7yVHuvVcAAROHC?format=jpg&name=small'],https://twitter.com/gamemusicislife/status/1422175548902559747
꽁사꽁ㅅㅏ,@_Konn_169,2021-08-15T00:35:16.000Z,"꽁사꽁ㅅㅏ
@_Konn_169
·
8월 15일",에어포트 디솔더,,,,,[],https://twitter.com/_Konn_169/status/1426704004411576320
jms,@_BL_BL_BL_BL_,2021-08-05T15:04:05.000Z,"jms
@_BL_BL_BL_BL_
·
8월 6일",에어포트는 뭐예요,,,,,[],https://twitter.com/_BL_BL_BL_BL_/status/1423298771442561029
태고,@taegoetc,2021-08-29T13:55:28.000Z,"태고
@taegoetc
·
8월 29일",에어포트 베이비 보고싶어,,,,,[],https://twitter.com/taegoetc/status/1431978814561607688
오늘 싴 본 마리,@4llICARE,2021-08-08T14:21:37.000Z,"오늘 싴 본 마리
@4llICARE
·
8월 8일"," 뮤지컬 미션 놀이
──────────────────
마리님! 넘버는 신나지만 가사는 신나지 않는 넘버 알려주세요!
https://gaeyou.com/t/?24821

에어포트베이비…..
6",🐫,,,6,[],https://twitter.com/4llICARE/status/1424375249429176322
복돌이,@goldteethgirl,2021-08-20T13:09:08.000Z,"복돌이
@goldteethgirl
·
8월 20일","나.. 언젠가 꼭 연경신 보러 에어포트갈거야
2",,,,2,[],https://twitter.com/goldteethgirl/status/1428705659835412482
라빈,@jwlavigne0918,2021-08-11T08:56:17.000Z,"라빈
@jwlavigne0918
·
8월 11일","아쿠타가와 넨도 양도 받아요! 디엠 주세요. 구매 한다면 무조건 즉입입니다. 에어포트말고 일반 버전으로 받아요! #아쿠타가와 #문스독넨도 #아쿠타가와넨도 #아쿠타가와넨도로이드
1",,1,,,[],https://twitter.com/jwlavigne0918/status/1425380540337639428
아라,@Choi_Jae_Rim,2021-08-08T18:37:55.000Z,"아라
@Choi_Jae_Rim
·
8월 9일"," 뮤지컬 미션 놀이
──────────────────
아라님! 영어가 들어가는 가사 3개 써주세요!
섹시 록시 하트~
난 에어포트 베이비
P and f are different
https://gaeyou.com/t/?24821
1
3",🐭,1,,3,[],https://twitter.com/Choi_Jae_Rim/status/1424439749561905152
soba,@formykissa,2021-08-28T15:56:11.000Z,"soba
@formykissa
·
8월 29일",뮤지컬이 에어포트베이비 생각남…,,,,,[],https://twitter.com/formykissa/status/1431646803871494146
ㅁㅜㅈ,@_after__rain,2021-08-13T14:01:22.000Z,"ㅁㅜㅈ
@_after__rain
·
8월 13일","난 에어포트 베이비~~~
3",❄,,,3,[],https://twitter.com/_after__rain/status/1426182091889278982
김민경,@aSdgQg44MZdlfzX,2021-08-06T11:47:03.000Z,"김민경
@aSdgQg44MZdlfzX
·
8월 6일",New post ([중구] 하워드 존슨 인천 바이 윈덤 에어포트 솔직 추천 정보입니다) has been published on Fingpgram - http://fingpgram.com/%ec%a4%91%ea%b5%ac-%ed%95%98%ec%9b%8c%eb%93%9c-%ec%a1%b4%ec%8a%a8-%ec%9d%b8%ec%b2%9c-%eb%b0%94%ec%9d%b4-%ec%9c%88%eb%8d%a4-%ec%97%90%ec%96%b4%ed%8f%ac%ed%8a%b8-%ec%86%94%ec%a7%81-%ec%b6%94%ec%b2%9c/…,,,,,['https://pbs.twimg.com/media/E8GvLqyUYAM4YNS?format=jpg&name=small'],https://twitter.com/aSdgQg44MZdlfzX/status/1423611574606983170
영양,@yyong_y,2021-08-10T16:04:33.000Z,"영양
@yyong_y
·
8월 11일","헐 아
오랜만에 에어포트 베이비 들어야겠다 
조쉬야 내가 간다
3",,,,3,[],https://twitter.com/yyong_y/status/1425125926770069504
애뮬릿 스벤,@or_oi_go,2021-08-07T04:54:53.000Z,"애뮬릿 스벤
@or_oi_go
·
8월 7일","에어포트 맨 ㅅㅂㅋㄹ
ㅋ
ㅋ
ㄱㄱ
ㄱㄱㄱㄲㄱㄲㄱㄱㄱ
ㄱㅋㅋㅋㅋ미쳤냐고 공항도둑이잖ㅇㄱㅋ
ㅋㄱ
ㅋㅋㄱㅋㄱ
울퉁불퉁멋진몸매
@ff_ishh
 · 1월 4일
다들 찾으시는....
코리아영상  twitter.com/D_e_nG_/status…
이 스레드 보기",🍒,,,,"['https://pbs.twimg.com/profile_images/1395279316376711169/ywtJtgdg_mini.jpg', 'https://pbs.twimg.com/ext_tw_video_thumb/1345977984457428993/pu/img/CIQCHPpWQ6CeE2Nz.jpg']",https://twitter.com/or_oi_go/status/1423870237758267395
mforu,@mforu4,2021-08-28T19:01:47.000Z,"mforu
@mforu4
·
8월 29일",선착순  판매중이에요 품절 전에   발빠르게 데려가세요 [꼴로미에] 파크 윌슨 에어포트 핫딜링크 https://link.coupang.com/re/AFFTDP?lptag=AF9163798&subid=AF9163798&pageKey=30000000229500&traceid=V0-113-…,👉,,,,['https://pbs.twimg.com/media/E95lqitVgAQBuLE?format=jpg&name=small'],https://twitter.com/mforu4/status/1431693513930862592
MBC News (MBC뉴스),@mbcnews,2021-08-29T02:30:00.000Z,"MBC News (MBC뉴스)
@mbcnews
·
8월 29일","사우스(에어포트 서클) 게이트, 내무부 신청사, 공항 북서쪽에 있는 판지시르 주유소 근처 게이트에 테러 위협이 제기됐다고 구체적으로 적시했습니다.
美 ""카불 공항 주변 구체적 테러 위험…즉시 떠나라"" 경고
미국 정부가 현지시간 28일 아프가니스탄 카불 공항 주변에 테러 위험이 있다면서 자국인들에게 해당 지역을 즉각 떠나라고 요구했습니다. AFP통신에 따르면 카불 주재 미국 대사관은 ...
imnews.imbc.com
6
4",,,6,4,['https://pbs.twimg.com/card_img/1439572659457515527/E3LbXfPt?format=jpg&name=small'],https://twitter.com/mbcnews/status/1431806308554981376
28 29당분,@C6H12O6__Love,2021-08-07T16:00:07.000Z,"28 29당분
@C6H12O6__Love
·
8월 8일","제인볼까 에어포트볼까
행복한고민",🍷 🌙,,,,[],https://twitter.com/C6H12O6__Love/status/1424037647589122048
윤,@yoon_010217,2021-08-14T22:00:29.000Z,"윤
@yoon_010217
·
8월 15일","문호스트레이독스 문스독 에어포트 넨도 구매합니다. 모든 캐릭터 다 구매합니다! 아츠시 제외 얼굴 파츠만 구매도 가능하고 풀박 우대합니다. 아쿠타가와, 다자이, 츄야 우선으로 구합니다. 디엠주세요!!
#트넨도장터",,,,,[],https://twitter.com/yoon_010217/status/1426665054569566209
나무 | 다음 웰댕중계까지 거의 안들어옴,@loveu_neulbo,2021-08-27T10:25:24.000Z,"나무 | 다음 웰댕중계까지 거의 안들어옴
@loveu_neulbo
·
8월 27일","에어포트 베이비 한국어 음원 어떻게 하나일수가 있지
1",,,,1,[],https://twitter.com/loveu_neulbo/status/1431201171931156488
Seo Rock,@Haejackdream,2021-08-08T03:38:06.000Z,"Seo Rock
@Haejackdream
·
8월 8일","[추천]  [미국 직구]레고 듀플로 타운 에어포트 10871 빌딩 블럭 MZ154210802395 할인!!
[추천] [미국 직구]레고 듀플로 타운 에어포트 10871 빌딩 블럭 MZ154210802395 할인!! - 자비스맨
오늘 추천해 드리는 제품은, 레고 듀플로 중에서 [미국 직구]레고 듀플로 타운 에어포트 10871 빌딩 블럭 MZ154210802395 입니다.~~~ 제 블로그는 가성비와 리뷰가 좋은 상품들 중, 최저가 구매가 가능한 상품들만 찾아 추천해드립니다. 즐겨찾기 해놓으시고 자주 찾아 오시면 좋은 상품들 싸게 구매할 수 있어요.^^* 에어팟프로 주변소음 없애주는...
javisman.com",,,,,[],https://twitter.com/Haejackdream/status/1424213301781700609
느린 당근,@carrot_pkh,2021-08-24T23:51:45.000Z,"느린 당근
@carrot_pkh
·
8월 25일","에어포트 잶 보고싶다 노헤븐폴미 너무 좋아⸝⸝ʚ̴̶̷̆ ̯ʚ̴̶̷̆⸝⸝
1",,,,1,[],https://twitter.com/carrot_pkh/status/1430316934902386689
M1WAK0,@M1WAK0_P,2021-08-20T13:55:05.000Z,"M1WAK0
@M1WAK0_P
·
8월 20일",나는 일본 여배우 중에 후카쿙이 제일 예쁜 것 같아 큐티섹시 그 자체..특히 도쿄에어포트때 너무너무 예뻐서 충격이었음 드라마는 그냥 무난 했는데 후카쿙 얼굴때문에 아직도 기억에 남음,,,,,"['https://pbs.twimg.com/media/E9PSvodVEAczl_1?format=jpg&name=small', 'https://pbs.twimg.com/media/E9PSvxaVkAokCXO?format=jpg&name=360x360']",https://twitter.com/M1WAK0_P/status/1428717226786320387
청새치,@Oldman_the_sea,2021-08-11T03:25:30.000Z,"청새치
@Oldman_the_sea
·
8월 11일","헐
지금 알았는데
일본은 공항을 에어포트라고 가타카나로 표기하는구나",,,,,[],https://twitter.com/Oldman_the_sea/status/1425297294031659010
피어,@fearpearpeer,2021-08-29T11:28:49.000Z,"피어
@fearpearpeer
·
8월 29일","도겸이 뮤지컬 한 번 보고 나니까 도겸이 다른 뮤지컬에 대한 갈망만 커짐… 얼레벌레극 아닌 걸로.. 내 마음 속 1위는 에어포트 베이비랑 베르테르..? 연기 더 열심히 한다면 어햎도 좋을 것 같음 ㅠㅠ 도겸이가 부르는 사랑이란…
1",,1,,,[],https://twitter.com/fearpearpeer/status/1431941904996843527
