UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
S.N,@SNO_925,2021-08-05T14:48:43.000Z,"S.N
@SNO_925
·
8월 5일","갑자기 사라진 권주에 몆년동안 예전 집주소로 계속 편지를 보내는 은수 
몰래 편지 모아왔지만 뜯어보고싶어도 편지를 뜯는 순간 은수에게 돌아가고 싶은 마음이 터져나올까 늘 다시 내려놓는 권주
0:10
113 조회수
2",,,,2,['https://pbs.twimg.com/ext_tw_video_thumb/1423294823860097049/pu/img/lDcL9UzBPsLabne9.jpg'],https://twitter.com/SNO_925/status/1423294906118795266
Unknown의 바보애인 유즈키다요,@gmldus1021,2021-08-02T09:32:12.000Z,"Unknown의 바보애인 유즈키다요
@gmldus1021
·
8월 2일","아 뭐야 오랜만에 예전 집근처 왓다가 놀랐네
6",❤ 💙,,,6,['https://pbs.twimg.com/media/E7xp9OkVgAEuYjv?format=jpg&name=small'],https://twitter.com/gmldus1021/status/1422128086523334663
아샤,@7738_park_1031,2021-08-15T07:07:03.000Z,"아샤
@7738_park_1031
·
8월 15일","상상도 못한 내 예전집 근황..
1
13",🧋 🌸 🍓 🥛,1,,13,"['https://pbs.twimg.com/media/E80FZMRVgAA1UQ3?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E80FZ3yVkAIg9Bp?format=jpg&name=small']",https://twitter.com/7738_park_1031/status/1426802602335866883
유스티나,@justina_gss,2021-08-07T09:00:42.000Z,"유스티나
@justina_gss
·
8월 7일","가장 최근...에 만든 룸박스가 그나마 깨끗(?)하게 할 수 있는 작업이었음. 소음때문에 전동공구 안쓰고 도색도 붓으로만 하고... 비효율적이고 고생스럽긴 했지만 작업을 할 수 있다는 것만으로도 만족이었다. 근데 이것도 예전 집에서나 가능했고 지금 사는 집은 작업공간이 잘 안나오네ㅠㅠ
1
1
7",,1,1,7,"['https://pbs.twimg.com/media/E8LQ2s4VoAEA1EE?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8LQ4kYUcAQ4lkP?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8LQ3zUVoAUIp3R?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8LQ5XSVcAILGlg?format=jpg&name=small']",https://twitter.com/justina_gss/status/1423932098797137925
제인이 내 앤캐...신화영 공식 팬계정 탠져린 로드갱/로드겡,,2021-08-06T09:12:35.000Z,"제인이 내 앤캐...신화영 공식 팬계정 탠져린 로드갱/로드겡
·
8월 6일","루이리 그림                     루이리 예전 집
필터써서 살짝 갈색으로만들면 딱인듯...
2",🍊,,,2,['https://pbs.twimg.com/media/E8GL1GpVIAATYPc?format=jpg&name=small'],https://twitter.com/ropiz_P/status/1423572703387131907
Dido the Cat,@dido_the_cat,2021-08-06T06:12:20.000Z,"Dido the Cat
@dido_the_cat
·
8월 6일","비록 건물로 막혀 있지만 어제 땀 뻘뻘 흘리면서 창문 닦은 보람이 있지 응… 널 위해서 닦았어. 

이제 다이도까지 데려왔으니 한 달 가까이 걸린 이사 일단락…은 아니고 예전 집 정리와 청소만 남음(골병 들 것 같다). 다이도는 대혼란 상태지만 잘 적응하겄지…
1
14",,1,,14,"['https://pbs.twimg.com/media/E8Fij8KVcAU7b1T?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8Fij-bVoAEQrPB?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8Fij8KVIAgh1K3?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8Fij-bVIAoqeg6?format=jpg&name=360x360']",https://twitter.com/dido_the_cat/status/1423527341309915137
"샨, 마오",@shan_crowly,2021-08-03T03:16:51.000Z,"샨, 마오
@shan_crowly
·
8월 3일","IF 란이 로켓단(혹은 미지의 조직)이라면
세뇌, 최면: 문득 두고온 짐이 생각나서 예전 집으로 가는길에 갑자기 나타난 후딘에게 당황할 기색도 없이 데려가져서 철저하게 머릿속이 헤집어진 상태라 가끔 인상을 쓴다거나 하면서 큐에게 대항하다 결국 매게체가 되는 귀걸이를 끊어내는 데에 성공하고
1
1",🎗 😷,1,,1,['https://pbs.twimg.com/media/E71dovTVgAIfAaI?format=jpg&name=small'],https://twitter.com/shan_crowly/status/1422396014426689540
이름없음,@Yeonmyuduck,2021-08-08T03:02:01.000Z,"이름없음
@Yeonmyuduck
·
8월 8일","예전 집 가는중
 . . .
2
1
1",,2,1,1,[],https://twitter.com/Yeonmyuduck/status/1424204219582611458
스튜단뚜 뽄,@holidayisdabest,2021-08-02T17:12:49.000Z,"스튜단뚜 뽄
@holidayisdabest
·
8월 3일","ㅇㅅㅇ….. 축하해주세요
예전 집과의 사투에서 벗어났습니다…..
디파짓 다 받았음…… 행복 그 자체……
6
33",,6,,33,[],https://twitter.com/holidayisdabest/status/1422244005404811282
연희동,@yeon_hee_dong,2021-08-08T07:23:17.000Z,"연희동
@yeon_hee_dong
·
8월 8일","혹시 플희또 굿즈 배송확인 어디서 하는지 아시는 분 계실까요..?
소식이 없는 것이.. 이상하넹 ㅜㅠ
예전 집으로 간 것 같은..
2
7",,2,,7,[],https://twitter.com/yeon_hee_dong/status/1424269970611982338
