UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
사선,@sa_seon,2021-08-02T10:30:55.000Z,"사선
@sa_seon
·
8월 2일","아카(@ F_aca13)님 <사랑이 그대를 찾아오거든> 회지에 축전 드렸습니다~! 표지작업도 제가 했는데 칭찬을 많이 들어서 기뻐요 
(TMI : 망기가 메고 있는 가방은 무선이 겁니다 벤츠남 남망기를 사랑해요)
336
1.7천",😊 😊,,336,1.7천,['https://pbs.twimg.com/media/E7x2ulXVIEEW8AN?format=jpg&name=900x900'],https://twitter.com/sa_seon/status/1422142865157672964
기민주정부는번이낙연,@jjjjjjjjjjyeoni,2021-08-26T07:07:37.000Z,"기민주정부는번이낙연
@jjjjjjjjjjyeoni
·
8월 26일","쥐톨만한 비판도 못견뎌하면서 대통령은 무슨
개차반처럼 살지를 말든가
박정희 전두환 뺨치고도 남을 놈임
7
6",💙 💙 💙 💙,,7,6,['https://pbs.twimg.com/media/E9svBHjVIAEJ7uQ?format=jpg&name=900x900'],https://twitter.com/jjjjjjjjjjyeoni/status/1430789008649461763
밤식빵,@intothesunshine,2021-08-05T12:51:47.000Z,"밤식빵
@intothesunshine
·
8월 5일","이제 정신이 좀 든다… 오늘 완전 아니 세상에 해좍선을 타러 이렇게 정신없이 출발하다니 였는데 이 똥멍청이가 무사히 승선할 수 있도록 도와주신 분들께 진심으로 감사의 말씀을 전합니다… 저도 남을 돕고 살겠습니다…
1",💉,,,1,['https://pbs.twimg.com/media/E8B0Z-kVgAc51ez?format=jpg&name=small'],https://twitter.com/intothesunshine/status/1423265478999351302
the 선인장드라이어,@Yellowpeachcan,2021-08-14T11:04:29.000Z,"the 선인장드라이어
@Yellowpeachcan
·
8월 14일","사실 은설쓰가 지금 1짱이라 다른 아기쥐들은 은설이랑 단둘이 남는거 별로 안좋아하는데
라탄이는 할머니좋아쥐라서 맨날 할매쥐들 사이에 껴서자고 안겨자고 엎혀자고 그래서 그런가 은설이가 옆에 오든말든 신경안쓰고 잘 있는다.
은설이도 남이 먹는 과자는 다 뺏어먹는 주의인데
탄이 과자는 봐줌
1
7
12",🍑,1,7,12,['https://pbs.twimg.com/media/E8vyJT8UYAQyj3N?format=jpg&name=small'],https://twitter.com/Yellowpeachcan/status/1426499964402692099
달곰,@4x4_16_,2021-08-13T19:07:38.000Z,"달곰
@4x4_16_
·
8월 14일","어떤 시발새끼가 좋은 활약도 하지 않은 선수 사진 올렷냐 그랫냐.............. 여러 레벨에서 빡침....
남이 본인 인스타에 뭘 올리든 말든 뭔 상관이며..
내선수 배구 개잘하는거 니만 모르는데 왜 아가리를 함부로 놀리는 것이며...
활약을 못하는 운동선수는 피드에 올려질 가치도 없는것인지?
11
34",🥟,,11,34,['https://pbs.twimg.com/media/E8sXJnCVoAApmF9?format=jpg&name=small'],https://twitter.com/4x4_16_/status/1426259164477616129
체념한엣팁,@noppa9_ESTP,2021-08-26T15:25:47.000Z,"체념한엣팁
@noppa9_ESTP
·
8월 27일","친하지도 않는 남이 내 뒷담 깠다는 말 들었을 때
반응이 딱 이 순서임
1.진짜? 근데 왜? 어떤 점을 깠는데?
(상처든 뭐든 일단 왜 깠는지가 졸라 궁굼함)
2. 들으니 딱히 깔 내용이 아님
3. 음 근데 나 얘랑 친하나..?
4. 뭐야 신경 쓸 이유가 없네
5. 나한테 열등감 있었나보지 뭐ㅋㅋ
1
52
91",,1,52,91,[],https://twitter.com/noppa9_ESTP/status/1430914379864698887
오후,@pmfufufu,2021-08-11T03:25:14.000Z,"오후
@pmfufufu
·
8월 11일","오다 반리 인터뷰 올라왔는데

100번정도남품하면 님이만든 쿠키는 린가이아가먹은 쿠키일수도있습니다래....운다
1
358
51",,1,358,51,[],https://twitter.com/pmfufufu/status/1425297226956304385
낢,@nothing_INTP,2021-08-21T08:26:37.000Z,"낢
@nothing_INTP
·
8월 21일","그것도 맞는데, 배부른 감각 자체를 그다지 좋아하지 않음.
1. 너무 배부르면 숨쉬기 버거워서 짜증남.
2. 뭐 먹기 귀찮음. 요리뿐만 아니라 저작운동 자체가.
3. 별로 맛있다고 느끼지 못함. (냉면을 고무줄로 만든 것 같다든가, 고기 식감이 타이어같다든가, 냄새가 향긋한 휴지같다는 말 자주함.)
전마
@JeoNMa_FREE
 · 8월 20일
마른 애들이 살 안 찌는 이유: 매커니즘이 다름
이 스레드 보기
358
102",,,358,102,"['https://pbs.twimg.com/profile_images/1383449171294711808/Qzg7r1Ne_mini.jpg', 'https://pbs.twimg.com/media/E9N0SFeVkAQwvrC?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9N0SfrVoAI0-Gy?format=jpg&name=360x360']",https://twitter.com/nothing_INTP/status/1428996950683099138
~@M,~@M,2021-08-05T10:58:34.000Z,"~@M
@b1owthemoon
·
8월 5일","큥튜브 보고잇으면 막 웃기거든.. 막 기가 차거든... 보면서 막 푸하하 왜저래? 이러거든 근데 그러다가 눈물도 남
73
58",,,73,58,[],https://twitter.com/b1owthemoon/status/1423236985968156678
계정 옮김,@Hemqu82,2021-08-09T15:45:47.000Z,"계정 옮김
@Hemqu82
·
8월 10일","정말했다가 정신승리 하려고 데드 링거 기사 후다닥 훑고왔는데
바이스 상대역.....으로 돼지남 캐스팅됏다고 하긴 하거든......(그..님들도 아는 사람인데 말안할래)

근데 맨틀 쌍둥이는 모든걸 공유한다 loverS
섹슈얼리티 어쩌고가 들어가잇다
다음 미디어는 민감한 콘텐츠를 포함할 수 있습니다. 설정 변경
보기
1
11
7",,1,11,7,[],https://twitter.com/Hemqu82/status/1424758815598137344
