UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
소애,@Tul_i_p,2021-08-28T17:03:58.000Z,"소애
@Tul_i_p
·
8월 29일","·̩͙. ᘏ▸◂ᘏ .·̩͙ 
꒰ ⸝⸝ɞ̴̶̷ ·̮ ɞ̴̶̷⸝⸝꒱
*ଘ_("")(""）┈♡ﾞ 100괄 감사합니다!!
6",,,,6,['https://pbs.twimg.com/media/E95KsggVQAQBKxH?format=jpg&name=small'],https://twitter.com/Tul_i_p/status/1431663863963918337
tutuhee,@tutuhee1,2021-08-30T03:29:03.000Z,"tutuhee
@tutuhee1
·
8월 30일","에헤헤~안뇽 #tul_pakorn
fb change by cea
9",🍑 ☺ ☺,,,9,['https://pbs.twimg.com/media/E-AjW4RVkAsbapd?format=jpg&name=small'],https://twitter.com/tutuhee1/status/1432183559465304067
툴,@__Tul__Y,2021-08-30T16:59:09.000Z,"툴
@__Tul__Y
·
8월 31일",극락좌표 공유합니다,,,,,['https://pbs.twimg.com/media/E-DcxU3UUAITXuJ?format=jpg&name=small'],https://twitter.com/__Tul__Y/status/1432387425288916994
툴,@__Tul__Y,2021-08-30T15:00:50.000Z,"툴
@__Tul__Y
·
8월 31일","야야야아아아ㅏ악!!!!!!!!!!!
NCT 127
@NCTsmtown_127
 · 8월 31일
Seoul City #JAEHYUN

NCT 127 The 3rd Album ‘Sticker’
➫ 2021.09.17

#NCT127 #Sticker
#NCT127_Sticker",,,,,"['https://pbs.twimg.com/profile_images/1429458433967759368/wpiAdmiS_mini.jpg', 'https://pbs.twimg.com/media/E-CqUbXUYAYVqEk?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E-CqUbXVQAk3TSW?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E-CqUbXVkAQ6Xz2?format=jpg&name=small', 'https://pbs.twimg.com/media/E-CqUbZVIAYTu3-?format=jpg&name=small']",https://twitter.com/__Tul__Y/status/1432357650931453956
𝒮𝓌𝑒𝓉𝒶 _𝓣𝓱𝓮 𝓸𝓬𝓮𝓪𝓷 𝓮𝔂𝓮𝓼,@SwetaMSTJ,2021-08-28T09:54:51.000Z,"𝒮𝓌𝑒𝓉𝒶 _𝓣𝓱𝓮 𝓸𝓬𝓮𝓪𝓷 𝓮𝔂𝓮𝓼
@SwetaMSTJ
·
8월 28일","P Tul reposted P Mew's igs with the caption - What a sophisticated talk! The power y'all hold 
@MSuppasit
 #MewSuppasit #Tul_Pakorn
100
98",❤,,100,98,"['https://pbs.twimg.com/media/E93oc1nVIAAbFsA?format=jpg&name=small', 'https://pbs.twimg.com/media/E93oc1lVQAIEDbI?format=jpg&name=360x360']",https://twitter.com/SwetaMSTJ/status/1431555872967184384
ReyHana|Mae,@rehana_nusrat,2021-08-29T15:45:08.000Z,"ReyHana|Mae
@rehana_nusrat
·
8월 30일","UwU other fandom fans praise Gulf cuteness in this pic 
Some fans is from P’Tul fandom 
14
52",⚽ 🐼 🥺 🤍 😭 🤍,,14,52,['https://pbs.twimg.com/media/E9-CPAjVgAwn90P?format=jpg&name=900x900'],https://twitter.com/rehana_nusrat/status/1432006411362308100
Stephie Thanasrivanitchai |,@LaSonrisadeTul,2021-08-27T13:21:43.000Z,"Stephie Thanasrivanitchai |
@LaSonrisadeTul
·
8월 27일","""Empathy is fighting even if you lack nothing, for those who lack everything.""
#POPLIVEPowerfulVoices
#Tul_Pakorn
7
19",🔮,,7,19,['https://pbs.twimg.com/media/E9zOPI6XoAQj0Wj?format=jpg&name=small'],https://twitter.com/LaSonrisadeTul/status/1431245544698040324
Ａｋｅｍｙ✯｡*ﾟ,@My_dear_MaxTul,2021-08-30T04:12:39.000Z,"Ａｋｅｍｙ✯｡*ﾟ
@My_dear_MaxTul
·
8월 30일","It's good! Even seeing him as a Speaker the talk looks too relaxed and comfortable, this is not only because I admire you, I really mean it ... you are good. 

you can see it here 
 Change by CEA 
 https://facebook.com/changebycea/videos/1184408325405464/… 

#Tul_Pakorn
#CHANGEbyCEA
#CHANGEx2
15
39",💫 🍑 🍯 ⬇ 📽 🖇,,15,39,"['https://pbs.twimg.com/media/E-AtPPDUUAAnK_I?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E-AtUnEUUAQ6Rld?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E-AtTYuVUAUvBrd?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E-AtVY7VkAM7cz3?format=jpg&name=360x360']",https://twitter.com/My_dear_MaxTul/status/1432194529663328257
Asyraf | อาชราฟ,@quantumgrande,2021-08-30T09:03:48.000Z,"Asyraf | อาชราฟ
@quantumgrande
·
8월 30일","CHANGEX2 Online Showcase & Talk Day 1
Tul has done a really good job in moderating the event! It's impressing to see this side of him.

Watch the replay here:
Part 1: https://fb.watch/7IlXCGs28g/
Part 2: https://fb.watch/7IlYSE1pdF/
#Tul_Pakorn 
#CHANGEX2
#CHANGEbyCEA
1
10
27",,1,10,27,"['https://pbs.twimg.com/media/E-BuvpkVUAEFhhr?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E-Bux_TUUAArm_Y?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E-Buw_iUcAAdxeK?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E-Bu6uGVIAcSbhU?format=jpg&name=360x360']",https://twitter.com/quantumgrande/status/1432267798839918601
Hourly Tul Pakorn,@HourlyTul,2021-08-30T10:58:43.000Z,"Hourly Tul Pakorn
@HourlyTul
·
8월 30일","#Tul_Pakorn #ตุลย์ภากร
15
40",,,15,40,"['https://pbs.twimg.com/media/E-CKQg2VUAE5uz4?format=jpg&name=small', 'https://pbs.twimg.com/media/E-CKRQ_VIAc1J5m?format=jpg&name=small']",https://twitter.com/HourlyTul/status/1432296720637911041
TüLY,@TuL_AY_06,2021-08-30T07:05:16.000Z,"TüLY
@TuL_AY_06
·
8월 30일","Zaferimiz kutlu olsun 
#ZaferYolumuz
Gururla..
13
48
394",🅰 ❤ ❤ ❤ ❤,13,48,394,['https://pbs.twimg.com/media/E-BU1-uXoAYjnHY?format=jpg&name=medium'],https://twitter.com/TuL_AY_06/status/1432237970241859586
WEED_ENT,@WEED_ENT,2021-08-27T13:42:18.000Z,"WEED_ENT
@WEED_ENT
·
8월 27일","เสียงโคตรมีพลัง 
#POPLIVEPowerfulVoices #MEWxPOPLIVE #MeanPhiravich #Tul_Pakorn #MewSuppasit
6
1.1천
812",👍 👏,6,1.1천,812,['https://pbs.twimg.com/media/E9zS8WcVIAEyiTF?format=jpg&name=small'],https://twitter.com/WEED_ENT/status/1431250723161862148
Ake,@ake_11196,2021-08-29T14:23:08.000Z,"Ake
@ake_11196
·
8월 29일","เป็นกำลังใจให้คุณพิธีกร 2 วันติดเลยน้าาาา #Tul_Pakorn
1
25
69",✌ ✌,1,25,69,['https://pbs.twimg.com/media/E99veWyVEAAzsmM?format=jpg&name=small'],https://twitter.com/ake_11196/status/1431985776967897090
ซ็อคโก้แลดชิป,@MTonlyu,2021-08-30T05:33:13.000Z,"ซ็อคโก้แลดชิป
@MTonlyu
·
8월 30일","𝐂𝐇𝐀𝐍𝐆𝐄𝐱2 𝐎𝐧𝐥𝐢𝐧𝐞 𝐒𝐡𝗼𝐰𝐜𝐚𝐬𝐞 𝐓𝐚𝐥𝐤 𝐂𝐄𝐀 𝐅𝐚𝐜𝐞𝐛𝗼𝗼𝐤 
𝗔𝘂𝗴𝘂𝘀𝘁 𝟯𝟬-𝟯𝟭, 
#Tul_Pakorn
0:38
223 조회수
16
39",,,16,39,[],https://twitter.com/MTonlyu/status/1432214804735803394
Zanna,@Zannasubs,2021-08-27T21:24:24.000Z,"Zanna
@Zannasubs
·
8월 28일","TUL PAKORN, SIR.... I LOVE YOU AND UR LITTLE BURPS 

#tul_pakorn
5
9
43",😂,5,9,43,['https://pbs.twimg.com/ext_tw_video_thumb/1431366990854242305/pu/img/CaOOE5_Tjs4pf8Gu.jpg'],https://twitter.com/Zannasubs/status/1431367014476623883
yy @black,yy @black,2021-08-30T22:49:24.000Z,"yy @black
@yysblack1
·
8월 31일","毎朝とぅんとぅん

Knockちゃんが恋しくなったので今朝はこちら

BRの頃のKnockちゃんは何とも言えない可愛さがありますね
cr octotul_fc/ig

#おはようとぅんとぅん
#tul_pakorn
2
13
63",💗 ❗ 〰 ❤,2,13,63,"['https://pbs.twimg.com/media/E-Es6s7VkAIuA4_?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E-Es7bTUYAA3Jsc?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E-Es7CnVcAAjz2n?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E-Es7wwUUAABI_0?format=jpg&name=360x360']",https://twitter.com/yysblack1/status/1432475567501156353
Ake,@ake_11196,2021-08-30T14:23:54.000Z,"Ake
@ake_11196
·
8월 30일","ไม่ได้เห็นตุลย์ในมาดพิธีกรมานานพอสมควร วันนี้หล่อมาก ถึงจะมีอุปสรรคในส่วนงานควบคุมเสียงไปบ้าง แต่การเสวนาก็ดำเนินการต่อไปได้จนจบ เก่งที่ซู้ดดดด  #Tul_Pakorn
2
18
38",👏 👏,2,18,38,['https://pbs.twimg.com/ext_tw_video_thumb/1432348177689026562/pu/img/w0Z3RLog53IN0OjB.jpg'],https://twitter.com/ake_11196/status/1432348354604789764
dóri⁷,@jkoostime,2021-08-29T18:08:47.000Z,"dóri⁷
@jkoostime
·
8월 30일","itt tul sok minden tortenik egyszerre 
jk updates ★
 님의
2
2
30",👁 👄 👁,2,2,30,['https://pbs.twimg.com/ext_tw_video_thumb/1432026810641010693/pu/img/wL7TlnIQ9nQmxnQh.jpg'],https://twitter.com/jkoostime/status/1432042563515584516
リリーLily,@lymeelymee,2021-08-30T03:36:09.000Z,"リリーLily
@lymeelymee
·
8월 30일","有難う御座います
お昼休みに見れる〜と思ってたけどリンク迷子になっていたので助かりました

今日もTulくん、社会派バージョンなのですね

#Tul_Pakorn
다음 미디어는 민감한 콘텐츠를 포함할 수 있습니다. 설정 변경
보기
다음 미디어는 민감한 콘텐츠를 포함할 수 있습니다. 설정 변경
보기
1
2
10",🍑 🖤 🤍 ✨ 🥺 👔,1,2,10,[],https://twitter.com/lymeelymee/status/1432185343755784198
