UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
농장주인,@yeonkongFarm,2021-08-22T15:38:48.000Z,"농장주인
@yeonkongFarm
·
8월 23일","연경언니 옵챗 볼때마다 죽고싶다…
집에 돌아오는 길에 너무 생각났대
와중에 본인 아닌 척 능청스럽게 대화 참여하는 거 너무 사랑스러워 눈물이 흐르고 두만강을이루고
2
107
147",,2,107,147,"['https://pbs.twimg.com/media/E9Z9qKTVEAIwLwT?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9Z9qMJVoAEHta0?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9Z9qKSVcAcDdA8?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9Z9qMeVkAYAePq?format=jpg&name=360x360']",https://twitter.com/yeonkongFarm/status/1429468100429115402
찡구 천사온유님,@withangelonew,2021-08-14T21:28:14.000Z,"찡구 천사온유님
@withangelonew
·
8월 15일","백두산 돌은 칼을 갈아
두만강 물은 말을 먹여
찬란한 봄이 올 때까지
육탄혈저어어어언 
독립전쟁 뿐이오오오오오
#광복절76주년
9
16",😍,,9,16,"['https://pbs.twimg.com/media/E8yA6ZrVEAEwv15?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8yA610VoAEkbkw?format=jpg&name=small', 'https://pbs.twimg.com/media/E8yA6n-VUAAl-v5?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8yA7BLVgAI6iCw?format=jpg&name=360x360']",https://twitter.com/withangelonew/status/1426656936141856768
유산슬,@dbtkstmf,2021-08-24T01:52:58.000Z,"유산슬
@dbtkstmf
·
8월 24일","태준기 완전 북쪽에 살았네 목 빼면 두만강 보이는 자리에 사네
2
2",,,2,2,['https://pbs.twimg.com/media/E9hTxqhUYAEbryB?format=jpg&name=small'],https://twitter.com/dbtkstmf/status/1429985049038921749
채리(チェリー),@CHAE_LI_,2021-08-14T15:46:07.000Z,"채리(チェリー)
@CHAE_LI_
·
8월 15일","오늘 제 방송에서...
믹스콜의 새 역사를 썼습니다..
여러분들이.. ""자랑""스럽습니다... 
솔방울 수류탄
나뭇잎 두만강
나뭇가지
엑스칼리버
전지전능~
3
6
30",🍒 🐯 🐯 🍒,3,6,30,"['https://pbs.twimg.com/media/E8wymANVoAIeCUV?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8wymriVcAUbosz?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8wymN8VcAUshqF?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8wynKpVgAoOS2D?format=jpg&name=360x360']",https://twitter.com/CHAE_LI_/status/1426570840980684807
+하나님의사람+++곽헤왕,@kyungsuqazplm77,2021-08-20T06:28:27.000Z,"+하나님의사람+++곽헤왕
@kyungsuqazplm77
·
8월 20일","조미미 눈물젖은 두만강(1979) https://youtu.be/ctvBrSL2JAk 출처 
@YouTube
조미미 눈물젖은 두만강(1979)
조미미 골든히트 4집-그리운 노래 (청춘고백/눈물젖은 두만강) 두만강 푸른 물에 노젓는 뱃사공흘러간 그 옛날에 내 님을 싣고떠나간 그 배는 어데로 갔소그리운 내 님이여 그리운 내 님이여언제나 오려나강물도 달밤이면 목메어 우는데님잃은 이 사람도 한숨을 지니추억에 목메인 애달픈 하소그...
youtube.com",,,,,['https://pbs.twimg.com/card_img/1441204614943031297/ipMecTrC?format=jpg&name=240x240'],https://twitter.com/kyungsuqazplm77/status/1428604824531070978
공이,@02thesmasher,2021-08-17T09:30:03.000Z,"공이
@02thesmasher
·
8월 17일","탈북자 프로에 패널로 참여한 태준기
다른 출연자들이 중국 밀항 두만강 목숨걸고 건너기 등의 눈물콧물 짜는 경험담 말하는데 자기 차례에 남친따라 뱅기타고 손쉽게 전향했다고 말한 후 통편집당하기
19
38",,,19,38,[],https://twitter.com/02thesmasher/status/1427563362779471874
피콜로@Piccolo,피콜로@Piccolo,2021-08-21T03:39:22.000Z,"피콜로@Piccolo
@PiccoloTune
·
8월 21일","한미러가 서울에서 만난다는데

공통점은 한반도 비핵화. 그중에서도 동해축을 통한 철도연결. 더 나아가서는 베링해협 해저터널 대공사(?).

두만강 하구를 개발하거나 막음으로서 중국의 진출시도를 무력화시키는 일석이조.

남북은 장기적으로 매달려야 할 프로젝트 필요. 딱이네.
13
14",,,13,14,[],https://twitter.com/PiccoloTune/status/1428924663716106247
요시,@shindegudasai,2021-08-22T10:55:13.000Z,"요시
@shindegudasai
·
8월 22일","서울 꼭 방문해야하는 명소: 두만강샤브샤브 화장실
1
6
1",,1,6,1,[],https://twitter.com/shindegudasai/status/1429396737978900480
dori,@i_i2n,2021-08-14T05:49:07.000Z,"dori
@i_i2n
·
8월 14일","충격이다... 언니 괴롭히면 두만강에 떠내려가게 해주마
𝑷𝒆𝒂𝒄𝒉𝒚
@peachy__04
 · 8월 14일
와 시발 진짜 미친새끼들이네",🤌,,,,"['https://pbs.twimg.com/profile_images/1439611718510911489/YA7EEH3U_mini.jpg', 'https://pbs.twimg.com/media/E8uYHSXVoAM1BdR?format=jpg&name=900x900']",https://twitter.com/i_i2n/status/1426420602584244224
황야의 무법자어흥,@x655063,2021-08-29T09:11:29.000Z,"황야의 무법자어흥
@x655063
·
8월 29일","첸쏘돌헤던밥 사이에 삼각 두만강 흐르고 있지 않아? 오타쿠 어렵네...
1
3",💥 💥,1,,3,[],https://twitter.com/x655063/status/1431907345378918400
Bertolt Brecht☭,@RedArmy2002,2021-08-15T03:22:37.000Z,"Bertolt Brecht☭
@RedArmy2002
·
8월 15일","두만강 푸른 물에 노 젓는 뱃사공을 볼 수는 없었지만~ 
그 노래만은 너무 잘 아는 건, 내 아버지 레퍼토리, 그 중에 18번이기 때문에~
18번이기 때문에~",,,,,[],https://twitter.com/RedArmy2002/status/1426746119065796613
거머리떼 퇴치 연대,@HZSPTifiRegHQ5g,2021-08-09T05:21:52.000Z,"거머리떼 퇴치 연대
@HZSPTifiRegHQ5g
·
8월 9일","그렇게 북한이 좋으면 북한에 가서 살아.

왜 안 가냐. 두만강 건너는 건 껌이야. 어느 구간은 그냥 조그만 개천이라고 보면 된다.
2
1",,,2,1,[],https://twitter.com/HZSPTifiRegHQ5g/status/1424601805086806022
혜윤,@hyeyun2321,2021-08-23T05:08:28.000Z,"혜윤
@hyeyun2321
·
8월 23일",두만강,,,,,[],https://twitter.com/hyeyun2321/status/1429671859881058305
거머리떼 퇴치 연대,@HZSPTifiRegHQ5g,2021-08-10T00:08:04.000Z,"거머리떼 퇴치 연대
@HZSPTifiRegHQ5g
·
8월 10일","북한과의 민간교류 추진....

말은 좋은데, 북한에 '민간'이라는 게 있나. 두만강에서 바라만 봐도 북한 당국의 지시와 명령에 따라 세뇌되어 미친 듯이 돌을 던지는 게 북한의 '민간'이다.
1
2",,,1,2,[],https://twitter.com/HZSPTifiRegHQ5g/status/1424885222546448401
소릉하,@metempirics,2021-08-08T13:30:50.000Z,"소릉하
@metempirics
·
8월 8일","민문연 구미지회 봉오동 전적지 두만강 도문시 용정시 윤동주 생가, 철혈광복단 15만원 탈취기념비 방문
민문연 구미지회 봉오동 전적지 두만강 도문시 용정시 윤동주 생가, 철혈광복단 15만원 탈취기념비 방문
만주 독립운동 사적지를 탐방하는 민족문제연구소 구미지회가 주최한  만주답사 기행은 동북 3성의 헤이룽장성, 지린성 랴오닝성의 주요 도시와 백두산을 오르는 답사. <하얼빈시-경안시-상지시-목단강시-도문시..
monament.tistory.com",,,,,['https://pbs.twimg.com/card_img/1440674043665915928/AWMVgwRw?format=jpg&name=small'],https://twitter.com/metempirics/status/1424362467946242060
Eli,@eliJKang,2021-08-24T03:00:05.000Z,"Eli
@eliJKang
·
8월 24일",두만강압럭강대동강이 그냥 한강이네. 이명박이 하겠다던 힌반도관통 수로사업을 거기서 했고 그물이 내륙쪽으론 일산병원앞으로 흐르고. 바닷쪽으로는 황해쪽으로 뚫어놨는데 이게 골때리게 해놔서 안산 김해쪽으로 째고 들어오는게 장난아니고 김해는 이미 사람은 못살정도로 비가안와도물이차올랐고,,,,,[],https://twitter.com/eliJKang/status/1430001939945721860
무미아,@selly_zest,2021-08-06T23:25:31.000Z,"무미아
@selly_zest
·
8월 7일","1500년(연산군6)
1월 압록강과 두만강 일대에 장성을 쌓고 지도를 제작함
6월 음란한 남녀에 대해 사형시키는 법을 정함
11월 유구국에서 대장경을 보내줄 것을 요구함",,,,,[],https://twitter.com/selly_zest/status/1423787350367170560
큣(상태:다리아픔),@cue_t2,2021-08-11T05:33:40.000Z,"큣(상태:다리아픔)
@cue_t2
·
8월 11일",압록강 두만강 아래라고 강남권인가,,,,,[],https://twitter.com/cue_t2/status/1425329550133661703
읽,@esperansya,2021-08-28T04:27:42.000Z,"읽
@esperansya
·
8월 28일","마파두부랑 꿔바로우랑 쯔란양고기 먹고싶어
두만강...!!
2
2",,2,,2,[],https://twitter.com/esperansya/status/1431473541547913217
두만강 14대손 두만식,@DuMansic710,2021-08-20T01:15:19.000Z,"두만강 14대손 두만식
@DuMansic710
·
8월 20일","나. 두만강 14대손 두만식.
페르디 목떡을 찔 것이다.
2",,,,2,[],https://twitter.com/DuMansic710/status/1428526022710861826
왕사장,@everalways_,2021-08-14T04:55:04.000Z,"왕사장
@everalways_
·
8월 14일",와 나 오랜만에 두만강 왔는데 웨이팅이네 ..,,,,,[],https://twitter.com/everalways_/status/1426406997369393153
A.K&T,@ANNGWANGOK,2021-08-16T03:33:02.000Z,"A.K&T
@ANNGWANGOK
·
8월 16일","중국을 견제 훈련이로 해야 한다.
북한 세계최강 6기동대  있는데
중국이  압록강 두만강 건너오면
현무미사일 로 박살내어야 한다.

중국이 북한에 들어오면
끝을 본다.
YTN
@YTN24
 · 8월 16일
한미 연합 지휘소 훈련 시작...방어적 성격·시뮬레이션 방식https://m.ytn.co.kr/news/202108161204069757_0101_018.html…",,,,,['https://pbs.twimg.com/profile_images/1291265911114960897/GzlpDNVV_mini.jpg'],https://twitter.com/ANNGWANGOK/status/1427111131382910980
무미아,@selly_zest,2021-08-09T00:55:22.000Z,"무미아
@selly_zest
·
8월 9일","1587년(선조20) 
9월 이순신, 경흥 녹둔도에 침입한 여진족을 격퇴함
11월 복병사 이일, 두만강 이북의 여진 소굴을 소탕함",,,,,[],https://twitter.com/selly_zest/status/1424534738367238146
Mabell,@mabell_dark,2021-08-19T02:45:12.000Z,"Mabell
@mabell_dark
·
8월 19일","한지시간에 한 일
1. 우리나라 지도 배우기
2. 도시이름 찾기
3. 한라산을 비롯한 압록강과 두만강 찾기

도시 찾기가 제일 싫었어요
12",✨,,,12,[],https://twitter.com/mabell_dark/status/1428186255632723972
륮놀이,@Ryunori1,2021-08-09T14:14:32.000Z,"륮놀이
@Ryunori1
·
8월 9일","버블에 쩜 찍고가 ㅠㅠ 와다다 세통 벌써 다 갈겨버렸는데 아직 할말이 두만강 압록강 한강인데!!
5",,,,5,[],https://twitter.com/Ryunori1/status/1424735851850788872
6211,@6211bus,2021-08-19T10:48:33.000Z,"6211
@6211bus
·
8월 19일","갑자기 지삼선이 먹고싶어졌는데 두만강(음식점)까지 가긴 귀찮아서 가까운데서 샀더니 내가 생각하던 그 지삼선이 아님... 거의 기름떡볶이와 국물떡볶이급 차이임... 뭐가 맞는거여
1
3",🦇 🌙,1,,3,[],https://twitter.com/6211bus/status/1428307896354295810
빽(쌍),@backgetsomeda,2021-08-24T05:48:30.000Z,"빽(쌍)
@backgetsomeda
·
8월 24일","존나웃기다.. 그래도 함경북도가 두만강이랑 가까워서 탈북민 많대요 남조선으로 돌아올 가능성 열어둔 거임 나는 한국인이다
1
3",,,1,3,[],https://twitter.com/backgetsomeda/status/1430044325983887360
사해문서,@frombc7197,2021-08-07T03:08:29.000Z,"사해문서
@frombc7197
·
8월 7일","좀비 사태로 인해 한반도 통일에 성공하긴 했는데 수복지구 내 좀비를 처리하느라 예비군을 동원하고 만주의 거대 좀비 콜로니의 남하를 대비하여 압록-두만강 장성 건설하느라 복구용 자원이 다 북으로 올라가서 분위기가 영 안 좋은 대한민국을 그린 소설 없나.
1
1",,,1,1,[],https://twitter.com/frombc7197/status/1423843460952428551
미엘,@miel218116,2021-08-03T06:38:09.000Z,"미엘
@miel218116
·
8월 3일","지삼선... 설대입구 두만강샤브샤브 추천합니다
1
1",🌈 💎,1,,1,[],https://twitter.com/miel218116/status/1422446672756412416
빽(쌍),@backgetsomeda,2021-08-21T11:00:11.000Z,"빽(쌍)
@backgetsomeda
·
8월 21일","태준기가 어지간한 이유로는 탈북 꿈도 안 꿀 조국러버뻘갱남이라서 좋다 이거야 이런 놈이 사랑~ 때문에 두만강 건너면 얼마나 좋겠니
1",,,,1,[],https://twitter.com/backgetsomeda/status/1429035596647780352
