UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
펭긴미 (slow),@penginmee,2021-08-10T00:59:22.000Z,"펭긴미 (slow)
@penginmee
·
Aug 9","오늘 저녁 안 먹었어여 
여러분들의 사랑으로 저 배가 채워졌어여

마음 따뜻한 우리펭ㅠㅠㅠㅠ참치 백통먹어ㅠㅠㅠㅠㅠㅠㅠ
#펭수 #pengsoo
2
6",🐧 🐧 🐧 ↗,,2,6,['https://pbs.twimg.com/ext_tw_video_thumb/1424898027232268298/pu/img/iKIFnNqAd3yy-Zpr.jpg'],https://twitter.com/penginmee/status/1424898131993366529
최혜정,@cdchjlove,2021-08-18T03:07:30.000Z,"최혜정
@cdchjlove
·
Aug 17","곧 주말이예요.. 응? ㅋㅋ 살이 쪄도 다리는 잘 안 찌는듯.. 참치로 태어났으면 뱃살 땜에 사랑받았을건데..왜 하필 공룡시디로 태어나가지고 ㅜ 주말계획도 미리미리 세워놓으시구요. 맛점하시고 즐점되세요. 화이팅
The following media includes potentially sensitive content. Change settings
View
5
1
46",♥,5,1,46,[],https://twitter.com/cdchjlove/status/1427829480190476288
가디비,@srvg9,2021-08-26T15:25:10.000Z,"가디비
@srvg9
·
Aug 26","첫인상 : 저도 트친들이 했던 얘기 또 하는 거 좋아해요 그니까 내가 했던 얘기 또 해도 좋아해조
현인상 : 참치 사랑 이말삼초 여자 사랑
특징: 탐라에 초록색을 많이 심어주시는(인장과 식물들
진입장벽 : 중
오해: 비서울러
TREVI
@TrevigrapeF
 · Aug 26
#트친이_인용으로_해주면_좋겠다

첫인상 : 
현인상 : 
이사람한테 했던 오해 : 

난 이 세개만 궁금하니 많관부 ㅋ
1
1",,1,,1,['https://pbs.twimg.com/profile_images/1273853006144958464/ad5131lU_mini.jpg'],https://twitter.com/srvg9/status/1430914223475884035
콜라,@junho__jjinreal,2021-08-10T07:11:57.000Z,"콜라
@junho__jjinreal
·
Aug 10",팀치치 가보자고….사랑을 향한 참치유닛가보자고…,🌈 🌈,,,,[],https://twitter.com/junho__jjinreal/status/1424991894539440130
엔돌펭이였던사람,@Was_endolphin2,2021-08-12T14:38:35.000Z,"엔돌펭이였던사람
@Was_endolphin2
·
Aug 12","사랑이있다면참치캔아닐까생각해
#팀치치_입덕_참치마요
시간이된다면
#WE_ARE_TEAM_CHICHI
오늘참치어떨까
17
18",,,17,18,[],https://twitter.com/Was_endolphin2/status/1425829069086552087
묘연,@myoyeon_forest,2021-08-29T15:16:08.000Z,"묘연
@myoyeon_forest
·
Aug 29","(일단 선빵을 맞기는 했지..참치는 여인이 쏜 사랑의 큐피트 어쩌구 했지만...)
4",,,,4,[],https://twitter.com/myoyeon_forest/status/1431999113722155011
김덕배,@AlY08qV9zuHMP5V,2021-08-25T06:19:18.000Z,"김덕배
@AlY08qV9zuHMP5V
·
Aug 24",강동원 박근혜 중 참치 선택하면 당연히 바이지... 사랑 말고 돈을 노린 거라던가 얼굴 감상용 조각상 선택이면 그럴 수 있는데 레즈의 연애상애로 꼭 듈 중 하나만 고르라고 하면 강동원은 못 고르지.... 원래 확고한 이성애자도 동성애자도 드문 건 알지만 그렇다고 개념을 착각하면 안된다,,,,,[],https://twitter.com/AlY08qV9zuHMP5V/status/1430414462570287104
ෆ 은콩 ෆ,@le2jh_h,2021-08-12T14:31:11.000Z,"ෆ 은콩 ෆ
@le2jh_h
·
Aug 12","나참치스트내혈관엔피대신참치기름이흐른다
#팀치치_입덕_참치마요
이게사랑이아니면뭔데내사랑이다이겨진짜로
#WE_ARE_TEAM_CHICHI
찬치준치참치스트팀치치오늘데뷔합니다치치
1",,,1,,[],https://twitter.com/le2jh_h/status/1425827206131904529
쿠림,@ho_it_ho_it55,2021-08-12T15:00:56.000Z,"쿠림
@ho_it_ho_it55
·
Aug 12","혹시나본적없나요참치스트를
#팀치치_입덕_참치마요
사랑이있다면실트가아닐까생각해
#WE_ARE_TEAM_CHICHI
시간이된다면오늘밤실트어떨까
#팀치치_데뷔_참치마요
4
8",,,4,8,[],https://twitter.com/ho_it_ho_it55/status/1425834693920841737
종복,@FF14_pofur,2021-08-21T04:58:31.000Z,"종복
@FF14_pofur
·
Aug 20","파란 님은요...... 남들 다 관통이라고 해도...
본인은 끝까지 부정하는 사람이고요....
우리 파란 님은요.... 색 반전을 좋아해요....
우리 파란님은요.... 관캐랑 다툼한번은 꼭 갈기지만
그 캐릭터랑 사랑도 갈기고요.....
우리 파란님은....참치에요
참나... 또 치였어요...
1",,,,1,[],https://twitter.com/FF14_pofur/status/1428944580754296832
