UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
담낭,@1l1l1lIll,2021-08-04T22:14:32.000Z,"담낭
@1l1l1lIll
·
Aug 4","반짝이는 게 저렇게 많아도 우리 휴닝이 눈이 진짜 킹(King)갓(God)제너럴(General)엠페러(Emperor)충무공(이순신,1545~1598)마제스티(Majesty)큐티(Cuty)프리티(Pretty)뷰티풀(Beautiful)골져스(Gorgeous)프레셔스(Precious)하이클래스(HighClass)엘레강스(Elegance)럭셔리(Luxury)클래식(Classic)
2
23
79",,2,23,79,['https://pbs.twimg.com/media/E7-rnHGUUAAoK6G?format=jpg&name=900x900'],https://twitter.com/1l1l1lIll/status/1423044710025744388
직접민주제와 기본소득제 !,@pdc327,2021-08-21T09:56:02.000Z,"직접민주제와 기본소득제 !
@pdc327
·
Aug 21","https://youtu.be/_UaIzcjJvQk
충무공 이순신 초상화
100년 전 이방인이 그린 충무공 이순신 초상화 / KBS 2021.08.20.
민족의 영웅, 충무공 이순신 장군은 어떤 얼굴일까요? 지금으로부터 100년 전, 일제강점기 우리나라에서 활동했던 낯선 이방인이 그린 조선 시대 무인의 초상화가 통영에서 처음 전시되고 있습니다. 학계에서는 이 초상화의 주인공이 이순신 장군이 유력하다고 보고 있습니다.▣ KBS 기사 ...
youtube.com
3
2",,,3,2,['https://pbs.twimg.com/card_img/1441742518459064326/qDAgyFQo?format=jpg&name=240x240'],https://twitter.com/pdc327/status/1429019456127201284
유언 봇,@Diebot_,2021-08-17T17:25:02.000Z,"유언 봇
@Diebot_
·
Aug 17","싸움이 급하니, 나의 죽음을 알리지 마라. - 충무공 이순신 (1545.3.8~1598.11.19)
15
17",,,15,17,[],https://twitter.com/Diebot_/status/1427682897406828547
전국 /수연/ 란마 2분의1,@AoMbX5La1oztX7S,2021-08-20T02:44:26.000Z,"전국 /수연/ 란마 2분의1
@AoMbX5La1oztX7S
·
Aug 19","https://youtu.be/_baJAvDTqj0명량해전/충무공 이순신
현재 일본을 뒤흔든 명량해전 이순신의 진실｜여태껏 배운 12척은 거짓말이었다｜드러난 진실의 숫자
현재 일본과 한국 역사계를 뒤흔든이순신 장군의 명량해전 진실의 숫자가 공개되어일본과 해외에서 뜨거운 반응을 불러 일으키고 있습니다.#일본반응 #한국역사 #한국역사해외반응 #이순신 #명량해전
youtube.com
3",,,,3,['https://pbs.twimg.com/card_img/1440116379370229767/v_65Rj3O?format=jpg&name=240x240'],https://twitter.com/AoMbX5La1oztX7S/status/1428548450220593155
인홀@말딸 바르고배 세계 1위,인홀@말딸 바르고배 세계 1위,2021-08-08T13:19:57.000Z,"인홀@말딸 바르고배 세계 1위
@InFiniTy_Holic
·
Aug 8","건방진,,,,쉐끼덜,,,,,,, 킹갓엠페러킹왕짱충무공이순신마제스틱세바스틱 노래에 으,,,,딜 메갈을,,,,,,묻히고 있느냐,,,,,카악 퉷,,,, 
시발 벌써 12년이 됐네 난 저거 막 공개될때 들었는데 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
The following media includes potentially sensitive content. Change settings
View
29",,,29,,['https://pbs.twimg.com/media/E8RXoDkVIAoOc57?format=jpg&name=900x900'],https://twitter.com/InFiniTy_Holic/status/1424359730890231811
Woo_ㅇㅅㅊㄱ,@Fantasy_WooCS,2021-08-30T07:15:03.000Z,"Woo_ㅇㅅㅊㄱ
@Fantasy_WooCS
·
Aug 30","AN/SPS-49
충무공 이순신급 구축함이나 올리버 해저드 페리급 등에 부착된 대공탐색 레이더에요
The following media includes potentially sensitive content. Change settings
View",,,,,[],https://twitter.com/Fantasy_WooCS/status/1432240430490394624
심심해서 만든 잡덕일지:),@ZYO8cdvwMw5LErP,2021-08-22T17:31:58.000Z,"심심해서 만든 잡덕일지:)
@ZYO8cdvwMw5LErP
·
Aug 22","100년 전 서양 화가가 그린 충무공 이순신 초상화가 공개됐다 (출처 : 인사이트 | 네이버 포스트)
100년 전 서양 화가가 그린 충무공 이순신 초상화가 공개됐다
[BY 인사이트] [인사이트] 유진선 기자 = 지금으로부터 100년 전 이방인이 그린 조선시대 무인의 초상화...
m.post.naver.com",,,,,[],https://twitter.com/ZYO8cdvwMw5LErP/status/1429496582873894912
유언 봇,@Diebot_,2021-08-13T10:54:09.000Z,"유언 봇
@Diebot_
·
Aug 13","너는 충무공 집안에 충의가 서로 전해져 내려오고 있음을 듣지 못했느냐? 왜 나를 죽이지 않느냐! - 이봉상 (충무공 이순신의 5대손. 이인좌의 난 때 피살당함. 1676~1728.3.15)
3
11",,,3,11,[],https://twitter.com/Diebot_/status/1426134979101093889
단영,@rosycresent,2021-08-12T18:48:48.000Z,"단영
@rosycresent
·
Aug 12","군대에 있을 때 뮤지컬 <충무공 이순신>을 볼 기회가 있었고 그때 민영기 배우님의 연기에 반했다고
단영
@rosycresent
 · Aug 12
덕질하면서 알게된 이지훈 이것저것 tmi정리하는 트윗
(인용으로 계속 추가)",💕,,,,"['https://pbs.twimg.com/profile_images/1438552972774940707/O1PgLnYC_mini.jpg', 'https://pbs.twimg.com/media/E8mkDYzVkAEh7iI?format=jpg&name=small']",https://twitter.com/rosycresent/status/1425892040185769986
김회순,@wPCrF3iqaV5lVkQ,2021-08-23T09:50:04.000Z,"김회순
@wPCrF3iqaV5lVkQ
·
Aug 23","산청 남사예담촌, 이사재 선비나무 배롱나무 연리지, 충무공이순신 유숙지 니사재 (출처 : 여행친구죽.. | 블로그)
배롱나무 백일홍 절정 산청 니산재, 남사예담촌 자미화 피던날 연리지 연인들이 꼭 봐야하는 이유.
남사예담촌 이사재 니산재의 배롱나무는 200년 동안 살아낸 수령이 엄청 긴 나무들입니다. 니사재의 배롱나...
m.blog.naver.com",,,,,['https://pbs.twimg.com/card_img/1441030430120022016/Uz3jIPiN?format=jpg&name=240x240'],https://twitter.com/wPCrF3iqaV5lVkQ/status/1429742728896651266
