UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
ave ..°♡,@xiaonine99,2021-08-10T14:11:37.000Z,"ave ..°♡
@xiaonine99
·
8월 10일","Hellooo more dolly outfits for nine please~  i have some good references 

Beret NongNine
#AKNinePLAYFRIDGE_Ep8
1
26
33",🥺 🥺,1,26,33,"['https://pbs.twimg.com/media/E8b2nBIWEA0TfFT?format=jpg&name=small', 'https://pbs.twimg.com/media/E8b2nnAWQAwbKpS?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8b2neEXsA0vw3k?format=jpg&name=small', 'https://pbs.twimg.com/media/E8b2oAzXEA4ygiB?format=jpg&name=small']",https://twitter.com/xiaonine99/status/1425097507554664451
Clanko,@OwlishClanko,2021-08-11T20:09:33.000Z,"Clanko
@OwlishClanko
·
8월 12일","DO IT LIKE DOLLY
NIGHT AFTER NIGHT
DO IT LIKE DOLLY
FROM NINE TO FIVE
1",,,,1,[],https://twitter.com/OwlishClanko/status/1425549972158681091
Be a Bear #AllforNine,@ininenaiyou,2021-08-24T11:45:00.000Z,"Be a Bear #AllforNine
@ininenaiyou
·
8월 24일","I surely will miss seeing NongNine in these dolly outfits when he was in this show

Kitten Nine
#PLAYFRIDGE_LastEp
6
6",🐻,,6,6,"['https://pbs.twimg.com/media/E9jCV0bVoAosXsu?format=jpg&name=small', 'https://pbs.twimg.com/media/E9jCV0cUYAQSeWU?format=jpg&name=small', 'https://pbs.twimg.com/media/E9jCV0bVgAIdYCK?format=jpg&name=small', 'https://pbs.twimg.com/media/E9jCV0aUYAUimoy?format=jpg&name=small']",https://twitter.com/ininenaiyou/status/1430134039684567058
Vince Male,@Vince_Male,2021-08-25T19:44:46.000Z,"Vince Male
@Vince_Male
·
8월 26일","Ngcobo for Parker. I'd then play Zuma as a NINE! With Dolly, Billiat, Ngcobo around him in this system? He'll eat nice, we won't need an out and out striker.
3
2
7",,3,2,7,[],https://twitter.com/Vince_Male/status/1430617164994732044
marco douglass,@doug_marco,2021-08-04T20:16:06.000Z,"marco douglass
@doug_marco
·
8월 5일","Sadly, only a nine minute reel is known to still survive.

The poster designer Dolly Rudeman is one of the few women to be working in this profession at that time. Worth checking out.

Victor Sjostrom’s The Divine Woman movie poster featuring Greta Garbo by Dolly Rudeman (1928).
2",,,,2,['https://pbs.twimg.com/media/E7-Qf7nVIAAfz5U?format=jpg&name=900x900'],https://twitter.com/doug_marco/status/1423014904164884486
matt headley,@mdhmdhmdh,2021-08-23T11:42:59.000Z,"matt headley
@mdhmdhmdh
·
8월 23일",Some dude called Chris Stapleton was singing Nine to Five at the Dolly Parton Musicares tribute. He muffed the lyrics and I cringed. Dolly did not look impressed!,,,,,[],https://twitter.com/mdhmdhmdh/status/1429771146405113856
Nick Rafter,@NRafter,2021-08-13T22:56:28.000Z,"Nick Rafter
@NRafter
·
8월 14일","Well “I Will Always Love You,” no offense to Dolly 

“Hurt” by Johnny Cash (Nine Inch Nails)

Limp Bizkit’s “Behind Blue Eyes” was surprisingly good and better than the original I thought.
greg fell FFPH
@felly500
 · 8월 14일
Controversy for friday

3 covers better than the original 

For me

Watchtower - Dylan / Hendrix
Man who sold the world - Bowie (gulp) / Nirvana 
Hallowed - Maiden / Machine Head",,,,,['https://pbs.twimg.com/profile_images/1224000854623162371/nxsnc6Y8_mini.jpg'],https://twitter.com/NRafter/status/1426316753865519110
mage commissions open!,@_miragemage,2021-08-05T00:14:18.000Z,"mage commissions open!
@_miragemage
·
8월 5일","me: *cleans up around the house*

dolly parton in my brain: workin' nine to five what a way to make a livin'",✨ ✨,,,,[],https://twitter.com/_miragemage/status/1423074850592198662
the palmerification of wqshburn hfigh school,@JinsoulBrick,2021-08-16T04:26:39.000Z,"the palmerification of wqshburn hfigh school
@JinsoulBrick
·
8월 16일","i watched the first 30 minutes of nine to five but the plane was too loud i couldn’t hear anything. i think the plot was like zootopia but nick wilde is replaced by dolly
4",,,,4,[],https://twitter.com/JinsoulBrick/status/1427124621044760576
bababooey sound effect,@pseudo_nine,2021-08-04T08:53:36.000Z,"bababooey sound effect
@pseudo_nine
·
8월 4일","Pretty strong mysterious tattooed girl said she wants to meet me,, currently got kill bill siren alarms going off in my head dolly zoom vertigo effect onto my face about to pass out xx
2
6",,2,,6,[],https://twitter.com/pseudo_nine/status/1422843147177005060
kamo with a G,@mokoena_kamoG,2021-08-25T18:59:35.000Z,"kamo with a G
@mokoena_kamoG
·
8월 26일","#KaizerChiefs both fullbacks had assists, Parker just unlucky, Dolly getting there, Billiat unlucky in the final third but played that false nine very well, Nange and Alexandra solid as ever, #kukhonalasiyakhona
1",,,,1,[],https://twitter.com/mokoena_kamoG/status/1430605793137729539
94.675MHz,@94675MHz,2021-08-07T21:22:23.000Z,"94.675MHz
@94675MHz
·
8월 8일","#あきらキラキラ木曜日/ Dolly Perton/ 9時から5時まで（Nine to Five）
1",🎤 🎵,,,1,['https://pbs.twimg.com/media/E8N8dIDVUAERf67?format=jpg&name=small'],https://twitter.com/94675MHz/status/1424118749481758724
DOLLYnine,@DollYnine,2021-08-11T02:10:29.000Z,"DOLLYnine
@DollYnine
·
8월 11일",mds volp!!!!!vamos sp,,,,,[],https://twitter.com/DollYnine/status/1425278417252098050
