UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
씨엣,@Tldpt12,2021-08-13T07:18:35.000Z,"씨엣
@Tldpt12
·
8월 13일","아니..
진짜 선넘지마....
마도로스 선장 데려와바...
1",,,,1,"['https://pbs.twimg.com/media/E8p03AxVIAEEQ2j?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8p03NyVoAQoi0X?format=jpg&name=360x360']",https://twitter.com/Tldpt12/status/1426080726076641281
"유행가, 시대를 노래하다",@365songsofficid,2021-08-25T01:58:31.000Z,"유행가, 시대를 노래하다
@365songsofficid
·
8월 25일","[237] 마도로스 부기 / 백야성

""1964년 한 해에만 백야성의 ‘마도로스 부기’, 남일해의 ‘첫사랑 마도로스’, 오기택의 ‘마도로스 박’, 고봉산의 ‘아메리칸 마도로스’까지... 마도로스를 노래한 유행가가 무려 네 곡이나 히트합니다.""

 더 자세한 내용은 프로필 링크 [다시듣기]
2",📻,,2,,['https://pbs.twimg.com/media/E9merQlVoAMGSSp?format=jpg&name=small'],https://twitter.com/365songsofficid/status/1430348833549033475
(사망)맥거핀 프라임,@MacGuffin_msft,2021-08-13T13:33:01.000Z,"(사망)맥거핀 프라임
@MacGuffin_msft
·
8월 13일","이거 마도로스 데벨로페랑 톡스쌤 커플셔츠 입어줘요 ((( 오시기만을 기다렷음
3",,,,3,['https://pbs.twimg.com/media/E8rKkIGUUAMZ5Tj?format=jpg&name=small'],https://twitter.com/MacGuffin_msft/status/1426174957239734278
밤비깅,@ichigo00871,2021-08-14T12:19:18.000Z,"밤비깅
@ichigo00871
·
8월 14일","남자는 마도로스다

인정 
1
2",🤭,,1,2,['https://pbs.twimg.com/media/E8wDNMWVEAYvCsw?format=jpg&name=small'],https://twitter.com/ichigo00871/status/1426518793057013765
(사망)마도로스 데벨로페,@DVLPP_msft_2_5,2021-08-13T13:32:43.000Z,"(사망)마도로스 데벨로페
@DVLPP_msft_2_5
·
8월 13일","이런 젠장 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ

일단 올린 계정이 마도로스니까 마도로스로.
(사망)맥거핀 프라임
@MacGuffin_msft
 · 8월 13일
마도로스 데벨로페
-친절하게 씻겨줄거 같음
-섬세할거같은 기분

데벨로페
-함선청소 1박2일 잡기
-씻기다간 구석구석 씻기는게 아니고 구깃구깃접힐거 같음
이 스레드 보기
1
3",,,1,3,['https://pbs.twimg.com/profile_images/1429372927061884930/jQ_2fakd_mini.jpg'],https://twitter.com/DVLPP_msft_2_5/status/1426174881377357826
숙청이,@wnrdjTdmausmm,2021-08-28T08:41:36.000Z,"숙청이
@wnrdjTdmausmm
·
8월 28일","팝콘 먹고있으니까 개가 마도로스 훔쳐먹는 줄 알고 준내 울어
1",,,,1,[],https://twitter.com/wnrdjTdmausmm/status/1431537436950106115
(사망)맥거핀 프라임,@MacGuffin_msft,2021-08-13T13:24:49.000Z,"(사망)맥거핀 프라임
@MacGuffin_msft
·
8월 13일","데벨로페에요 아니면 마도로스 데벨로페에요 이거 중요함
(사망)마도로스 데벨로페
@DVLPP_msft_2_5
 · 8월 13일
갑자기 떠오름
이 투표 표시하기
1
1",,1,,1,['https://pbs.twimg.com/profile_images/1424454311254269952/9WJJIO28_mini.jpg'],https://twitter.com/MacGuffin_msft/status/1426172892706791429
(사망)맥거핀 프라임,@MacGuffin_msft,2021-08-21T05:23:20.000Z,"(사망)맥거핀 프라임
@MacGuffin_msft
·
8월 21일","소달라이트 데벨로페.. 마도로스인듯 마도로스다ㅠㅠㅠ
1",,,,1,[],https://twitter.com/MacGuffin_msft/status/1428950825523503105
~.~,@WSurcrU1P31kDph,2021-08-15T08:18:39.000Z,"~.~
@WSurcrU1P31kDph
·
8월 15일","머리 안깜고 나옴
나온것만으로도 나를 칭찬하기로함
헤드셋 끼니까 정수리 냄쉐는 안나겠즤?
그래도 조금 찔려서 마도로스 햇 챙김 
걍 빵모자라고 불렀는데 마도로스햇? 이라고 부른다고 하더라고
1",,,,1,[],https://twitter.com/WSurcrU1P31kDph/status/1426820621762138113
MISFITS,@MISFITS_npc,2021-08-04T14:35:07.000Z,"MISFITS
@MISFITS_npc
·
8월 4일","5분내로 타고싶은 셔틀을 멘션해주세요. 각 셔틀별 선착순 4인 탑승. 크기를 고려해 마도로스 데벨로페 또한 셔틀의 일종으로 취급됩니다. 5분 내로 멘션하지 않은 캐릭터는 임의로 태워집니다.

-알렉산더
-Security
-빅넛
-마도로스 데벨로페
15
11",,15,,11,[],https://twitter.com/MISFITS_npc/status/1422929092970639364
