UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
MPD(엠피디),@M2MPD,2021-08-18T14:00:02.000Z,"MPD(엠피디)
@M2MPD
·
8월 18일","1년만에 다시 찾아온 스튜디오 춤의 활력소 쏘미 프로소미부터 깜찍소미까지 스춤 비하인드에서 모두 만나보시죠 #BE_ORIGINAL #SOMI #DUMBDUMB #전소미 
@somi_official_
 #STUDIOCHOOM

 https://youtu.be/9UYidGmNF4s
6
647
3.2천",😘 💛 ▶,6,647,3.2천,['https://pbs.twimg.com/media/E9DmLyHVIAERcG5?format=jpg&name=small'],https://twitter.com/M2MPD/status/1427993696620847115
땡가루,@_keep_going_sj,2021-08-30T04:24:43.000Z,"땡가루
@_keep_going_sj
·
8월 30일","얘 장난으로 형 미간에 바람 후 부는거 비하인드로 나온다? 나 근ㅏㄹ 씌바 식장 빌려
3
16",❣,,3,16,['https://pbs.twimg.com/media/E-AwF2CVEAA1V3t?format=jpg&name=small'],https://twitter.com/_keep_going_sj/status/1432197565341061124
칼세올,@calceolneedsyou,2021-08-13T12:58:30.000Z,"칼세올
@calceolneedsyou
·
8월 13일","[청려문대] 우결 게시판 썰 外-1 

외전 요청이 있어서 간단히 써봄
1은 비하인드와 미방영분
2는 어떻게 사귀게 되었는지에 대해
외전은 유료발행입니다~
[청려문대] 우결 게시판 썰 外-1
calceolneedsyou.postype.com
165
331",,,165,331,['https://pbs.twimg.com/card_img/1439977994852864006/ysjDfxLs?format=jpg&name=small'],https://twitter.com/calceolneedsyou/status/1426166270848761860
두리안,@durian_1001,2021-08-15T03:05:38.000Z,"두리안
@durian_1001
·
8월 15일","예가오빠가...미공개 비하인드가 26분이라고 그랫다...26분???!?!?!!?!?
7
19
101",,7,19,101,['https://pbs.twimg.com/ext_tw_video_thumb/1426741501342539782/pu/img/rGDs784cjV5iS7JE.jpg'],https://twitter.com/durian_1001/status/1426741844856086533
순정,@sunjeong_bluete,2021-08-16T16:30:40.000Z,"순정
@sunjeong_bluete
·
8월 17일","#10년_뒤에_다시_만나 
구상+러닝비하인드

무표정이 어울리는 단발 속정 무뚝뚝 여캐를 만들고 싶엇음 

캐 짤 땐 걔 인생을 관통하는 결핍을 제일 먼저 정해주는 편인데 즈쉬는 별고민 없이 그 키워드가 “고향”이엇고 

의도치 않게 서사 점점 길어져서 미쳣다이거 다담을수잇나…하다가 쓰러진 사람
GIF
1
10",,1,,10,['https://pbs.twimg.com/tweet_video_thumb/E87P8AXVIAU5YIr.jpg'],https://twitter.com/sunjeong_bluete/status/1427306828434534403
이모저모 거래계,@imojomoim,2021-08-13T14:01:34.000Z,"이모저모 거래계
@imojomoim
·
8월 13일","전웅 비하인드북 양도합니다

전웅 에이비식스 AB6IX 이대휘 김동현 박우진 불시착 어뉴홉 감아 직캠 미공포 포카 양도합니다 구해요 삽니다 양도받아요 아이돌 포카 포토카드 바인더",,,,,['https://pbs.twimg.com/media/E8rRGHEVoAAJfM1?format=jpg&name=small'],https://twitter.com/imojomoim/status/1426182141176545285
말랑,@mallang311,2021-08-02T17:53:18.000Z,"말랑
@mallang311
·
8월 3일","에이비식스 포카 양도합니다

모두 운미포 가격입니다

일괄시 준등기비 제외

ㅅㅊㅇ 에이비식스 ab6ix 전웅 웅 김동현 동현 박우진 우진 이대휘 대휘 비비드 어뉴홉 살루트 미공포 코뮤 예사 인터파크 양도 에이알 포카 양도 엽서 비하인드북 카드
다음 미디어는 민감한 콘텐츠를 포함할 수 있습니다. 설정 변경
보기",,,,,[],https://twitter.com/mallang311/status/1422254192022867970
숨 SUM,@thexxx___,2021-08-28T12:52:20.000Z,"숨 SUM
@thexxx___
·
8월 28일","나 미증유 오프레 + 제작과정 꼭 비하인드로 다 풀거야......!!!!!!!!!!!!!!!
17",,,,17,[],https://twitter.com/thexxx___/status/1431600538051747857
루,@banddnab,2021-08-10T17:02:45.000Z,"루
@banddnab
·
8월 11일","아~ 미스틱 밀린 히어로 음방 비하인드랑 생일 비하인드랑 미겜천 주세요 ㅠ ㅠ
1",,,,1,[],https://twitter.com/banddnab/status/1425140574303051776
앓,@crazyoverph,2021-08-05T15:56:36.000Z,"앓
@crazyoverph
·
8월 6일","습스외장하드터는상상
#지아와_함께한_여름의_나날들
비에이치하드터는상상
#SUMMERJIAHDAY
비하인드미공개다내놔
2
4",,,2,4,[],https://twitter.com/crazyoverph/status/1423311989909069825
