UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
못된 고양이 톰 / Mischievous Cat Thom the Anarchist,@schubertiade14,2021-08-20T12:47:35.000Z,"못된 고양이 톰 / Mischievous Cat Thom the Anarchist
@schubertiade14
·
Aug 20","벌써부터 가을 조기털이가 시작되고 제주에서는 카페리호가 들어오고...
#걷기끝
3",,,,3,"['https://pbs.twimg.com/media/E9PDRqhVgAszGh-?format=jpg&name=small', 'https://pbs.twimg.com/media/E9PDSecVoAQXW9u?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9PDSCoVUAgvbwv?format=jpg&name=small', 'https://pbs.twimg.com/media/E9PDS7fVoAkcm5p?format=jpg&name=360x360']",https://twitter.com/schubertiade14/status/1428700239104413705
럭키탈리아 (이탈리아 왔따!),@1uckitalia_c0s,2021-08-15T11:48:35.000Z,"럭키탈리아 (이탈리아 왔따!)
@1uckitalia_c0s
·
Aug 15","지금 소스에 있으면 좋겠는데 없는거:
1) 레몬즙
2) 파슬리
3) 카페리

뭐 후추는 이제 내가 샀다.
2",,,,2,['https://pbs.twimg.com/media/E81F15mWEAsEHR-?format=jpg&name=small'],https://twitter.com/1uckitalia_c0s/status/1426873452200402944
못된 고양이 톰 / Mischievous Cat Thom the Anarchist,@schubertiade14,2021-08-07T17:49:01.000Z,"못된 고양이 톰 / Mischievous Cat Thom the Anarchist
@schubertiade14
·
Aug 7","요 며칠 운동가면 밤 9시 제주로 출발하는 카페리 시간에 맞춰 인디언 모터사이클 로고가 새겨진 4.5톤 트럭이 지나던데 탁송은 아닐테고 바이크족들이 이주했나?
최고가 6천만원 가까이 되는 바이크로 섬 한바퀴 돌기엔 돈자랑 밖에 더 되나 싶다만 한편으론 미국 본토 나댕기단 총 맞았을지도 ",😁 😁,,,,['https://pbs.twimg.com/media/E8NLntTUcAQgNti?format=jpg&name=medium'],https://twitter.com/schubertiade14/status/1424065055465771008
빨덕후,@Ryuzeh,2021-08-16T03:20:49.000Z,"빨덕후
@Ryuzeh
·
Aug 15","인천~제주간 카페리 여객선, 소송으로 9월 취항 ‘빨간불’ / 안돼…….
인천~제주간 카페리 여객선, 소송으로 9월 취항 ‘빨간불’
오는 9월 7년 만에 복원되는 인천~제주 항로에 투입될 예정인 ‘비욘드트러스트호’. /사진 제공=하이덱스스토리지다음달 취항 예정인 인천~제주 카페리 여객선의 정식 운항이 법적 소송이라는 암초를 만나 지연될 ..
sedaily.com
10
2",,,10,2,['https://pbs.twimg.com/card_img/1442510598764335112/1Sn7hHxo?format=jpg&name=small'],https://twitter.com/Ryuzeh/status/1427108054785351681
세계!,@unrealbutmirage,2021-08-27T15:45:38.000Z,"세계!
@unrealbutmirage
·
Aug 27",리뉴얼이 사실 카페리뉴얼이라거나...,,,,,[],https://twitter.com/unrealbutmirage/status/1431281761288261633
밀향,@m_oatmeal_m,2021-08-08T09:26:24.000Z,"밀향
@m_oatmeal_m
·
Aug 8","나 티모시 카페리버포드
삿어
루시 고양이옷을 제물로...",🌾,,,,[],https://twitter.com/m_oatmeal_m/status/1424300954619289600
인천투데이,@isisanews,2021-08-18T09:11:52.000Z,"인천투데이
@isisanews
·
Aug 18","인천~제주 카페리 발목 잡은 소송에 유통업계 ‘울상’
인천~제주 카페리 발목 잡은 소송에 유통업계 ‘울상’ - 인천투데이
인천투데이=이종선 기자 | 올해 9월 운항 재개 예정이었던 인천~제주 카페리여객선 취항에 차질이 생겨 제주 유통업계의 시름이 커지고 있다.정유섭(국민의힘) 전 국회의원과 연관된 것으로 알려진 업체가 항로 ...
incheontoday.com",,,,,[],https://twitter.com/isisanews/status/1427921176995659782
영남일보,@yeongnamilbo,2021-08-29T07:06:04.000Z,"영남일보
@yeongnamilbo
·
Aug 29","https://yeongnam.com/web/view.php?key=20210828010003633…
포항∼울릉 2만톤급 대형 카페리여객선 빠르면 9월 16일 본격 취항 예정
포항∼울릉 2만톤급 대형 카페리여객선 빠르면 9월 16일 본격 취항 예정
포항에서 울릉도를 오가는 대형 크루즈 여객선인 `뉴시다오펄`호가 지난 18일 포항 영일만항에 입항했다.여객선 운영 선사인 울릉 크루즈는 선박을 점검하고 여객터미널개축·선박접안지·직..
yeongnam.com",,,,,[],https://twitter.com/yeongnamilbo/status/1431875784637968384
달걀흰자,@dalgial_huinza,2021-08-21T11:32:47.000Z,"달걀흰자
@dalgial_huinza
·
Aug 21","사실 카페리베가 야노히메카노코를 위한 사회재활훈련장이라면???
1
1",,,1,1,[],https://twitter.com/dalgial_huinza/status/1429043800442163204
군위넷,@comgosuya,2021-08-26T00:42:30.000Z,"군위넷
@comgosuya
·
Aug 25","이철우 경북도지사는 25일 오전 경북도 동부청사에서 환동해지역본부 간부들과 업무회의를 가졌다. ▲ 동부청사 회의 이날 회의에서는 수소에너지, 해양문화 및 교육활성화, 울릉도 카페리 공모선 등에 대해 심도 깊게 논의하고 동해안지역 발전을 위해 함께 대책…
이철우 도지사, 환동해지역본부에서 간부회의 주재 > 경북도 보도자료 | 군위넷
이철우 경북도지사는 25일 오전 경북도 동부청사에서 환동해지역본부 간부들과 업무회의를 가졌다. ▲ 동부청사 회의 이날 회의에서는 수소에너지, 해양문화 및 교육활성화, 울릉도 �...
gunwi.net",,,,,[],https://twitter.com/comgosuya/status/1430692092049719298
선불폰팅 상황극하기 24시간 지역폰팅 원나잇 지역만남,@hagaxaniku,2021-08-23T21:43:08.000Z,"선불폰팅 상황극하기 24시간 지역폰팅 원나잇 지역만남
@hagaxaniku
·
Aug 23","계단재 몽타주 석빙고 이세호 카미 코베토 김채취 병리사 양준석 인두팁 홍정원 빌지 귀신짤 면가방 세츠코 조준형 하드록 서도 근육녀 바보죽 송헤어 중국밤 춘향전 카페리 진갑용 회기 루브르 꾸뗄르 어린것

 프로필 설명GQBN",🉐,,,,[],https://twitter.com/hagaxaniku/status/1429922178116489217
선불폰팅 상황극하기 24시간 지역폰팅 원나잇 지역만남,@hagaxaniku,2021-08-24T10:03:07.000Z,"선불폰팅 상황극하기 24시간 지역폰팅 원나잇 지역만남
@hagaxaniku
·
Aug 24","가요제 백오픈 연료통 집들이 야폰 티안나 그루프 보수볼 신솔기 우등생 평서문 볼륨 계상할 방쉐어 선가드 유지원 카페리 춘산 고봉민 분별력 서퍼스 조연출 퍼가요 흄후드 정기석 물납 모텔서 도로변 아침찬

 프로필 클릭WTJI",🇪,,,,[],https://twitter.com/hagaxaniku/status/1430108399094673427
선불폰팅 남성전용 19금 24시간 지역폰팅 원나잇 지역만남,@soselizace,2021-08-27T09:23:24.000Z,"선불폰팅 남성전용 19금 24시간 지역폰팅 원나잇 지역만남
@soselizace
·
Aug 27","노중훈 문치수 엠서치 잡화상 빤쯔 카페리 노종면 보톡스 영주야 쪼리힐 침하판 액운 돌돌돌 박준금 에버롤 인명록 황토색 잠룡 김진민 러브송 염증약 짱완결 포윈드 확산제 이하나 룸방 박동영 김근배 석류주

 프로필 참조VNRC",🥼,,,,[],https://twitter.com/soselizace/status/1431185568688398336
