UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
치즈볼,@cheeze613,2021-08-29T09:35:37.000Z,"치즈볼
@cheeze613
·
Aug 29","#트위터예절
1박 2일간 정구기 생일 카페 투어를 마치고 맛저하며 정구기 생일 기념 축하주 한잔씩 때리고 저는 이제 집으로
지방러의 설움이란.. 정구기 생일날 다시 올게요 i will be back~~~
모두 맛저하세요~~~~~~
6
30",🐰 🎂 🍻 🚅 ‼ 😭 🐇 🐰 💜 💜 💜,6,,30,['https://pbs.twimg.com/media/E98tp14VkAM8U3Y?format=jpg&name=small'],https://twitter.com/cheeze613/status/1431913417971957761
나인,@5_RIN_9,2021-08-12T05:57:35.000Z,"나인
@5_RIN_9
·
Aug 11","#달콤한_8월_복숭아의_탄신일
#8월의_하늘은_세형이_널_닮았어
#012486_김세형_문열어_케이크_들어간다
세형이 생일 카페
카페 안이 분홍분홍해서 너무 예뻤어요~!
세형아 잘생겼다...이쁘다
세형이 엽서가 안 나와서 슬프지만ㅠㅠ토요일에 꼭 다시 올게 세형아...!!
2
6
12",💚 💗 💗 💚 😚 💕 💕,2,6,12,"['https://pbs.twimg.com/media/E8kYtPdUUAYhe-o?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8kYuPhUYAI6t--?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8kYttCUYAUyuFK?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8kYuoQUYAEr6iI?format=jpg&name=360x360']",https://twitter.com/5_RIN_9/status/1425697954006896642
모모,@momo030315_0,2021-08-23T15:01:23.000Z,"모모
@momo030315_0
·
Aug 23","2021.08.21.
도밍 작가님 개인전 : 환상유랑극단과 이오환상곡의 팝업이 열린 별의 조각 다녀왔다
저번에 한 번 간 적이 있어서 길 찾아가기 편했당 건물 외벽에 걸려있는 현수막 보자마자 너무 행복해졌음❀(*´▽`*)❀
별의 조각도 정말 좋아하는 카페라 다시 올 수 있어서 기뻤어요
1
5
15",❄ ⛰ ✨ 💖,1,5,15,['https://pbs.twimg.com/media/E9e-sGAVIAgywKI?format=jpg&name=small'],https://twitter.com/momo030315_0/status/1429821073885855753
그러라그래,@energy0410,2021-08-21T05:38:55.000Z,"그러라그래
@energy0410
·
Aug 20","삼겹살집에서 밥을 볶아먹지 않았어.
왜냐믄 삼겹살집 오는길에
이쁜 브런치카페를 발견. 
여길 오기위해서!
근데 여기서 요거 먹고
커피맛집을 가야해서
여긴 그냥 브루스케타? 뭐 
이런이름 첨듣는데
이쁘긴한데 먹을라고 써니까
좀 개차반되네. 다시올집은 아니다^^
4",,,,4,"['https://pbs.twimg.com/media/E9SqwqYUYAAgCJv?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9SqwsAUUAYGoy_?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9SqwrOUUAU4jWf?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9Sqws_VcAU9FFd?format=jpg&name=360x360']",https://twitter.com/energy0410/status/1428954749693415424
애옹이의 수박농장,@mark_dalgeul,2021-08-05T14:09:03.000Z,"애옹이의 수박농장
@mark_dalgeul
·
Aug 5","안녕하세요! 마크 달글입니다.

해시태그 참여해주신 모든 분들께 감사드리고, 이벤트 당첨자에게 디엠 드렸습니다.

방문해주셔서 이벤트 즐겨주신 분들과 이벤트를 위해 힘써주신 모든 분들에게 감사드리며, 올해 생일 카페 이벤트는 마감하도록 하겠습니다.

내년에 다시 올게요! 감사합니다 
13",🎂 💙,,,13,['https://pbs.twimg.com/ext_tw_video_thumb/1423284903605542927/pu/img/puJIAEe0k2XkyyAr.jpg'],https://twitter.com/mark_dalgeul/status/1423284923436126217
블랙팀 길(KILL)낫도,@gamannot_tto,2021-08-07T12:36:33.000Z,"블랙팀 길(KILL)낫도
@gamannot_tto
·
Aug 7","트텨앱을 닫으면 배경화면이 아직도 설경구 생일카페 찍은거임 나는 여기 오월 십사일에 아직도 갇혀잇는거여 경구 다시올대까지,,,쩜쩜,,
1
5",🍌,,1,5,[],https://twitter.com/gamannot_tto/status/1423986421568663554
메인트 사과문 봐주세요,@in_jeolmi_cat,2021-08-11T01:15:49.000Z,"메인트 사과문 봐주세요
@in_jeolmi_cat
·
Aug 10","그냥 계정 동결..합니다 다시 올지는..모르겠어요 트친소 괜히 열었나 싶고.. 죄송합니다 올려야하는것만 올리고 트위터 인스타 네이버 카페 틱톡 유튜브 기타 등등 sns 다 활동 안할거라 제 그림 한동안 못봅니다 블락 편하게 해주세요
9
2
98",❄,9,2,98,[],https://twitter.com/in_jeolmi_cat/status/1425264657997078529
아야스튜디오메인트 확인,@aya_artpompom,2021-08-15T05:02:14.000Z,"아야스튜디오메인트 확인
@aya_artpompom
·
Aug 14","전시장에 도착했습니다
오늘이 막날이라 사람이 많네요 잠시 있다가 카페로 이동할게요 불러주시면 다시 올게요!
1
3",🕊,1,,3,[],https://twitter.com/aya_artpompom/status/1426771192124362755
하토,@hato_ODrmmbrd,2021-08-26T05:01:36.000Z,"하토
@hato_ODrmmbrd
·
Aug 25","오늘도 책읽으러 카페왓는데 카페 선정을 잘못한거같다 노래소리가 너무크고.. 집중1도안되고... 하지만 흑임자라떼는존나맛있엇음 개존맛이라서 다시올듯
1
1",,1,,1,[],https://twitter.com/hato_ODrmmbrd/status/1430757298243211267
애옹이의 수박농장,@mark_dalgeul,2021-08-02T12:17:28.000Z,"애옹이의 수박농장
@mark_dalgeul
·
Aug 2","모든 카페 이벤트 마감했습니다!

해시태그 이벤트는 수-목 넘어가는 자정까지 받은 후 추첨을 통해 두 분에게 각 다른 물품 드리도록 하겠습니다. 

사랑하는 마크의 생일 이벤트 즐겨주셔서 감사드립니다. 내년에 다시 올게요 
애옹이의 수박농장
@mark_dalgeul
 · Jul 4
사랑하는 마크의 23번째 생일을 축하하기 위해 다음 커뮤니티 방석 위로 모여라 카페 NCT 마크달글에서 생일 컵홀더 이벤트를 진행합니다. 

애옹이의 수박농장 (@mark_dalgeul) 계정 태그 후 해시태그
#HAPPYMARKDAY 
#행복으로_물들_여름날의_마크
를 사용하여 인증사진과 함께 후기를 남겨주신
Show this thread
3
7",🎂 🥳 💙,,3,7,"['https://pbs.twimg.com/profile_images/1417721647369396232/6_c3D0fx_mini.jpg', 'https://pbs.twimg.com/media/E5coeyxVoAMq5zc?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E5coeywVgAIGjtk?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E5coeywVcAIScNd?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E5coeyuUUAAJJF3?format=jpg&name=360x360']",https://twitter.com/mark_dalgeul/status/1422169679192227840
