UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
디롱,@DDlong1919,2021-08-27T08:03:12.000Z,"디롱
@DDlong1919
·
Aug 27","카카페 안돼서 카카오웹툰가서 다시봄ㅡㅡ 유호 이ㅃ
13
58",,,13,58,['https://pbs.twimg.com/media/E9yFVSuVkAAZHzq?format=jpg&name=900x900'],https://twitter.com/DDlong1919/status/1431165385466777600
𝐎𝐍𝐋𝐘 뉴우즈 𝐋𝐄𝐅𝐓,@_newoodz,2021-08-06T06:30:37.000Z,"𝐎𝐍𝐋𝐘 뉴우즈 𝐋𝐄𝐅𝐓
@_newoodz
·
Aug 5","카페 팬스페이스

오잉 어쩌다 1번 
억울하게 하트 날리는 뻠뻠 갈몽이 겟
어제는 많이 붐벼서 한가할때 다시 와봄

#LOVE_BEYOND_MEASURE
#우즈_26번째_돌잔치
7
20",,,7,20,"['https://pbs.twimg.com/media/E8FmwYVUcAMjfG-?format=jpg&name=small', 'https://pbs.twimg.com/media/E8FmwYXUcAAZpCg?format=jpg&name=small']",https://twitter.com/_newoodz/status/1423531943732269056
바니바니콘콘,@bunnycorn_2,2021-08-03T03:55:50.000Z,"바니바니콘콘
@bunnycorn_2
·
Aug 2","#자빱_트친소 #빱콘_트친소 
콘으로 튀겨진지 약 한 달. 따끈따끈한 콘입니다! 
*자빱 마크 컨텐츠 다 봄(멤버십 영상도)
-스포o
*카페 빱콘
*다이아도 돌멩이도 함께 드실 분 모셔요!
*생각해보니 굳이 성인콘만 모실 이유가 없는 것 같아서 다시 올려요:)
12
76",,,12,76,['https://pbs.twimg.com/media/E71mjwHVoAEbHia?format=jpg&name=small'],https://twitter.com/bunnycorn_2/status/1422405824899473410
쏘세지,@ssgnext,2021-08-19T07:37:59.000Z,"쏘세지
@ssgnext
·
Aug 19","본진 손에 쥐고있는게 아이스... 중에서도 큰컵인거같은데??? 
뭔 스벅숏잔보다 작은걸 개인카페에서 파네 하다가 눈비비고 다시봄
1",,,,1,[],https://twitter.com/ssgnext/status/1428259935582752772
,@danjuic2,2021-08-09T18:15:50.000Z,"@danjuic2
·
Aug 9","의외?의 사실: 봄툰 북큐브 안 봄. 피너툰 폰 바꾸고 다시 안 깔았음. 리디랑 카카페만 보는 중
1
1
2",💜,1,1,2,[],https://twitter.com/danjuic2/status/1424796579106459650
사악한 랑팔랑,@8lang8lang,2021-08-07T02:28:17.000Z,"사악한 랑팔랑
@8lang8lang
·
Aug 6","앨범 정리하다가 커뮤 파쿠리 의심받은 디엠 봄.. .... 다시 생각해도 억울하네 덕분에 개장도 못 하고 터트린 거뮤가 내 카페 목록에 있다~!~!~!~!~!
1
2",,1,,2,[],https://twitter.com/8lang8lang/status/1423833345419481095
𝑩𝒊𝒃𝒊,@lulubibilulu,2021-08-09T09:09:02.000Z,"𝑩𝒊𝒃𝒊
@lulubibilulu
·
Aug 9",나 어제 홀덤알바라도 다시 하고 싶다햇자나 전에 같이 알바했던 언니한테 같이 일하자고 연락옴ㅋㅋㅋㅋㅋㅋㅋ 내일부터라도 가서 일할래~~~~~~~~~~ 보드게임카페로 등록했어서 영업한다나봄.. ㅋㅋㅋㅋㅋㅋㅋ,,,,,[],https://twitter.com/lulubibilulu/status/1424658973861371906
설일,@le_bleu_lumiere,2021-08-02T04:16:18.000Z,"설일
@le_bleu_lumiere
·
Aug 1","아뢔알루 리디 연재작이 너무 안 읽힘 카카페처럼 바로 인앱이었음 길이 잘 들었을 텐데 뷰어로 못봄>웹들어간다(접근편의 하락)>웹으로본다(메모 형광펜 불가 가가베는 원래 안 돼서 기대도 안 하는데 되다 안 되니 서운함)>다운받아서 다시 뷰어옴(귀찮음)의 역사가 너무 길었음 바뀌어도 안 봐져
1",🍎 🍒 🍓,,,1,[],https://twitter.com/le_bleu_lumiere/status/1422048586687148033
잉 : ),@jusxx12702,2021-08-29T16:49:34.000Z,"잉 : )
@jusxx12702
·
Aug 29","망했다…짜증난다… 만 19세 미만은 카카페에서 한 달에 5만원까지만 결제돼서, 고딩시절, 아빠 계정이랑 내 계정 두 개로 봤는데 지금 다시 정주행 하고싶은 소설이 아빠 계정으로 결제했던 거라서 못 봄..볼려면 아빠 계정으로 새로 로그인해야되는데 비번을 모른다는 중요한 사실~~~
1",🧡 🥕 🦁 ☀,1,,,[],https://twitter.com/jusxx12702/status/1432022627321663488
김쥼쥼,@utapri_jun,2021-08-05T15:47:45.000Z,"김쥼쥼
@utapri_jun
·
Aug 5",나 진자 너무 화나!!!!!!!! 다음카페 왜 알림 안울려???????? 자꾸 우리 아저씨 글 놓치잖아!!@@@@!!!!! 나는 올라오자마자 보고싶은데 왜 단 한번도 안 알려둬서 트위터 보고 느낌이 쎄한데.. 해서 들어가봄 맨날ㅠㅠㅠㅠ 다음카페 잘해라... 즌쯔... 일단 지웠다 다시 깔았다,,,,,[],https://twitter.com/utapri_jun/status/1423309761546625025
"그렝,,",@koji_URgenius,2021-08-17T05:56:03.000Z,"그렝,,
@koji_URgenius
·
Aug 16","아오 카카페뷰어 아무리 익숙해져도 좆같ㄹ애
갑자기 대뜸 나, 제법 담담했다 이래서 엉?? 이러고 다시 봄 ~~했으나, 제법 담담했다였음 ㅅㅂ 근데 이게 한두번이 아님",,,,,[],https://twitter.com/koji_URgenius/status/1427509510126465027
두콩이,@kongby_two,2021-08-08T15:16:48.000Z,"두콩이
@kongby_two
·
Aug 8","나는 두번다시 돌덕질 안하고 싶은게 
앨범 사는것도 그냥 포카모으는 용 같고 환경낭비같고 잡지도 사고 안보고 사진 뽑아놓고 안봄
카페갔다오면 그 많은 컵홀더 자리차지함 게다가 생카 음료 개별로
그리고 버블안오면 돌한테 짜증내는 내가 싫음
강요하는거같음
그냥 개인적인 생각임
1
1",‼ ‼,1,,1,[],https://twitter.com/kongby_two/status/1424389135943409675
알파카파/アルパカパ,@alpakapaaa,2021-08-21T05:08:58.000Z,"알파카파/アルパカパ
@alpakapaaa
·
Aug 20","카카페 개빡치는점
1. 앗 만화봐야지~! 소장권써서 최신화 보려고 키는순간
2. 최대 2천캐시 당첨 룰렛 팝업뜸
3.팝업사라지면 찾기힘들어서 바로 들어감 
4. 짠 200원 당첨되섯습니다 ^^ 24시간안에 쓰세요 !(200원으로 뭘 ㅇㅉㄹㄱ)
5. 기분만잡친채 보관함>내가보던거>소장한 화수 다시 들어가서 봄
1
1
1",,1,1,1,[],https://twitter.com/alpakapaaa/status/1428947212629811203
