UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
짠요,@ddo__chan,2021-08-30T01:50:04.000Z,"짠요
@ddo__chan
·
Aug 29",치킨더홈 사진으로 힐링한다,,,,,['https://pbs.twimg.com/media/E-AMs3dVgAAsoOp?format=jpg&name=small'],https://twitter.com/ddo__chan/status/1432158648562642949
욘수,@chanwonjolgwi,2021-08-26T10:55:11.000Z,"욘수
@chanwonjolgwi
·
Aug 26","하.. 치킨더홈 은근슬쩍 홍보하는 찬원이 편의점 광고 왜 안해?
20
50",,,20,50,['https://pbs.twimg.com/ext_tw_video_thumb/1430846215860547586/pu/img/dAJ93fGpk6f5ayth.jpg'],https://twitter.com/chanwonjolgwi/status/1430846279936974851
찬스타임가는쥬잉,@CHANSXXD,2021-08-26T10:56:57.000Z,"찬스타임가는쥬잉
@CHANSXXD
·
Aug 26","찬원이 입맛 따라갈려면 치킨더홈에선 경룡이세트를 시키고 모든 음식에 치즈를 얹어 먹고 계란 샐러드엔 감자와 마요네즈를 필수로 첨가하고 찜닭은 무조건 안동찜닭 포장마차에서는 떡튀순이 진리 젤리는 새콤달콤 포도맛으로 먹어야하네 오키 접수완료
1
15
38",,1,15,38,[],https://twitter.com/CHANSXXD/status/1430846724172500993
충북뉴스 공식 트위터,@cbnews114,2021-08-02T04:57:20.000Z,"충북뉴스 공식 트위터
@cbnews114
·
Aug 1","충북먹깨비 ‘치킨더홈’ 체인점 할인 이벤트
충북먹깨비 ‘치킨더홈’ 체인점 할인 이벤트 - 충북뉴스
(충북뉴스 안영록 기자) 충북도와 치킨 프렌차이즈업체 ‘치킨더홈’이 오는 31일까지 충북형 배달앱인 먹깨비 활성화를 위해 ‘5천원 할인 이벤트’를 한다.이벤트 기간 중 먹깨비를 통해 치킨더홈에 주문하면 ...
cbnews.kr",,,,,[],https://twitter.com/cbnews114/status/1422058914107908098
찬또가 장르다,@nXXIaiF9lndSUeg,2021-08-02T07:23:12.000Z,"찬또가 장르다
@nXXIaiF9lndSUeg
·
Aug 2","배달창업 ‘치킨더홈' 이달 프로모션 진행 #이찬원
배달창업 ‘치킨더홈' 이달 프로모션 진행 - 글로벌경제신문
‘치킨더홈’이 매달 그래 왔듯이 8월에도 여전히 주요 배달 플랫폼과 연계된 할인 이벤트를 실시한다. 업체는 요즘 추세에 맞는 고객 주문 비중과 배달창업 아이템으로써 치킨프랜차이즈 가진 특성을 활용한 배...
getnews.co.kr
1
1
6",,1,1,6,['https://pbs.twimg.com/card_img/1441420799601102857/3vEdi0yh?format=jpg&name=360x360'],https://twitter.com/nXXIaiF9lndSUeg/status/1422095623650566146
이코노믹리뷰,@erissue,2021-08-12T04:39:27.000Z,"이코노믹리뷰
@erissue
·
Aug 11","‘치킨더홈’ 신규 창업자 대상 맞춤형 교육 시스템 제공
‘치킨더홈’ 신규 창업자 대상 맞춤형 교육 시스템 제공 - 이코노믹리뷰
[이코노믹리뷰=김진희 기자] ‘치킨더홈’이 본사 차원에서 치킨 전문가들의 체계적인 컨설팅을 통한 차별화된 노하우를 전수 중이라고 밝혔다.오랜 기간 치킨프랜차이즈 업계에서 많은 경험과 노하우를 쌓은 ‘...
econovill.com",,,,,[],https://twitter.com/erissue/status/1425678292946866177
찬원스럽게 날자,@t3KcAIiXlNuOVBL,2021-08-10T02:36:10.000Z,"찬원스럽게 날자
@t3KcAIiXlNuOVBL
·
Aug 9","오늘은 말복~
#이찬원 #치킨더홈
4
13",🍗 🍗 🍗,,4,13,['https://pbs.twimg.com/media/E8ZXc2zUcAUayly?format=jpg&name=small'],https://twitter.com/t3KcAIiXlNuOVBL/status/1424922491143671812
tofu,@tofuuju,2021-08-15T02:46:40.000Z,"tofu
@tofuuju
·
Aug 14","치킨더홈 경룡이 맛있나요…
1",,,1,,[],https://twitter.com/tofuuju/status/1426737075085139968
찬원쓰찬스,@G1P7OQkr7JxFveh,2021-08-02T07:27:39.000Z,"찬원쓰찬스
@G1P7OQkr7JxFveh
·
Aug 2","‘치킨더홈' 8월 프로모션 진행 - 배달앱할인
#이찬원 #치킨더홈 #이찬원치킨광고
배달창업 ‘치킨더홈' 이달 프로모션 진행 - 글로벌경제신문
‘치킨더홈’이 매달 그래 왔듯이 8월에도 여전히 주요 배달 플랫폼과 연계된 할인 이벤트를 실시한다. 업체는 요즘 추세에 맞는 고객 주문 비중과 배달창업 아이템으로써 치킨프랜차이즈 가진 특성을 활용한 배...
getnews.co.kr
2
8",,,2,8,['https://pbs.twimg.com/card_img/1441420799601102857/3vEdi0yh?format=jpg&name=360x360'],https://twitter.com/G1P7OQkr7JxFveh/status/1422096741956939779
중년 채팅어플 ▌불팅 ▌5hi.fun ▌무료채팅 만남 중년만남 중년모임 채팅 섹스 채팅앱,,2021-08-20T09:06:06.000Z,"중년 채팅어플 ▌불팅 ▌5hi.fun ▌무료채팅 만남 중년만남 중년모임 채팅 섹스 채팅앱
·
Aug 20","신현원창동채팅앱
첫데이트코디
섹스기계

태백역만남
나이키야구바지
호법면중년채팅
복부비만제거
털안빠지는개
내발산동중년모임

괌비키니
즐겁게톡
양재동클라이밍
장산면만남어플
치킨더홈",,,,,[],https://twitter.com/o1RPy5oqtceqoYB/status/1428644500491030529
