UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
임희선,@HS_0704,2021-08-04T07:28:44.000Z,"임희선
@HS_0704
·
8월 4일","오늘 술이 달다
4
43",,4,,43,['https://pbs.twimg.com/media/E77g36qVEAQNww4?format=jpg&name=small'],https://twitter.com/HS_0704/status/1422821793522356225
iii,@seiiiga,2021-08-09T23:59:47.000Z,"iii
@seiiiga
·
8월 10일","ㅁㅈ 오늘따라 술이 ""달다"" 가 아니고 소주는 진짜 단맛인데 목넘김이 매워서 그렇지
1",,,,1,[],https://twitter.com/seiiiga/status/1424883137092280320
투명한숲,@Two_0327,2021-08-14T14:53:40.000Z,"투명한숲
@Two_0327
·
8월 14일","술이 달다는거 이해가 안갔는데 오늘따라 달다잉..?
2",,,,2,[],https://twitter.com/Two_0327/status/1426557639807299588
하우스,@howsyour_going,2021-08-13T13:03:25.000Z,"하우스
@howsyour_going
·
8월 13일","헐 나 결국 맥주 사서 집 들어왔는데……
어카냐….. 술이…. 달다…♡ 조금 사오길 잘햇다,, 오늘 쭉 달렸으면 내일이 없었을듯",,,,,[],https://twitter.com/howsyour_going/status/1426167507820314624
람이(ラミ),@RAAAAAM2,2021-08-06T18:04:53.000Z,"람이(ラミ)
@RAAAAAM2
·
8월 7일","오늘 술이 착 받네 달다 달어
2",,,,2,[],https://twitter.com/RAAAAAM2/status/1423706659277316103
율티아,@choiyc1204,2021-08-12T13:48:17.000Z,"율티아
@choiyc1204
·
8월 12일","오늘은 술이달다...(´∀｀)
1",🐋,,,1,[],https://twitter.com/choiyc1204/status/1425816410672963594
뀨뜌,@aro_ul,2021-08-28T09:38:56.000Z,"뀨뜌
@aro_ul
·
8월 28일","오늘따라 술이 달다 우하하
11",,,,11,['https://pbs.twimg.com/media/E93k1VLVUAMQWfJ?format=jpg&name=small'],https://twitter.com/aro_ul/status/1431551867658534916
레체,@lemoncherry1010,2021-08-24T16:08:39.000Z,"레체
@lemoncherry1010
·
8월 25일","얘들아(0명) 화가나고 슬플때 클래식을 들으면 좋아요... 라흐마니노프 피협2번을 틀어놓고 병나발을 불고 있어요 술이 달다... 오늘만 마실게요
5
25",🍋 🍒,,5,25,"['https://pbs.twimg.com/media/E9kXqZMVIAwaaWE?format=jpg&name=small', 'https://pbs.twimg.com/media/E9kXrJfVgAYYeST?format=jpg&name=360x360']",https://twitter.com/lemoncherry1010/status/1430200390025302025
𝓼𝓮𝓸𝓱𝓮𝓮,@_seohee__,2021-08-21T16:57:55.000Z,"𝓼𝓮𝓸𝓱𝓮𝓮
@_seohee__
·
8월 22일","오늘은 술이 달다..
 through the night - iu 

#섹트 #일상
3",🎶 🎶,,,3,"['https://pbs.twimg.com/media/E9VGKu0VUAEL2av?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9VGK8lVEAEneG0?format=jpg&name=small']",https://twitter.com/_seohee__/status/1429125623872593920
타린,@rararillil,2021-08-29T13:51:32.000Z,"타린
@rararillil
·
8월 29일","영재가 남자로 보여도 됩니까?
저 청주교도소.. 아직 갈 마음의 준비가...
하... 진짜.. 하...
오늘 술이 달다...달어...
유리
@hyunja3ric
 · 8월 29일
210829 애플뮤직 더보이즈 영통 #에릭

영재한테 바나나로 삼행시를 해봤습니동 
4
2",,4,,2,"['https://pbs.twimg.com/profile_images/1419614503445041158/Q4i9oIBy_mini.jpg', 'https://pbs.twimg.com/ext_tw_video_thumb/1431963491733098503/pu/img/vyipu7QaeON54Kg4.jpg']",https://twitter.com/rararillil/status/1431977821182722052
낫베,@ihopeurbestday,2021-08-22T14:48:23.000Z,"낫베
@ihopeurbestday
·
8월 22일","오늘 경기 이겨서ㅋ 술이 달다 친구들아
3",🌹,,,3,[],https://twitter.com/ihopeurbestday/status/1429455416086331396
chen,@ar_Kaive,2021-08-21T17:55:32.000Z,"chen
@ar_Kaive
·
8월 22일","술이 달다

어쩌면 너를
널 지우다 내가 지워질 것 같아
달은 차갑고 오늘따라 술이 달다
이럼 안 되는데 (너를 지우려고 해)
널 지우려해 (바보처럼 이렇게)",,,,,[],https://twitter.com/ar_Kaive/status/1429140123711541254
찬규,@popvirusss,2021-08-17T12:06:27.000Z,"찬규
@popvirusss
·
8월 17일",오늘따라 술이 달다,,,,,[],https://twitter.com/popvirusss/status/1427602724271525889
