UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
will™,@jh408tm718,2021-08-21T05:49:01.000Z,"will™
@jh408tm718
·
8월 21일","아침인가 점심인가 간식인가 장블랑제리 단팥빵 대신 밀도큐브랑 소보로
1
3",💎,1,,3,['https://pbs.twimg.com/media/E9StFIJVoAMmPDx?format=jpg&name=small'],https://twitter.com/jh408tm718/status/1428957291710074882
단지,@just10270,2021-08-28T10:16:03.000Z,"단지
@just10270
·
8월 28일","빵순이가 인정하고 세상이 인정하는 장블랑제리 단팥빵
                                 이유: 단팥이 여기까지 잇음
                                  글고 팥이 짱맛잇음
1
1
4",,1,1,4,"['https://pbs.twimg.com/media/E93tU_uVEAETOdN?format=jpg&name=small', 'https://pbs.twimg.com/media/E93tU_wVIAYEEfv?format=jpg&name=small']",https://twitter.com/just10270/status/1431561208461627394
이름을 추가하세요.,@summer_hymn,2021-08-21T11:27:09.000Z,"이름을 추가하세요.
@summer_hymn
·
8월 21일","밤식빵을 샀는데, 밤을 사니까 빵을 덤으로 준 것처럼 밤이 잔뜩 들어있었다. 역시 재료 본연의 맛을 추구하는 장블랑제리
2
3
24",,2,3,24,['https://pbs.twimg.com/media/E9T6dZWUYAUI7I_?format=jpg&name=small'],https://twitter.com/summer_hymn/status/1429042383245615108
연이,@lilacinmyhair,2021-08-03T11:47:55.000Z,"연이
@lilacinmyhair
·
8월 3일","아너무웃기다고
쟝블랑제리에서쟝발쟝이되지말아용
68
20",,,68,20,['https://pbs.twimg.com/media/E73SkbQVEAE2jec?format=jpg&name=small'],https://twitter.com/lilacinmyhair/status/1422524628925177858
HΔRΣΠ,@haren_kei,2021-08-20T07:07:53.000Z,"HΔRΣΠ
@haren_kei
·
8월 20일","지휘통제실 통신병들의 먹킷리스트 
장블랑제리 부수기 오늘 임무 완수
2",,,,2,['https://pbs.twimg.com/media/E9N1ibZUcAEoeL0?format=jpg&name=small'],https://twitter.com/haren_kei/status/1428614751722954756
앵옹,@its_going__down,2021-08-03T09:23:45.000Z,"앵옹
@its_going__down
·
8월 3일","장블랑제리 생크림단팥빵 얼려놨다가 에프에돌림ㅎㅎㅎㅎ
1
8",,1,,8,['https://pbs.twimg.com/media/E72xnRYVkAIr-W2?format=jpg&name=900x900'],https://twitter.com/its_going__down/status/1422488347767836674
백수경,@carpe794,2021-08-28T05:56:01.000Z,"백수경
@carpe794
·
8월 28일","장블랑제리 이수점.

(빵 3만원어치 삼)
1",,1,,,['https://pbs.twimg.com/media/E92xyqaVUAkc3z-?format=jpg&name=small'],https://twitter.com/carpe794/status/1431495769337438209
죄송한데 저는 변바인거 같아요,@__paca,2021-08-25T01:58:14.000Z,"죄송한데 저는 변바인거 같아요
@__paca
·
8월 25일","제빵하는 친구가 장블랑제리 들어갔다 나오더니 여긴 빵이랄게 없는데? <<< 이 말 했던게 기억나네요
1
5
9",,1,5,9,[],https://twitter.com/__paca/status/1430348761608331264
완전합격 제과제빵 김창석,@cookieskim,2021-08-26T00:11:03.000Z,"완전합격 제과제빵 김창석
@cookieskim
·
8월 26일","#카페와베이커리 1부
#쟝블랑제리 본점
주소: 서울 관악구 낙성대역길 8
줄서서 구입하는 빵집으로 유명한
쟝블랑제리와봣습니다.
가성성비가 좋은 빵집으로 유명합니다.

카페베이커리에 비하면 너무좋아요 ~^^
가성비짱~~♡♡♡♡♡♡♡
요즘 재료비 인상으로 고심이 깊어진다고 하네요 ",🎈 😂,,,,"['https://pbs.twimg.com/media/E9rPp8dVUAA5X9U?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9rPq4KUUAATiaw?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9rPqZlVUAg_GzQ?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9rPraAVoAIzpVd?format=jpg&name=360x360']",https://twitter.com/cookieskim/status/1430684179390287875
여자호랑이 (구 심술통),@yokandaforever,2021-08-25T02:22:06.000Z,"여자호랑이 (구 심술통)
@yokandaforever
·
8월 25일","근데 장블랑제리에 인스타에 올릴만한 빵을 파나
1",,,1,,[],https://twitter.com/yokandaforever/status/1430354771899125760
