UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
니언,@Coffee_N_Velvet,2021-08-30T23:05:54.000Z,"니언
@Coffee_N_Velvet
·
8월 31일","웰모닝
다음 미디어는 민감한 콘텐츠를 포함할 수 있습니다. 설정 변경
보기
110
391",💝 💙,,110,391,[],https://twitter.com/Coffee_N_Velvet/status/1432479720466092037
옆동네 지마,@HJM_coffee,2021-08-30T23:09:56.000Z,"옆동네 지마
@HJM_coffee
·
8월 31일",삼촌은 안 부어도 못생겼어.....(팩트),,,,,[],https://twitter.com/HJM_coffee/status/1432480736993550336
에클레어,@Eclairs_coffee,2021-08-30T22:49:02.000Z,"에클레어
@Eclairs_coffee
·
8월 31일","오늘만 버티면 내일은 학교 안간다...!
2",,,,2,[],https://twitter.com/Eclairs_coffee/status/1432475478250582017
커피,@Coffee_0___,2021-08-30T23:05:33.000Z,"커피
@Coffee_0___
·
8월 31일","기력 없다 하면 쓰리커 해보세요 기력이 남아 돔
왜인지 나는 모르겠음
2",☕,,,2,[],https://twitter.com/Coffee_0___/status/1432479635170684929
에클레어,@Eclairs_coffee,2021-08-30T23:16:05.000Z,"에클레어
@Eclairs_coffee
·
8월 31일","오늘 모의고사 보시는 분들이 꽤 있넹... 모두 화이팅 하셔요!!
7",💪,,,7,[],https://twitter.com/Eclairs_coffee/status/1432482286016942082
에클레어,@Eclairs_coffee,2021-08-30T22:49:51.000Z,"에클레어
@Eclairs_coffee
·
8월 31일",어제 왜인지 엄청 피곤했다...잠을 많이 못잔건 맞는데...,👀,,,,[],https://twitter.com/Eclairs_coffee/status/1432475681842028548
curt,@akaCurt,2021-08-30T23:20:39.000Z,"curt
@akaCurt
·
8월 31일","#doge #hold coffee too
1
4
24",,1,4,24,['https://pbs.twimg.com/media/E-E0FjuVcAEntSq?format=jpg&name=small'],https://twitter.com/akaCurt/status/1432483434115461123
𝒮𝓁ℴ𝒶𝓃ℯ ℋℯ𝓁𝓂𝒾𝓃𝓉ℴ𝓁𝓁ℯ𝓇,@sloane_h,2021-08-30T23:21:42.000Z,"𝒮𝓁ℴ𝒶𝓃ℯ ℋℯ𝓁𝓂𝒾𝓃𝓉ℴ𝓁𝓁ℯ𝓇
@sloane_h
·
8월 31일","Morning reminders from my coffee cup and my sign I put together using a quote from 
@DrBradJohnson
  #WeAreRCSTN
2
7
48",🤩,2,7,48,['https://pbs.twimg.com/media/E-E0U7SX0AAMGOe?format=jpg&name=small'],https://twitter.com/sloane_h/status/1432483698767798272
Nick Raschke,@R101Nick,2021-08-30T23:17:04.000Z,"Nick Raschke
@R101Nick
·
8월 31일","Good morning. Just took this. One of our local Kookaburras. 
Time for a second coffee.
13
30
285",,13,30,285,['https://pbs.twimg.com/media/E-EzQOjUcAYjDfo?format=jpg&name=small'],https://twitter.com/R101Nick/status/1432482531870326788
Hey @jack please ban the anti vaxxers,Hey @jack please ban the anti vaxxers,2021-08-30T23:39:35.000Z,"Hey @jack please ban the anti vaxxers
@CokeEnjoyer
·
8월 31일","Won’t be engaging with coffee spoonie and her fans because this is still in recommended searches for my account from making fun of her from over a year ago
6
1
160",😷 💉,6,1,160,['https://pbs.twimg.com/media/E-E4bI_WYAguFOx?format=jpg&name=small'],https://twitter.com/CokeEnjoyer/status/1432488197745954816
James Beswick,@jbesw,2021-08-30T22:53:16.000Z,"James Beswick
@jbesw
·
8월 31일","I quit a habit and started a new habit today. 
 No more coffee
 Evening walk every day.

It's Day 1!
11
71",❌ ✅,11,,71,['https://pbs.twimg.com/media/E-EtzmCXsAEOmfD?format=jpg&name=small'],https://twitter.com/jbesw/status/1432476543050260488
