UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
,@Bbeing_tennis,2021-08-25T08:32:10.000Z,"@Bbeing_tennis
·
Aug 25","야아 쵸타로 그리기 진짜진짜 어렵다
첨 그려봤는데 엄청 오래걸림,,
근데 얘가 왜 물을 뒤집어썼냐면,, 그건 저두 모르겠어요.. 보고 그린 일러에서 이미 이랬어요.. 셔츠는 내가 이렇게 표현하긴 했는데 아니 공식에서 물을 뿌려서…
4
13
33",💙,4,13,33,['https://pbs.twimg.com/media/E9n4x2iVkAECvyA?format=jpg&name=small'],https://twitter.com/Bbeing_tennis/status/1430447898555154432
(∩ŐᴗŐ)⊃━☆ﾟ･｡ζ ԾᴗԾζ♡.˖⋆,@oOseiichikun,2021-08-08T06:20:21.000Z,"(∩ŐᴗŐ)⊃━☆ﾟ･｡ζ ԾᴗԾζ♡.˖⋆
@oOseiichikun
·
Aug 7","쵸타로 선배                      아카야선배 
토이아와세                       코로시떼구다사이
비즈니스일본어로
기승전결맞춰서
열심히써야함
6
10",,,6,10,"['https://pbs.twimg.com/media/E8P3lcLVUAAzOiG?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8P3lcxVgAA-0u8?format=jpg&name=360x360']",https://twitter.com/oOseiichikun/status/1424254134039945217
𝙉𝙀𝙊𝙉,@NeOn_0409,2021-08-12T16:32:49.000Z,"𝙉𝙀𝙊𝙉
@NeOn_0409
·
Aug 12","헐 테니라비 이번 이벤 가챠 10연 돌렸더니 바로 떴다
게다가 쵸타로 새 스알도 나왔다...댑악......
요즘 무섭게 왜이리 가챠 운이 좋지",💎,,,,"['https://pbs.twimg.com/media/E8mqIEVVUAQg0_u?format=jpg&name=small', 'https://pbs.twimg.com/media/E8mqIQ8VUAIIefK?format=jpg&name=small']",https://twitter.com/NeOn_0409/status/1425857818595266560
할리갈리 챔피언,@unta_rkgk,2021-08-14T08:19:19.000Z,"할리갈리 챔피언
@unta_rkgk
·
Aug 14","저만 볼 수 없는 명예박사학위의 쵸타로&시시도 서머바레 오지는 해석 공유합니다.........
5
3",,,5,3,['https://pbs.twimg.com/media/E8vL-onVUAArgjL?format=png&name=small'],https://twitter.com/unta_rkgk/status/1426458398602584065
라떼,@tenipuri_latte,2021-08-08T13:31:26.000Z,"라떼
@tenipuri_latte
·
Aug 8","쵸타로 뭐 들고 있는거지??
1",🍀,1,,,[],https://twitter.com/tenipuri_latte/status/1424362618010042374
에피えぴ,@xxxEpipipi,2021-08-25T05:13:39.000Z,"에피えぴ
@xxxEpipipi
·
Aug 24","손바닥에 키스하는 의미가 간절히 원함, 사랑해주길 바람, 당신밖에 보이지 않아요라는데 그런 의미로 시시도상 손바닥에 키스하는 쵸타로가 보고싶다 (아직 안사귐)
에피えぴ
@xxxEpipipi
 · Aug 24
掌にキスする意味「懇願」って聞いてすごく鳳宍だなと思った
愛して欲しい、あなたしか見えないという意味を込めてｼｼﾄﾞさんの手のひらにキスするﾁｮｳﾀﾛｳかわいいじゃん（まだ付き合ってない）
Show this thread
1
2
1",✝ 🧢 ✝ 🧢,1,2,1,['https://pbs.twimg.com/profile_images/1440961661104320517/dR57Mx8w_mini.jpg'],https://twitter.com/xxxEpipipi/status/1430397942037291008
라떼,@tenipuri_latte,2021-08-10T11:55:55.000Z,"라떼
@tenipuri_latte
·
Aug 10",그와중 쵸타로 포즈 넘 웃기고<,🍀,,,,[],https://twitter.com/tenipuri_latte/status/1425063359498493957
라떼,@tenipuri_latte,2021-08-29T13:21:53.000Z,"라떼
@tenipuri_latte
·
Aug 29",극한직업 쵸타로 소꿉친구 히요시<<,🍀,,,,[],https://twitter.com/tenipuri_latte/status/1431970361734676483
시시도 료,@shishido_kr_bot,2021-08-30T21:09:09.000Z,"시시도 료
@shishido_kr_bot
·
Aug 30","쵸타로, 본때를 보여주자.",,,,,[],https://twitter.com/shishido_kr_bot/status/1432450341920862208
셀레스틴/セル,@Celestyn_p,2021-08-11T14:16:03.000Z,"셀레스틴/セル
@Celestyn_p
·
Aug 11",시시도 드림러랑 쵸타로 드림러 좀 화내면 안됨?,🌸,,,,[],https://twitter.com/Celestyn_p/status/1425461011209805837
